id,institution,period,euro,doi,is_hybrid,publisher,journal_full_title,
1,Martin Luther Universität Halle-Wittenberg,2018,1533,10.1021/acsomega.7b01621,FALSE,ACS,ACS_Omega,
2,Martin Luther Universität Halle-Wittenberg,2018,1528,10.1371/journal.pone.0192869,FALSE,Public Library of Science (PLoS),PLOS_ONE,
3,Martin Luther Universität Halle-Wittenberg,2018,2116,10.3389/fphar.2018.00013,FALSE,Frontiers Media SA,Frontiers in Pharmacology,
4,Martin Luther Universität Halle-Wittenberg,2018,1584,10.1097/MD.0000000000010041,FALSE,Wolters Kluwer,Medicine,
5,Martin Luther Universität Halle-Wittenberg,2018,2120,10.3389/fmicb.2018.00211,FALSE,Frontiers Media SA,Frontiers in Microbiology,
6,Martin Luther Universität Halle-Wittenberg,2018,1623,10.1186/s12889-018-5360-6,FALSE,Springer Nature, BMC Public Health,
7,Martin Luther Universität Halle-Wittenberg,2018,2142,10.1186/s12859-018-2203-5,FALSE,Springer Nature, BMC Bioinformatics,
8,Martin Luther Universität Halle-Wittenberg,2018,2200,10.1111/gcbb.12517,FALSE,Wiley, GCB Bioenergy,
9,Martin Luther Universität Halle-Wittenberg,2018,2225,10.1186/s12955-018-0959-y,FALSE,Springer Nature,BMC_Health and Quality of Life Outcomes,
10,Martin Luther Universität Halle-Wittenberg,2018,1012,10.1186/s12978-017-0443-x,FALSE,Page Press Publications,European Journal of Histochemistry,
11,Martin Luther Universität Halle-Wittenberg,2018,1630,10.1038/s41598-018-30764-4,FALSE,Springer Nature,Scientific Reports,
12,Martin Luther Universität Halle-Wittenberg,2018,896,10.14814/phy2.13589,FALSE,Wiley,Physiological Reports,
13,Martin Luther Universität Halle-Wittenberg,2018,1661,10.1186/s12877-018-0745-z,FALSE,Springer Nature,BMC_Geriatrics,
14,Martin Luther Universität Halle-Wittenberg,2018,1116,10.3390/app8020304,FALSE,MDPI AG,Applied Sciences,
15,Martin Luther Universität Halle-Wittenberg,2018,1630,10.1038/s41598-018-21800-4,FALSE,Springer Nature,Scientific_Reports,
16,Martin Luther Universität Halle-Wittenberg,2018,1281,10.3390/su10041085,FALSE,MDPI AG,Sustainability,
17,Martin Luther Universität Halle-Wittenberg,2018,1630,scientific reports,FALSE,Springer_Nature,Scientific_Reports,
18,Martin Luther Universität Halle-Wittenberg,2018,1022,10.1155/2018/8615746,FALSE,Hindawi,Education_Research_International,
19,Martin Luther Universität Halle-Wittenberg,2018,783,10.1155/2019/2675972,FALSE,Hindawi,Advances_in_Medicine,
20,Martin Luther Universität Halle-Wittenberg,2018,1646,10.3390/molecules23040825,FALSE,MDPI_AG,Molecules,
21,Martin Luther Universität Halle-Wittenberg,2018,1630,10.1038/s41598-018-32849-6,FALSE,Springer_Nature,Scientific_Reports,
