"DOI","ARTICLE PROCESSING CHARGE","Jahr","is_hybrid","institution"
"10.1038/s41598-017-04248-w",1552.95,2017,FALSE,"Giessen U"
"10.1038/s41598-017-03742-5",1552.95,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0173734",1603.83,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0171986",1603.83,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0176869",1603.83,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0175216",1603.83,2017,FALSE,"Giessen U"
"10.14198/jhse.2017.121.02",200.00,2017,FALSE,"Giessen U"
"10.1155/2017/1434872",1895.05,2017,FALSE,"Giessen U"
"10.1167/17.3.18",1717.72,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0176267",1578.03,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0178784",1578.03,2017,FALSE,"Giessen U"
"10.1016/j.ejrh.2017.04.007",1921.50,2017,FALSE,"Giessen U"
"10.3390/su9060943",1391.12,2017,FALSE,"Giessen U"
"10.3390/agronomy7030045",561.68,2017,FALSE,"Giessen U"
"10.1167/17.6.3",1672.35,2017,FALSE,"Giessen U"
" 10.1167/17.6.9",1679.09,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0180920",1524.39,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0180782",1524.39,2017,FALSE,"Giessen U"
"10.1128/genomeA.00736-17",528.98,2017,FALSE,"Giessen U"
"10.3390/biom7030055",614.38,2017,FALSE,"Giessen U"
"10.3390/nu9070782",1534.41,2017,FALSE,"Giessen U"
"10.1111/jvim.14805",1272.11,2017,FALSE,"Giessen U"
"10.3390/nano7080218",1137.46,2017,FALSE,"Giessen U"
"10.3390/ijms18081760",1705.31,2017,FALSE,"Giessen U"
"10.3389/fvets.2017.00137",1656.86,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0152580",1414.98,2016,FALSE,"Giessen U"
"10.7150/jca.15238",1559.22,2016,FALSE,"Giessen U"
"10.1088/1748-9326/aa7a1b",1856.40,2017,FALSE,"Giessen U"
"10.1002/vms3.74",1217.37,2017,FALSE,"Giessen U"
"10.2340/00015555-2767",1666.00,2018,FALSE,"Giessen U"
"10.3390/toxins9090273",1426.89,2017,FALSE,"Giessen U"
"10.1167/17.11.10",1897.38,2017,FALSE,"Giessen U"
"10.1016/j.ijppaw.2017.09.002",1962.06,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0183577",1526.02,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0183220",1526.02,2017,FALSE,"Giessen U"
"10.1371/journal.pone.0183150",1526.02,2017,FALSE,"Giessen U"
"10.1530/ec-17-0230",1167.31,2017,FALSE,"Giessen U"
"10.1177/2041669517739635",732.14,2017,FALSE,"Giessen U"
