doi,EURO.x,journal_full_title,year,publisher,issn,issn_print,issn_electronic,license_ref,pmid,pmcid
10.1002/ece3.280,1666.5,Ecology and Evolution,2012,Wiley-Blackwell,20457758,NA,NA,NA,22957159,PMC3434920
10.1002/prp2.139,1737.4,Pharmacology Research & Perspectives,2015,Wiley-Blackwell,20521707,NA,NA,NA,NA,NA
10.1016/j.nicl.2013.03.011,1377.31,NeuroImage: Clinical,2013,Elsevier BV,22131582,22131582,NA,http://www.elsevier.com/tdm/userlicense/1.0/;http://creativecommons.org/licenses/by/3.0/,24179799,PMC3777795
10.1038/srep02066,1244.74,Scientific Reports,2013,Nature Publishing Group,2045-2322,NA,2045-2322,NA,23797622,PMC3691562
10.1038/srep06899,1244.74,Scientific Reports,2014,Nature Publishing Group,2045-2322,NA,2045-2322,NA,25367630,PMC4219162
10.1068/i0396,1250.16,i-Perception,2011,SAGE Publications,2041-6695,NA,2041-6695,NA,23145224,PMC3485772
10.1068/i0587,627.06,i-Perception,2013,SAGE Publications,2041-6695,NA,2041-6695,NA,23755357,PMC3677332
10.1068/i0598,712.36,i-Perception,2013,SAGE Publications,2041-6695,NA,2041-6695,NA,25165510,PMC4129386
10.1093/nar/gkr1112,3829.7,Nucleic Acids Research,2012,Oxford University Press (OUP),0305-1048;1362-4962,0305-1048,1362-4962,NA,22135304,PMC3315325
10.1093/nar/gkr788,3436.7,Nucleic Acids Research,2012,Oxford University Press (OUP),0305-1048;1362-4962,0305-1048,1362-4962,http://creativecommons.org/licenses/by-nc/3.0;http://creativecommons.org/licenses/by-nc/3.0,21965534,PMC3258161
10.1093/nar/gks138,3963.2,Nucleic Acids Research,2012,Oxford University Press (OUP),0305-1048;1362-4962,0305-1048,1362-4962,NA,22367846,PMC3384296
10.1093/nar/gks221,3249.2,Nucleic Acids Research,2012,Oxford University Press (OUP),0305-1048;1362-4962,0305-1048,1362-4962,NA,22402488,PMC3384337
10.1093/nar/gks243,2535.2,Nucleic Acids Research,2012,Oxford University Press (OUP),0305-1048;1362-4962,0305-1048,1362-4962,NA,22434878,PMC3401432
10.1093/nar/gks916,4498.2,Nucleic Acids Research,2012,Oxford University Press (OUP),0305-1048;1362-4962,0305-1048,1362-4962,NA,23087373,PMC3592411
10.1093/nar/gkt035,3071.2,Nucleic Acids Research,2013,Oxford University Press (OUP),0305-1048;1362-4962,0305-1048,1362-4962,NA,23361464,PMC3597697
10.1093/nar/gkt080,2891.7,Nucleic Acids Research,2013,Oxford University Press (OUP),0305-1048;1362-4962,0305-1048,1362-4962,NA,23408850,PMC3627573
10.1093/nar/gkt262,3605.7,Nucleic Acids Research,2013,Oxford University Press (OUP),0305-1048;1362-4962,0305-1048,1362-4962,NA,23620283,PMC3675480
10.1093/nar/gku447,2534.7,Nucleic Acids Research,2014,Oxford University Press (OUP),0305-1048;1362-4962,0305-1048,1362-4962,NA,24878924,PMC4081073
10.1111/jcmm.12499,2237.2,Journal of Cellular and Molecular Medicine,2015,Wiley-Blackwell,15821838,NA,NA,NA,25678382,PMC4395196
10.1128/genomeA.00165-12,253.23,Genome Announcements,2013,American Society for Microbiology,2169-8287,NA,2169-8287,NA,NA,NA
10.1128/genomeA.01157-14,262.76,Genome Announcements,2014,American Society for Microbiology,2169-8287,NA,2169-8287,NA,NA,NA
10.1155/2011/174306,1070.51,Journal of Biomedicine and Biotechnology,2011,Hindawi Publishing Corporation,1110-7243;1110-7251,1110-7243,1110-7251,http://creativecommons.org/licenses/by/3.0/,22131798,PMC3205707
10.1155/2012/868317,963.64,PPAR Research,2012,Hindawi Publishing Corporation,1687-4757;1687-4765,1687-4757,1687-4765,http://creativecommons.org/licenses/by/3.0/,23150726,PMC3486131
10.1155/2013/476240,920.6,Journal of Obesity,2013,Hindawi Publishing Corporation,2090-0708;2090-0716,2090-0708,2090-0716,http://creativecommons.org/licenses/by/3.0/,23533724,PMC3606764
10.1155/2014/918143,612.28,International Journal of Microbiology,2014,Hindawi Publishing Corporation,1687-918X;1687-9198,1687-918X,1687-9198,http://creativecommons.org/licenses/by/3.0/,25147569,PMC4131471
10.1167/11.12.16,1960.28,Journal of Vision,2011,Association for Research in Vision and Ophthalmology (ARVO),1534-7362,NA,1534-7362,NA,22019716,NA
