institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;URL;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;3379.26;10.18632/oncotarget.23475;FALSE;;Oncotarget;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;912.79;10.3390/cryst8010038;FALSE;;Crystals;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1092.00;10.1127/metz/2017/0817;FALSE;;Meteorologische Zeitschrift;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1689.80;10.1186/s13007-018-0274-y;FALSE;;Plant Methods;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1508.18;10.1371/journal.pone.0189136;FALSE;;PLOS One;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2356.20;10.1186/s12937-018-0313-6;FALSE;;Nutrition Journal;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2142.00;10.1186/s13063-017-2426-1;FALSE;;Trials;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2034.90;10.5194/acp-18-601-2018;FALSE;;Atmospheric Chemistry and Physics;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;900.00;10.1186/s13071-018-2659-1;FALSE;;Parasites & Vectors;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1101.58;10.3389/fimmu.2018.00161;FALSE;;Frontiers in Immunology - Cytokines and Soluble Mediators in Immunity;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;3736.26;10.1016/j.stemcr.2017.12.022;FALSE;;Stem cell reports;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2142.00;10.1186/s13071-018-2665-3;FALSE;;Parasites & Vectors;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;109.14;10.15560/14.1.93;FALSE;;Check List;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1960.22;10.7150/thno.22610;FALSE;;Theranostics;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1451.15;10.1371/journal.pone.0191802;FALSE;;PLOS One;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2458.74;10.7554/eLife.31677;FALSE;;eLife;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2034.90;10.5194/acp-18-845-2018;FALSE;;Atmospheric Chemistry and Physics;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;695.14;10.3390/cryst8020087;FALSE;;Crystals;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1904.00;10.3324/haematol.2017.174516;FALSE;;Haematologica;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2005.72;10.3389/fcimb.2018.00023;FALSE;;Frontiers in cellular and infection microbiology;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;4840.92;10.1016/j.neo.2018.01.001;FALSE;;Neoplasia;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1472.21;10.1371/journal.pone.0193015;FALSE;;PLOS One;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2741.92;10.1126/sciadv.aap9873;FALSE;;Science Advances;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1581.51;10.1186/s12936-018-2230-8;FALSE;;Malaria Journal;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1198.50;10.7189/jogh.08.010414;FALSE;;Journal of Global Health;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1732.64;10.1002/mbo3.614;FALSE;;MicrobiologyOpen;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1630.30;10.1038/s41598-018-22115-0;FALSE;;Scientific Reports;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1502.57;10.1371/journal.pone.0193540;FALSE;;PLOS One;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1671.03;10.3390/ijms19030752;FALSE;;International Journal of Molecular Sciences;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;618.91;10.3390/genes9030153;FALSE;;Genes;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1630.30;10.1038/s41598-018-22453-z;FALSE;;Scientific Reports;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1907.14;10.1097/MD.0000000000009867;FALSE;;Medicine;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1422.05;10.1186/s40478-018-0521-5;FALSE;;Acta Neuropathologica Communications;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2046.18;10.3389/fmicb.2018.00518;FALSE;;Frontiers in Microbiology;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;856.80;10.17645/pag.v6i1.1216;FALSE;;Politics and Governance;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1838.82;10.3389/fimmu.2018.00620;FALSE;;Frontiers in Immunology;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;747.66;10.1021/acsomega.7b01194;FALSE;;ACS Omega;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2374.06;10.1186/s13068-018-1082-3;FALSE;;Biotechnology for biofuels;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1932.89;10.1016/j.ijppaw.2018.03.002;FALSE;;International Journal for Parasitology: Parasites and Wildlife;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1484.12;10.1136/bmjopen-2017-020089;FALSE;;BMJ Open;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;4082.78;10.1159/000488270;FALSE;;Cellular Physiology and Biochemistry;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2018.97;10.3389/fimmu.2018.00723;FALSE;;Frontiers in Immunology - Viral Immunology;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;3287.04;10.18632/oncotarget.25058;FALSE;;Oncotarget;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2682.26;10.1002/hep4.1183;FALSE;;Hepatology Communications;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1285.20;10.1098/rsos.180167;FALSE;;Royal Society Open Science;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1090.84;10.3390/cryst8040166;FALSE;;Crystals;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1630.30;10.1038/s41598-018-24431-x;FALSE;;Scientific Reports;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;3270.82;10.18632/oncotarget.25277;FALSE;;Oncotarget;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;535.50;10.17645/pag.v6i1.1221;FALSE;;Politics and Governance;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2018.97;10.3389/fped.2018.00121;FALSE;;Frontiers in Pediatrics-Pediatric Immunology;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1081.61;10.7717/peerj.4638;FALSE;;PeerJ;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1630.30;10.1038/s41598-018-25158-5;FALSE;;Scientific Reports;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;312.71;10.3390/computation6020035;FALSE;;Computation;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1495.85;10.1371/journal.pone.0194297;FALSE;;PLOS One;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;700.00;;FALSE;sub\urban e.V.;sub\urban. zeitschrift für kritische stadtforschung;2197-2567;http://www.zeitschrift-suburban.de/sys/index.php/suburban/article/view/337/562;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1610.80;10.3390/ijms19051390;FALSE;;International Journal of Molecular Sciences;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;318.55;10.2528/PIER18021905;FALSE;;Progress In Electromagnetics Research (PIER);;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2018.98;10.3389/fncel.2018.00134;FALSE;;Frontiers in Cellular Neuroscience;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;400.00;;FALSE;sub\urban e.V.;sub\urban. zeitschrift für kritische stadtforschung;2197-2567;http://www.zeitschrift-suburban.de/sys/index.php/suburban/article/view/347/578;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1610.71;10.3390/ijms19051421;FALSE;;International Journal of Molecular Sciences;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2076.55;10.1186/s12909-018-1220-4;FALSE;;Medical Education;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;3474.76;10.18632/oncotarget.24840;FALSE;;Oncotarget;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1531.43;10.1371/journal.pone.0195998;FALSE;;PLOS One;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1343.89;10.3390/ijms19051504;FALSE;;International Journal of Molecular Sciences;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1215.31;10.3390/ijerph15051042;FALSE;;International Journal of Environmental Research and Public Health;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1099.56;10.1093/gigascience/giy063;FALSE;;GigaScience Online;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2439.50;10.1186/s13068-018-1149-1;FALSE;;Biotechnology for Biofuels;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1552.45;10.1371/journal.pone.0198692;FALSE;;PLOS One;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1630.30;10.1038/s41598-018-27099-5;FALSE;;Scientific Reports;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1972.97;10.3389/fimmu.2018.00435;FALSE;;Frontiers in immunology - Inflammation;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1972.97;10.3389/fpsyt.2018.00202;FALSE;;Frontiers in Psychiatry - Schizophrenia;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1972.98;10.3389/fninf.2018.00030;FALSE;;Frontiers in Neuroinformatics;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1972.98;10.3389/fnmol.2018.00196;FALSE;;Frontiers in Neuroinformatics;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1972.98;10.3389/fneur.2018.00414;FALSE;;Frontiers in Neurology - Epilepsy;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1187.29;10.3390/ijms19061719;FALSE;;International Journal of Molecular Sciences;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;774.56;10.1177/2055102918785415;FALSE;;Health Psychology Open;;;;;;;;;;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1630.03;10.1038/s41598-018-27620-w;FALSE;;Scientific Reports;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
