Institution,Period,EURO,doi,publisher,journal,ISSN.1,ISSN.2
Universität Leipzig,2014,1062.5,10.1155/2014/981586,Hindawi,Advances in mathematical physics,1687-9120,1687-9139
Universität Leipzig,2014,976.22,10.1055/s-0034-1390166,Thieme,AJP Rep (American Journal of Perinatology Reports),2157-6998,2157-7005
Universität Leipzig,2014,1850.45,10.1186/s13568-014-0044-9,SpringerOpen,AMB Express,2191-0855,NA
Universität Leipzig,2014,1914.31,10.1063/1.4870536,AIP,APL Mater. (APL Materials),2166-532X,NA
Universität Leipzig,2014,1120.14,10.1155/2014/986594,Hindawi,Biomed Res Int (BioMed research international),2314-6141,2314-6133
Universität Leipzig,2014,1597.87,10.1186/1471-2105-15-219,BioMed Central,BMC Bioinformatics,1471-2105,NA
Universität Leipzig,2014,1594.6,10.1186/s12859-014-0404-0,BioMed Central,BMC Bioinformatics,1471-2105,NA
Universität Leipzig,2014,1594.6,10.1186/s12896-014-0109-5,BioMed Central,BMC biotechnology,1472-6750,NA
Universität Leipzig,2014,1513.68,10.1186/s12863-014-0088-5,BioMed Central,BMC Genet (BMC Genetics),1471-2156,NA
Universität Leipzig,2014,1678.79,10.1186/1471-2318-14-21,BioMed Central,BMC Geriatr (BMC Geriatrics),1471-2318,NA
Universität Leipzig,2014,1594.6,10.1186/s12888-014-0368-7,BioMed Central,BMC Psychiatry,1471-244X,NA
Universität Leipzig,2014,1508.92,10.1186/1471-244X-14-205,BioMed Central,BMC Psychiatry,1471-244X,NA
Universität Leipzig,2014,1470.84,10.1186/1471-2458-14-352,BioMed Central,BMC Public Health,1471-2458,NA
Universität Leipzig,2014,790.16,10.1186/1756-0500-7-144,BioMed Central,BMC Res Notes (BMC Research Notes),1756-0500,NA
Universität Leipzig,2014,1508.92,10.1186/1471-2482-14-92,BioMed Central,BMC surgery,1471-2482,NA
Universität Leipzig,2014,1594.6,10.1186/s12918-014-0138-7,BioMed Central,BMC Syst Biol (BMC Systems Biology),1752-0509,NA
Universität Leipzig,2014,1213.8,10.1186/1746-6148-10-119,BioMed Central,BMC Vet Res (BMC Veterinary Research),1746-6148,NA
Universität Leipzig,2014,1523.2,10.1186/s12917-014-0300-x,BioMed Central,BMC Vet Res (BMC Veterinary Research),1746-6148,NA
Universität Leipzig,2014,1719.25,10.1186/1478-811X-12-11,BioMed Central,Cell Commun Signal (Cell Communication and Signaling),1478-811X,NA
Universität Leipzig,2014,1999.2,10.1038/cddis.2014.25,Nature,Cell Death Dis (Cell death & disease),2041-4889,NA
Universität Leipzig,2014,1746.92,10.1186/2047-783X-19-36,BioMed Central,Eur J Med Res (European Journal of Medical Research),2047-783X,NA
Universität Leipzig,2014,1332.8,10.3402/ejpt.v5.23870,Co-Action Publishing,European Journal of Psychotraumatology,2000-8066,NA
Universität Leipzig,2014,804,10.3389/fnhum.2014.00387,Frontiers Research Foundation,Front Hum Neurosci (Frontiers in human neuroscience),1662-5161,NA
Universität Leipzig,2015,800,10.3389/fmars.2014.00082,Frontiers Research Foundation,Front. Mar. Sci. (Frontiers in Marine Science),2296-7745,NA
Universität Leipzig,2014,1904,10.3389/fnana.2014.00007,Frontiers Research Foundation,Front. Neuroanat. (Frontiers in Neuroanatomy),1662-5129,NA
Universität Leipzig,2014,1142.4,10.3389/fpsyg.2014.00292,Frontiers Research Foundation,Front. Psychol. (Frontiers in Psychology),1664-1078,NA
Universität Leipzig,2014,1904,10.3389/fpsyg.2014.01295,Frontiers Research Foundation,Front. Psychol. (Frontiers in Psychology),1664-1078,NA
Universität Leipzig,2014,1740.97,10.1093/gbe/evu193,Oxford Journals,Genome Biology and Evolution,1759-6653,NA
Universität Leipzig,2014,1518.44,10.1186/1746-160X-10-13,BioMed Central,Head Face Med (Head & Face Medicine),1746-160X,NA
Universität Leipzig,2014,1513.68,10.1186/s12955-014-0105-4,BioMed Central,Health Qual Life Outcomes (Health and quality of life outcomes),1477-7525,NA
Universität Leipzig,2014,1447.04,10.1186/1477-7525-12-95,BioMed Central,Health Qual Life Outcomes (Health and quality of life outcomes),1477-7525,NA
Universität Leipzig,2014,340.74,10.1016/j.ijscr.2014.10.002,Elsevier,International Journal of Surgery Case Reports,2210-2612,NA
Universität Leipzig,2014,1337.56,10.1186/2041-1480-5-47,BioMed Central,J Biomed Sem (Journal of Biomedical Semantics),2041-1480,NA
Universität Leipzig,2014,411.45,10.3390/metabo4020453,MDPI,Metabolites,2218-1989,NA
Universität Leipzig,2014,1774.29,10.1093/nar/gku696,Oxford Journals,Nucleic Acids Research,0305-1048,1362-4962
Universität Leipzig,2014,1130.5,10.1159/000365793,Karger,Obes Facts (Obesity Facts),1662-4033,1662-4025
Universität Leipzig,2014,1470.84,10.1186/s13037-014-0036-3,BioMed Central,Patient Saf Surg (Patient Safety in Surgery),1754-9493,NA
Universität Leipzig,2014,1420.86,10.1186/1754-9493-8-10,BioMed Central,Patient safety in surgery,1754-9493,NA
