institution;period;eur;doi;is_hybrid
Universität Leipzig;2016;1927,80;10.18632/aging.101035;FALSE
Universität Leipzig;2017;1661,24;10.1186/s13015-017-0113-0;FALSE
Universität Leipzig;2017;999,60;10.5194/angeo-35-785-2017;FALSE
Universität Leipzig;2016;1285,20;10.5194/acp-17-3687-2017;FALSE
Universität Leipzig;2017;651,22;10.3390/biom7020035;FALSE
Universität Leipzig;2017;1324,80;10.1186/s12859-017-1823-5;FALSE
Universität Leipzig;2016;1661,24;10.1186/s12859-016-1248-6;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12896-017-0329-6;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12885-017-3742-2;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12885-017-3454-7;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12885-016-3006-6;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12885-017-3662-1;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12885-017-3077-z;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12862-017-0967-2;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12862-017-1001-4;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12862-017-0904-4;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12875-017-0700-7;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12876-017-0614-9;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12863-017-0571-x;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12877-017-0482-8;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12877-017-0429-0;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12879-017-2336-6;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12880-017-0201-0;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12891-017-1855-z;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12891-017-1847-z;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12891-017-1461-0;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12891-017-1742-7;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12891-017-1823-7;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12882-017-0589-3;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12883-017-0927-x;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12868-017-0340-9;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12899-017-0031-x;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12870-017-1154-8;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12884-017-1565-4;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12888-017-1398-8;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12888-017-1404-1;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12889-017-4275-y;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12893-017-0330-y;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12893-017-0277-z;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12893-017-0253-7;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12917-017-1233-y;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12917-017-1032-5;FALSE
Universität Leipzig;2017;1725,50;10.1136/bmjopen-2016-013655;FALSE
Universität Leipzig;2017;1725,50;10.1136/bmjopen-2016-013630;FALSE
Universität Leipzig;2017;405,73;10.1155/2017/9179647;FALSE
Universität Leipzig;2018;856,80;10.1002/ccr3.1295;FALSE
Universität Leipzig;2017;685,44;10.1002/ccr3.1077;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12014-017-9145-1;FALSE
Universität Leipzig;2017;833,00;10.5194/esd-8-323-2017;FALSE
Universität Leipzig;2017;1456,56;10.1002/ece3.3217;FALSE
Universität Leipzig;2017;1820,70;10.1002/ece3.2858;FALSE
Universität Leipzig;2017;1192,38;10.1002/ecs2.1996;FALSE
Universität Leipzig;2016;2064,74;10.3389/fnagi.2016.00324;FALSE
Universität Leipzig;2017;1684,49;10.3389/fchem.2017.00015;FALSE
Universität Leipzig;2017;1624,00;10.3389/fnint.2017.00015;FALSE
Universität Leipzig;2017;1863,00;10.3389/fneur.2017.00602;FALSE
Universität Leipzig;2017;1198,64;10.3389/fnins.2017.00293;FALSE
Universität Leipzig;2017;1880,58;10.3389/fped.2017.00246;FALSE
Universität Leipzig;2017;1862,99;10.3389/fphys.2017.00906;FALSE
Universität Leipzig;2017;1929,64;10.3389/fphys.2017.00324;FALSE
Universität Leipzig;2017;1880,57;10.3389/fpsyg.2017.02015;FALSE
Universität Leipzig;2017;1862,99;10.3389/fpsyg.2017.01885;FALSE
Universität Leipzig;2017;1684,50;10.3389/fpsyg.2017.00307;FALSE
Universität Leipzig;2017;1899,48;10.3389/fpsyg.2017.01477;FALSE
Universität Leipzig;2016;2064,76;10.3389/fpsyg.2016.02064;FALSE
Universität Leipzig;2017;1880,57;10.3389/fpsyg.2017.02005;FALSE
Universität Leipzig;2017;1188,36;10.3389/fpsyg.2017.00074;FALSE
Universität Leipzig;2017;1862,99;10.3389/fpsyg.2017.01955;FALSE
Universität Leipzig;2017;1851,87;10.3389/fpsyg.2017.01758;FALSE
Universität Leipzig;2016;2064,74;10.3389/fpsyg.2016.01926;FALSE
Universität Leipzig;2017;1876,49;10.3389/fpsyg.2017.01124;FALSE
Universität Leipzig;2017;1569,94;10.3389/fvets.2017.00203;FALSE
Universität Leipzig;2017;510,40;10.3390/g8030033;FALSE
Universität Leipzig;2017;533,75;10.1016/j.gore.2017.03.003;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12955-017-0723-8;FALSE
Universität Leipzig;2016;1999,20;10.1007/s40121-016-0135-9;FALSE
Universität Leipzig;2017;393,39;10.1016/j.ijchp.2017.02.003;FALSE
Universität Leipzig;2017;1655,19;10.3390/ijms18081807;FALSE
Universität Leipzig;2017;1654,48;10.3390/ijms18112466;FALSE
Universität Leipzig;2017;1482,81;10.3390/ijms18050976;FALSE
Universität Leipzig;2017;1761,51;10.3390/ijms18040821;FALSE
Universität Leipzig;2017;1755,62;10.3390/ijms18051069;FALSE
Universität Leipzig;2017;699,72;10.1186/s13677-017-0082-3;FALSE
Universität Leipzig;2017;1190,00;10.18564/jasss.3428;FALSE
Universität Leipzig;2017;1661,24;10.1186/s13326-017-0152-y;FALSE
Universität Leipzig;2017;1661,24;10.1186/s13326-017-0147-8;FALSE
Universität Leipzig;2017;1026,74;10.1016/j.jmii.2017.07.016;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12967-017-1170-3;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12967-017-1208-6;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12944-017-0583-6;FALSE
Universität Leipzig;2017;1502,80;10.3390/ma10040338;FALSE
Universität Leipzig;2017;1551,57;10.1097/MD.0000000000008136;FALSE
Universität Leipzig;2017;1767,15;10.3414/ME17-05-0002;FALSE
Universität Leipzig;2017;1661,24;10.1186/s12934-017-0701-1;FALSE
Universität Leipzig;2017;1973,81;10.1016/j.molmet.2017.03.004;FALSE
Universität Leipzig;2017;1650,52;10.3390/molecules22101804;FALSE
Universität Leipzig;2017;1099,56;10.1186/s11671-017-1906-2;FALSE
Universität Leipzig;2017;1392,30;10.1088/1367-2630/aa7658;FALSE
Universität Leipzig;2017;1901,02;10.1093/nar/gkw1267;FALSE
Universität Leipzig;2017;1484,80;10.3390/nu9080903;FALSE
Universität Leipzig;2017;1130,50;10.1159/000456012;FALSE
Universität Leipzig;2017;1166,20;10.1159/000468154;FALSE
Universität Leipzig;2017;1716,79;10.18632/oncotarget.10888;FALSE
Universität Leipzig;2017;1661,24;10.1186/s13037-016-0119-4;FALSE
Universität Leipzig;2017;1661,24;10.1186/s13037-017-0137-x;FALSE
Universität Leipzig;2017;810,44;10.1097/GOX.0000000000001372;FALSE
Universität Leipzig;2017;1673,45;10.1371/journal.pone.0176981;FALSE
Universität Leipzig;2017;1496,51;10.1371/journal.pone.0185136;FALSE
Universität Leipzig;2017;1673,45;10.1371/journal.pone.0178943;FALSE
Universität Leipzig;2017;1673,45;10.1371/journal.pone.0170303;FALSE
Universität Leipzig;2017;1496,51;10.1371/journal.pone.0170989;FALSE
Universität Leipzig;2017;1673,45;10.1371/journal.pone.0172570;FALSE
Universität Leipzig;2017;1496,50;10.1371/journal.pone.0183027;FALSE
