institution;period;euro;doi;is_hybrid;opt_out;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1002/pamm.201900298;TRUE;FALSE; 
Hamburg TUHH;2019;10288,03;https://doi.org/10.1002/pamm.201900141;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1002/cite.201900121;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1002/adem.201900854;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1111/ffe.13163;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1002/cite.201900091;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1002/cite.201900113;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1002/cite.201900095;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1111/ijfs.14366;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1111/jpim.12507;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1002/mop.32002;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1002/pamm.201900296;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1002/bit.27124;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1002/aelm.201900364;TRUE;FALSE;
Hamburg TUHH;2019;10288,03;https://doi.org/10.1002/cbic.201900624;TRUE;FALSE;

