Institution;DOI;Name des Verlags;Publikationsform;CC-Lizenz;Euro netto; Euro brutto ;Kostensplitting;Gebührenart;agreement;Rechnungsjahr / Lizenzjahr;Publikationsjahr;is_hybrid;euro
Augsburg U;10.1111/nana.13084;Wiley;journal article;CC BY-NC-ND;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1111/emed.12755;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00330-024-11329-8;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00181-024-02709-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.stueduc.2024.101438;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2025;TRUE;NA
Augsburg U;10.1007/s10997-024-09734-8;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1111/jcal.13123;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.frl.2024.106710;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00068-024-02675-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.pragma.2025.01.002;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/S1473-3099(24)00675-3;Elsevier / CPTL;journal article;CC BY-NC-ND;6.450,00;6.901,50;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2025;TRUE;6.901,50
Augsburg U;10.1016/j.jde.2025.01.069;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s10494-025-00639-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.bja.2024.11.044;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1245/s10434-025-16950-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00062-025-01502-x;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.avsg.2025.01.023;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s42597-024-00138-x;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00330-025-11409-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.knee.2025.01.011;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1111/bjep.12748;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00029-025-01017-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1002/anie.202424952;Wiley;journal article;CC BY;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s43681-025-00666-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s11218-025-10036-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1177/15266028241230943;Sage;journal article;CC BY-NC;0;0;;hybrid-oa;Sage (BSB) 2024-2025;2024;2024;TRUE;NA
Augsburg U;10.1177/13591053241245263;Sage;journal article;CC BY-NC;0;0;;hybrid-oa;Sage (BSB) 2024-2025;2024;2024;TRUE;NA
