pos;institution_name;article_title;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
1;Universität Augsburg;100 Years Of Volkshochschule In Germany - 50 Years Of Dvv International: Signposts For Local And Global Comparative Perspectives On Adult Learning And Education;International Review of Education;1573-0638;10.1007/s11159-022-09944-y;https://doi.org/10.1007/s11159-022-09944-y;03.05.2022;15.03.2022;2750;originalpaper;Research Article;optin
2;Universität Augsburg;Adaptable scaffolding of mathematical argumentation skills: The role of self-regulation when scaffolded with CSCL scripts and heuristic worked examples;International Journal of Computer-Supported Collaborative Learning;1556-1615;10.1007/s11412-022-09363-z;https://doi.org/10.1007/s11412-022-09363-z;21.03.2022;24.01.2022;2750;originalpaper;Research Article;optin
3;Universität Augsburg;A finite time combinatorial algorithm for instantaneous dynamic equilibrium flows;Mathematical Programming;1436-4646;10.1007/s10107-022-01772-0;https://doi.org/10.1007/s10107-022-01772-0;10.02.2022;05.01.2022;2750;originalpaper;Research Article;optin
4;Universität Augsburg;A Mixed-Integer Slacks-Based Measure Data Envelopment Analysis For Efficiency Measuring Of German University Hospitals;Health Care Management Science;1572-9389;10.1007/s10729-022-09620-5;https://doi.org/10.1007/s10729-022-09620-5;17.11.2022;28.09.2022;2750;originalpaper;Research Article;optin
5;Universität Augsburg;Automatic And Controlled Information Processing In The Context Of Students' Ethnic Background And Social Status: An Eye-Tracking Study;Social Psychology of Education;1573-1928;10.1007/s11218-022-09727-1;https://doi.org/10.1007/s11218-022-09727-1;28.09.2022;19.08.2022;2750;originalpaper;Research Article;optin
6;Universität Augsburg;Balancing control and autonomy in master surgery scheduling: Benefits of ICU quotas for recovery units;Health Care Management Science;1572-9389;10.1007/s10729-021-09588-8;https://doi.org/10.1007/s10729-021-09588-8;09.02.2022;21.12.2021;2750;originalpaper;Research Article;optin
7;Universität Augsburg;Climate Change And Allergies;Allergo Journal International;2197-0378;10.1007/s40629-022-00212-x;https://doi.org/10.1007/s40629-022-00212-x;08.06.2022;19.04.2022;2750;reviewpaper;Research Article;optin
8;Universität Augsburg;Comparison and Trends of Endovascular, Surgical and Hybrid Revascularizations and the Influence of Comorbidity in 1 Million Hospitalizations Due to Peripheral Artery Disease in Germany Between 2009 and 2018;CardioVascular and Interventional Radiology;1432-086X;10.1007/s00270-022-03136-9;https://doi.org/10.1007/s00270-022-03136-9;15.04.2022;23.03.2022;2750;originalpaper;Research Article;optin
9;Universität Augsburg;Conceptualizing Illocutions in Context: A Variationist Perspective on the Meta-Illocutionary Lexicon;Corpus Pragmatics;2509-9515;10.1007/s41701-022-00115-w;https://doi.org/10.1007/s41701-022-00115-w;22.02.2022;18.01.2022;2750;originalpaper;Research Article;optin
10;Universität Augsburg;Contamination of personal protective equipment during COVID-19 autopsies;Virchows Archiv;1432-2307;10.1007/s00428-021-03263-7;https://doi.org/10.1007/s00428-021-03263-7;06.01.2022;27.12.2021;2750;originalpaper;Research Article;optin
