DOI;Name des Verlags, der Plattform, des Server, …;Publikationsform;CC-Lizenz;Euro netto; Euro brutto ;Kostensplitting;Gebührenart;Zuordnung zu Transformationsvertrag;Rechnungsjahr / Lizenzjahr;Publikationsjahr
10.1007/s11615-025-00638-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s10602-025-09498-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.plefa.2025.102712;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s11626-025-01130-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.ejor.2025.10.029;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.jri.2025.104797;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.scs.2025.106927;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.avsg.2025.10.039;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.jpsychores.2025.112448;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.avsg.2025.11.005;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s00420-025-02179-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00187-025-00402-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1002/zaac.202500168;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2026
10.1017/elo.2025.10059;Cambridge University Press;journal article;CC BY;0;0;;hybrid-oa;CUP (BSB) 2025-2027;2025;2026
10.1002/wjs.70178;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s12054-025-00830-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.pragma.2025.11.005;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1002/anie.202521198;Wiley;journal article;CC BY;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
