"institution","country"
MPG,DEU
Aberystwyth University,GBR
Anglia Ruskin University,GBR
Aston University,GBR
Bangor University,GBR
Bournemouth University,GBR
Brunel University,GBR
Cardiff Metropolitan University,GBR
Cardiff University,GBR
City University London,GBR
Cranfield University,GBR
Edge Hill University,GBR
Edinburgh Napier University,GBR
Glasgow Caledonian University,GBR
"Goldsmiths, University of London",GBR
Heriot-Watt University,GBR
Imperial College London,GBR
Keele University,GBR
King's College London,GBR
Kingston University,GBR
Leeds Beckett University,GBR
Liverpool John Moores University,GBR
London School of Economics and Political Science,GBR
London South Bank University,GBR
Loughborough University,GBR
Manchester Metropolitan University,GBR
Natural History Museum,GBR
Newcastle University,GBR
Northumbria University,GBR
Nottingham Trent University,GBR
The Open University,GBR
"Queen Mary, University of London",GBR
Queen's University of Belfast,GBR
Robert Gordon University,GBR
"Royal Holloway, University of London",GBR
Scotland's Rural College,GBR
Sheffield Hallam University,GBR
Swansea University,GBR
Swansea University ,GBR
University College London,GBR
University of Aberdeen,GBR
University of Abertay Dundee,GBR
University of Bath,GBR
University of Bedfordshire,GBR
University of Birmingham,GBR
University of Bradford,GBR
University of Bristol,GBR
University of Cambridge,GBR
University of Central Lancashire,GBR
University of Chester,GBR
University of Derby,GBR
University of Dundee,GBR
Durham University,GBR
University of East Anglia,GBR
University of Edinburgh,GBR
University of Exeter,GBR
University of Glasgow,GBR
University of Greenwich,GBR
University of Huddersfield,GBR
University of Hull,GBR
University of Kent,GBR
Lancaster University,GBR
University of Leeds,GBR
University of Leicester,GBR
University of Lincoln,GBR
University of Liverpool,GBR
University of Manchester,GBR
University of Northampton,GBR
University of Nottingham,GBR
University of Oxford,GBR
University of Portsmouth,GBR
University of Reading,GBR
University of Salford,GBR
University of Sheffield,GBR
University of Southampton,GBR
University of St Andrews,GBR
University of Stirling,GBR
University of Strathclyde,GBR
University of Surrey,GBR
University of Sussex,GBR
University of Ulster,GBR
University of Warwick,GBR
University of Westminster,GBR
University of York,GBR
University of West of England,GBR
University of West of Scotland,GBR
"St George's, University of London",GBR
University of the Highlands and Islands,GBR
University of Wales Trinity St David,GBR
Queen Margaret University,GBR
Royal Botanic Gardens,GBR
Birmingham City University,GBR
University Campus Suffolk,GBR
University of Worcester,GBR
University of Roehampton,GBR
Academic Medical Center (AMC),NLD
Delft University of Technology,NLD
Eindhoven University of Technology,NLD
Erasmus MC,NLD
Erasmus University,NLD
Leiden University,NLD
Maastricht University,NLD
Radboud University,NLD
Radboud University Medical Center,NLD
University Medical Center Utrecht,NLD
University Medical Center Groningen (UMCG),NLD
University of Groningen,NLD
University of Amsterdam,NLD
University of Twente,NLD
Utrecht University,NLD
VU University Amsterdam,NLD
VU University Medical Center (VUmc),NLD
Wageningen University,NLD
Maastricht University Medical Center (UMC+),NLD
Open University of The Netherlands,NLD
Tilburg University,NLD
Netherlands Interdisciplinary Demographic Institute (NIDI),NLD
Netherlands Institute of Ecology,NLD
"Meertens Institute, Netherlands",NLD
Leiden University Medical Center (LUMC),NLD
Fungal Biodiversity Center (CBS),NLD
Wageningen UR (University & Research Centre),NLD
International Institute of Social History (IISH),NLD
Academisch Centrum Tandheelkunde Amsterdam (ACTA),NLD
Rathenau Institute,NLD
Netherlands Institute for Neuroscience,NLD
Royal Netherlands Academy of Arts and Sciences Bureau (KNAW Bure,NLD
Netherlands Institute for Advanced Study in the Humanities and Social Sciences (NIAS),NLD
Hubrecht Institute for Developmental Biology and Stem Cell Resea,NLD
Meertens Institute,NLD
Umea University,SWE
Swedish University of Agricultural Sciences,SWE
Chalmers University of Technology,SWE
Stockholm University,SWE
Lulea University of Technology,SWE
Swedish National Road and Transport Research Institute (VTI),SWE
Royal Institute of Technology,SWE
University of Gothenburg,SWE
Lund University,SWE
Karolinska Institute,SWE
Uppsala University,SWE
Malmö University,SWE
Linköping University,SWE
Linnaeus University,SWE
University of Skövde,SWE
Örebro University,SWE
Mid Sweden University,SWE
Mälardalen University,SWE
University of Boras,SWE
Kristianstad University,SWE
Södertörn University,SWE
Swedish Museum of Natural History,SWE
Swedish Defence Research Agency,SWE
Blekinge Institute of Technology,SWE
Karlstad University,SWE
Swedish School of Sport and Health Sciences (GIH),SWE
University of Gävle,SWE
Medical Products Agency,SWE
Stockholm School of Economics,SWE
University West,SWE
Jönköping University,SWE
Halmstad University,SWE
Dalarna University,SWE
Institute Mittag-Leffler,SWE
Public Health Agency of Sweden,SWE
Institute of Science and Technology (IST Austria),AUT
FWF - Austrian Science Fund,AUT
Medical University of Vienna,AUT
Paracelsus Medical University,AUT
Vienna University of Economics and Business (WU),AUT
Medical University of Graz,AUT
University of Innsbruck and Medical University of Innsbruck,AUT
University of Natural Resources and Life Sciences Vienna (BOKU),AUT
TU Wien (TUW),AUT
Johannes Kepler University Linz,AUT
University of Vienna,AUT
University of Graz,AUT
Montanuniversität Leoben,AUT
University of Klagenfurt,AUT
Graz University of Technology,AUT
Paris Lodron University of Salzburg,AUT
International Institute for Applied Systems Analysis (IIASA),AUT
University of Veterinary Medicine Vienna,AUT
Institute for Advanced Studies Vienna,AUT
FH Vorarlberg - University of Applied Sciences,AUT
University of Applied Sciences Upper Austria,AUT
FH St. Pölten - University of Applied Sciences,AUT
Danube Universtity Krems University for Continuing Education,AUT
FH Salzburg - University of Applied Sciences,AUT
FH Joanneum - University of Applied Sciences,AUT
Research Institute of Molecular Pathology (IMP) / IMBA - Institu,AUT
University of Applied Sciences Burgenland,AUT
Carinthia University of Applied Sciences (CUAS),AUT
FH Kufstein Tirol - University of Applied Sciences,AUT
Danube University Krems University for Continuing Education,AUT
FH Campus Wien - University of Applied Sciences,AUT
University of Applied Sciences Wiener Neustadt for Business and Engineering,AUT
University of Innsbruck,AUT
Ferdinand Porsche FernFH,AUT
Research Institute of Molecular Pathology (IMP) / IMBA - Institute of Molecular Biotechnology / Gregor Mendel Institute of Molecular Plant Biology,AUT
French institutions,FRA
