institution,period,doi,euro,is_hybrid
University of Belgrade,2017,10.1371/journal.pone.0171296,1500,
University of Belgrade,2017,10.1371/journal.pone.0187866,1200,
University of Belgrade,2017,10.17559/tv-20150806093823,500,
University of Belgrade,2017,10.17559/tv-20160711123437,500,
University of Belgrade,2017,10.3390/met7030095,725,
University of Belgrade,2017,10.3390/molecules22030343,1500,
University of Belgrade,2017,10.7153/jmi-11-15,400,
University of Belgrade,2018,10.1038/s41598-018-21940-7,1270,True
University of Belgrade,2018,10.1186/s12859-018-2158-6,1570,
University of Belgrade,2018,10.1186/s13662-018-1545-7,1180,True
University of Belgrade,2018,10.1371/journal.pone.0194536,500,
University of Belgrade,2018,10.17559/tv-20170420121538,500,
University of Belgrade,2018,10.3389/fphar.2018.00153,750,
University of Belgrade,2018,10.3389/fphys.2018.00165,1120,
University of Belgrade,2018,10.3390/f9060330,1160,
University of Belgrade,2018,10.3390/w10050588,1360,
University of Belgrade,2018,10.7307/ptt.v30i1.2473,300,
University of Belgrade,2018,10.7717/peerj.5887,800,
University of Belgrade,2019,10.1371/journal.pone.0210466,445,
University of Belgrade,2019,10.1371/journal.pone.0210904,440,
University of Belgrade,2019,10.3389/fimmu.2018.03130,790,
University of Belgrade,2019,10.3389/fimmu.2019.00157,715,
University of Belgrade,2019,10.7717/peerj.6325,420,
University of Belgrade,2019,10.3390/ijms20215288,1291,
University of Belgrade,2019,10.3390/pharmaceutics11100544,1097,
University of Belgrade,2019,10.3390/medicina55100697,1028,
University of Belgrade,2019,10.3390/en12214044,1234,
University of Belgrade,2019,10.3390/s19204582,1228,
University of Belgrade,2019,10.3390/foods8100463,829,
University of Belgrade,2019,10.3390/met9111173,886,
University of Belgrade,2019,10.3390/antiox8100480,410,
University of Belgrade,2019,10.3390/min9110672,1027,
University of Belgrade,2019,10.3390/su11215960,419,
University of Belgrade,2019,10.3390/cells8101261,1234,
