Period;DOI; Endbetrag (Euro) ;Institution
2021;10.3390/polym14010210;1.644,68;KIT
2021;10.2196/25886;1.865,99;KIT
2021;10.1016/j.dib.2021.107775;440,00;KIT
2021;10.18564/jasss.4767;1.000,00;KIT
2021;10.3390/polym14010019;1.532,91;KIT
2021;10.3390/en14237894;901,71;KIT
2021;10.3390/catal11121549;1.532,91;KIT
2021;10.1088/1748-9326/ac417e;1.945,00;KIT
2021;10.3390/cryst12010054;1.379,62;KIT
2021;10.1109/ACCESS.2021.3135709;1.545,53;KIT
2021;10.3390/polym13244363;2.006,58;KIT
2021;10.3390/molecules26247481;1.532,91;KIT
2021;10.3390/cryst11121540;811,54;KIT
2021;10.1016/j.jag.2021.102621;2.380,00;KIT
2021;10.1039/D1NA00728A;1.604,04;KIT
2021;10.3390/microorganisms9112318;1.716,86;KIT
2021;10.3390/membranes11120907;1.217,31;KIT
2021;10.3390/molecules26226798;1.935,47;KIT
2021;10.3390/w13243649;1.073,03;KIT
2021;10.1093/jge/gxab069;1.583,89;KIT
2021;10.1371/journal.ppat.1010028;2.704,33;KIT
2021;10.1371/journal.pgen.1009845;2.704,33;KIT
2021;10.3390/pr9112009;1.824,16;KIT
2021;10.3390/min11111272;811,54;KIT
2021;10.3390/e23121607;1.641,75;KIT
2021;10.3390/s21217409;1.686,20;KIT
2021;10.3390/polym13244469;1.686,20;KIT
2021;10.3390/app12010311;1.532,91;KIT
2021;10.3390/app12010187;1.532,91;KIT
2021;10.3390/bios12010018;1.641,75;KIT
2021;10.3390/cryst11111381;811,54;KIT
2021;10.3390/en14227673;1.532,91;KIT
2021;10.3390/cryst11121471;965,73;KIT
2021;10.1109/ACCESS.2021.3125733;1.533,20;KIT
2021;10.3390/w13223308;1.532,91;KIT
2021;10.3390/nano12010140;1.686,20;KIT
2021;10.3390/pr9122210;721,37;KIT
2021;10.3390/nano11123226;1.686,20;KIT
2021;10.3390/nano11123448;1.686,20;KIT
2021;10.3390/applmech2040060;912,09;KIT
2021;10.3390/en14217360;1.502,26;KIT
2021;10.1016/j.jfueco.2021.100038;1.132,50;KIT
2021;10.3390/s21217147;2.006,58;KIT
2021;10.3390/ijerph182111035;2.097,79;KIT
2021;10.3390/metabo11110744;766,46;KIT
2021;10.3390/jcs5110289;1.276,92;KIT
2021;10.1039/D1RA06190A;903,76;KIT
2021;10.1126/sciadv.abm2189;1.990,00;KIT
2021;10.3390/min11101149;1.379,62;KIT
2021;10.3390/catal11101231;1.442,74;KIT
2021;10.3390/met11101588;1.641,75;KIT
2021;10.3390/catal11111310;1.824,16;KIT
2021;10.3390/rs13234765;2.188,99;KIT
2021;10.3390/en14196191;1.502,26;KIT
2021;10.3390/nano11112962;1.686,20;KIT
2021;10.5194/acp-21-13903-2021;2.520,00;KIT
2021;10.3390/act10100256;721,37;KIT
2021;10.3390/life11090975;991,88;KIT
2021;10.5194/acp-21-14403-2021;1.725,00;KIT
2021;10.5194/amt-14-5887-2021;1.875,00;KIT
2021;10.3390/ma14174956;1.824,16;KIT
2021;10.1371/journal.pone.0257635;1.532,33;KIT
2021;10.3390/ijerph182010711;2.097,79;KIT
2021;10.1038/s41598-021-98237-9;1.624,95;KIT
2021;10.3390/ijms221810156;1.532,91;KIT
2021;10.3390/rs13214357;2.188,99;KIT
2021;10.3390/ma14195467;1.442,74;KIT
2021;10.3390/membranes11100742;1.502,26;KIT
2021;10.3390/s21186314;1.502,26;KIT
2021;10.3390/mi12101247;1.379,62;KIT
2021;10.1016/j.gecco.2021.e01749;1.892,10;KIT
2021;10.3390/jof7090758;1.641,75;KIT
2021;10.3390/ijms22179312;1.824,16;KIT
2021;10.1039/D1RA04448F;887,80;KIT
2021;10.3390/separations8100193;1.641,75;KIT
2021;10.1371/journal.pone.0249257;1.485,98;KIT
2021;10.3390/cells10112852;1.073,03;KIT
2021;10.3390/app11167339;1.824,16;KIT
