DOI;Endbetrag (Euro);Institution;Period;opt_out
10.1002/adfm.201909919;2750;KIT;2020;
10.1002/ente.202000857;2750;KIT;2020;
10.1002/adma.202002044;2750;KIT;2020;
10.1002/admi.202000101;2750;KIT;2020;
10.1002/adma.202005630;2750;KIT;2020;
10.1002/cche.10360;2750;KIT;2020;
10.1002/acs.3106;2750;KIT;2020;
10.1002/celc.202000305;2750;KIT;2020;
10.1002/slct.202002367;2750;KIT;2020;
10.1002/aelm.202000811;2750;KIT;2020;
10.1002/admt.202000172;2750;KIT;2020;
10.1002/smll.202003425;2750;KIT;2020;
10.1002/ange.202015790;1375;KIT;2020;
10.1002/ejic.202000273;2750;KIT;2020;
10.1002/zamm.202000061;2750;KIT;2020;
10.1002/anie.202009874;2750;KIT;2020;
10.1002/bit.27616;2750;KIT;2020;
10.1002/mma.7190;2750;KIT;2020;
10.1029/2019JD032146;2750;KIT;2020;
10.1111/nph.16919;2750;KIT;2020;
10.1002/nme.6622;2750;KIT;2020;
10.1002/anie.202013227;2750;KIT;2020;
10.1002/esp.4820;2750;KIT;2020;
10.1002/ente.202000937;2750;KIT;2020;
10.1002/chem.202001357;2750;KIT;2020;
10.1002/adfm.202004476;2750;KIT;2020;
10.1002/adem.202001069;2750;KIT;2020;
10.1111/jipb.13059;2750;KIT;2020;
10.1002/joc.6608;2750;KIT;2020;
10.1002/adma.202006434;2750;KIT;2020;
10.1002/chem.202002394;2750;KIT;2020;
10.1002/qj.3808;2750;KIT;2020;
10.1002/celc.202000639;2750;KIT;2020;
10.1002/adsc.201901453;2750;KIT;2020;
10.1002/stem.3182;2750;KIT;2020;
10.1002/cphc.202000572;2750;KIT;2020;
10.1002/aenm.202002880;2750;KIT;2020;
10.1002/anie.202004433;2750;KIT;2020;
10.1002/adem.202000575;2750;KIT;2020;
10.1002/ente.202000866;2750;KIT;2020;
10.1002/cphc.202000747;2750;KIT;2020;
10.1002/wcc.694;2750;KIT;2020;
10.1002/cssc.201903483;2750;KIT;2020;
10.1002/adma.201908258;2750;KIT;2020;
10.1002/crat.201900235;2750;KIT;2020;
10.1002/chem.202003546;2750;KIT;2020;
10.1111/1750-3841.15451;2750;KIT;2020;
10.1002/smll.202005476;2750;KIT;2020;
10.1002/cphc.202000072;2750;KIT;2020;
10.1002/nme.6579;2750;KIT;2020;
10.1002/smll.202004575;2750;KIT;2020;
10.1002/chem.202003709;2750;KIT;2020;
10.1111/nph.16755;2750;KIT;2020;
10.1002/anie.202014974;2750;KIT;2020;
10.1002/ange.202014974;1375;KIT;2020;
10.1002/btpr.3081;2750;KIT;2020;
10.1002/ange.202007702;1375;KIT;2020;
10.1002/piuz.202001576;2750;KIT;2020;
10.1002/adsu.202000203;2750;KIT;2020;
10.1002/mame.202000383;2750;KIT;2020;
10.1002/adsc.202000512;2750;KIT;2020;
10.1002/cnma.202000433;2750;KIT;2020;
10.1002/admt.202000149;2750;KIT;2020;
10.1002/chem.202002642;2750;KIT;2020;
10.1002/batt.202000009;2750;KIT;2020;
10.1002/ppsc.202000209;2750;KIT;2020;
10.1002/adbi.202000073;2750;KIT;2020;
10.1111/pce.13937;2750;KIT;2020;
10.1002/cssc.201903045;2750;KIT;2020;
10.1002/chem.202002466;2750;KIT;2020;
10.1002/ange.202013227;1375;KIT;2020;
10.1002/ange.202009874;1375;KIT;2020;
10.1002/aenm.202000093;2750;KIT;2020;
10.1002/piuz.202001586;2750;KIT;2020;
10.1002/anie.202003670;2750;KIT;2020;
10.1002/chem.202004833;2750;KIT;2020;
10.1002/spe.2922;2750;KIT;2020;
10.1002/jctb.6529;2750;KIT;2020;
10.1002/adfm.202006998;2750;KIT;2020;
10.1002/mabi.202000154;2750;KIT;2020;
10.1002/zamm.202002042;2750;KIT;2020;TRUE
10.1002/spe.2914;2750;KIT;2020;
10.1029/2020GB006561;2750;KIT;2020;
10.1002/cctc.202000145;2750;KIT;2020;
10.1002/pssr.202000070;2750;KIT;2020;
10.1029/2020GL089863;2750;KIT;2020;
10.1002/pamm.202000234;2750;KIT;2020;
10.1111/gwat.13015;2750;KIT;2020;
10.1002/ceat.201900466;2750;KIT;2020;
10.1002/ange.202003670;1375;KIT;2020;
10.1002/adfm.202000484;2750;KIT;2020;
10.1002/pssr.202000252;2750;KIT;2020;
10.1002/marc.202000440;2750;KIT;2020;
10.1002/batt.202000010;2750;KIT;2020;
10.1002/batt.202000003;2750;KIT;2020;
10.1002/pssa.201900688;2750;KIT;2020;TRUE
10.1002/ente.202000259;2750;KIT;2020;
10.1002/ceat.201900494;2750;KIT;2020;
10.1111/nph.16471;2750;KIT;2020;
10.1002/anie.202009216;2750;KIT;2020;
10.1002/admi.202001673;2750;KIT;2020;
10.1002/cctc.202001314;2750;KIT;2020;
10.1002/ceat.201900644;2750;KIT;2020;
10.1002/ejic.202000174;2750;KIT;2020;
10.1002/ente.202000906;2750;KIT;2020;
10.1002/celc.202001249;2750;KIT;2020;
10.1002/ente.202000915;2750;KIT;2020;
10.1002/smtd.202001021;2750;KIT;2020;
10.1002/hyp.14033;2750;KIT;2020;
10.1002/nme.6605;2750;KIT;2020;
10.1111/jmcb.12690;2750;KIT;2020;
10.1002/fuce.201900212;2750;KIT;2020;
10.1002/celc.202001387;2750;KIT;2020;
10.1002/cite.202000084;2750;KIT;2020;
