Interne ID,institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn
OA2017_001,TU Dresden,2017,881.37,10.3389/fneur.2017.00370,FALSE,Frontiers Media,Frontiers in Neurology,1537-744X
OA2017_003,TU Dresden,2017,1386.35,10.1038/srep35503,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_004,TU Dresden,2017,1938.58,10.3389/fimmu.2017.00044,FALSE,Frontiers Media,Frontiers in Immunology,1664-3224
OA2017_009,TU Dresden,2017,1906.70,10.1177/1177932217712241,FALSE,Sage Publications,Bioinformatics and Biology Insights,1177-9322
OA2017_010,TU Dresden,2017,1409.15,10.1155/2017/8659460,FALSE,Hindawi,Journal of Healthcare Engineering,2040-2309
OA2017_012,TU Dresden,2017,1386.35,10.1038/srep39977,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_013,TU Dresden,2017,1812.01,10.3390/md15020034,FALSE,MDPI AG,Marine Drugs,1660-3397
OA2017_015,TU Dresden,2017,1243.55,10.1038/srep43946,FALSE,Springer Nature,Scientific Reports,2045-2322
OA2017_016,TU Dresden,2017,1995.36,10.3389/fnagi.2017.00033,FALSE,Frontiers Media,Frontiers in Aging Neuroscience,1663-4365
OA2017_018,TU Dresden,2017,1552.95,10.1038/srep43929,FALSE,Springer Nature,Scientific Reports,2045-2323
OA2017_021,TU Dresden,2017,1661.24,10.1186/s12984-017-0301-7,FALSE,BioMed Central,Journal of NeuroEngineering and Rehabilitation,1743-0003
OA2017_022,TU Dresden,2017,1899.24,10.1186/s12974-017-0817-6,FALSE,BioMed Central,Journal of Neuroinflammation,1742-2094
OA2017_023,TU Dresden,2017,1681.32,10.1016/j.nicl.2017.02.014,FALSE,Elsevier,NeuroImage: Clinical,2213-1582
OA2017_024,TU Dresden,2017,1661.24,10.1186/s12955-018-0862-6,FALSE,BioMed Central,BMC Health and Quality of Life Outcomes ,1477-7525
OA2017_025,TU Dresden,2017,1661.24,10.1186/s12885-018-4251-7,FALSE,BioMed Central,BMC Cancer,1471-2407
OA2017_028,TU Dresden,2017,1680.79,10.5334/ijic.3067,FALSE,Ubiquity Press,International Journal of Integrated Care ,1568-4156
OA2017_032,TU Dresden,2017,1661.24,10.1186/s12886-017-0522-3,FALSE,BioMed Central,BMC Ophthalmology,1471-2415
OA2017_034,TU Dresden,2017,1695.75,10.5194/hess-21-5181-2017,FALSE,Copernicus Publications,Hydrology and Earth System Sciences (HESS),1607-7938
OA2017_036,TU Dresden,2017,1661.24,10.1186/s12951-017-0288-z,FALSE,BioMed Central,Journal of Nanobiotechnology,1477-3155
