Institution;Period;EURO;doi;publisher;journal;ISSN.1;ISSN.2;base.url;record.id
TU Dresden;2014;1177,96;10.1063/1.4873597;AIP;AIP Advances;NA;2158-3226;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147610
TU Dresden;2014;1555,00;10.1186/1471-2407-14-82;BMC;BMC Cancer;NA;1471-2407;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147329
TU Dresden;2014;1600,00;10.1186/1471-2296-15-87;BMC;BMC Family Practice;NA;1471-2296;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-148173
TU Dresden;2014;1520,00;10.1186/1472-6920-14-82;BMC;BMC Medical Education;NA;1472-6920;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147480
TU Dresden;2014;1500,00;10.1186/1471-2431-14-33;BMC;BMC Pediatrics;NA;1471-2431;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147124
TU Dresden;2014;1944,00;10.1186/1471-2458-14-392;BMC;BMC Public Health;NA;1471-2458;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147573
TU Dresden;2014;1555,00;10.1186/1745-6673-9-10;BMC;Journal of Occupational Medicine and Toxicology;NA;1745-6673;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147394
TU Dresden;2014;1430,00;10.1186/1745-6673-8-34;BMC;Journal of Occupational Medicine and Toxicology;NA;1745-6673;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147087
TU Dresden;2014;1410,00;10.1186/1745-6215-15-161;BMC;Trials;1468-6708;1468-6694;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-148200
TU Dresden;2014;1410,00;10.1186/1745-6215-15-155;BMC;Trials;1468-6708;1468-6694;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-164891
TU Dresden;2014;1006,70;10.1136/bmjopen-2014-004878 ;BMJ;BMJ Open;NA;2044-6055;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-165221
TU Dresden;2014;1285,20;10.5194/hessd-11-5859-2014;Copernicus;Hydrology and Earth System Sciences;1027-5606;1607-7938;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-165309
TU Dresden;2014;1898,05;10.2147/OTT.S59983;Dove Medical Press;OncoTargets and Therapy;NA;1178-6930;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-165337
TU Dresden;2014;343,65;10.1016/j.invent.2014.03.001;Elsevier;Internet Interventions;NA;2214-7829;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-165311
TU Dresden;2014;1321,74;10.1016/j.nicl.2014.04.003;Elsevier;Neuroimage Clinical;NA;2213-1582;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-165328
TU Dresden;2014;1904,00;10.3389/fnhum.2014.00171;Frontiers;Frontiers in Human Neuroscience;NA;1662-5161;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-165346
TU Dresden;2014;1142,40;10.3389/fpls.2014.00087;Frontiers;Frontiers in Plant Science;NA;1664-462X;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147367
TU Dresden;2014;1142,40;10.3389/fpsyg.2014.00347;Frontiers;Frontiers in Psychology;NA;1664-1078;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147496
TU Dresden;2014;1305,30;10.1155/2014/808071;Hindawi;BioMed Research International;1110-7243;1110-7251;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147183
TU Dresden;2014;1305,30;10.1155/2014/196353;Hindawi;BioMed Research International;1110-7243;1110-7251;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147289
TU Dresden;2014;1287,69;10.1155/2014/938368;Hindawi;BioMed Research International;1110-7243;1110-7251;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-165221
TU Dresden;2014;1297,05;10.1155/2014/150298;Hindawi;BioMed Research International;1110-7243;1110-7251;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147158
TU Dresden;2014;1305,30;10.1155/2014/474905;Hindawi;BioMed Research International;1110-7243;1110-7251;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147337
TU Dresden;2014;879,27;10.1155/2014/438531;Hindawi;Evidence-Based Complementary and Alternative Medicine;1741-427X;1741-4288;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-165309
TU Dresden;2014;970,46;10.4161/biom.27993;Landes Bioscience;Biomatter;NA;2159-2535;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147454
TU Dresden;2014;778,61;10.3390/f5050952;MDPI;Forests;NA;1999-4907;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-148228
TU Dresden;2014;1564,24;10.3390/ijms15022622;MDPI;International Journal of Molecular Sciences ;NA;1422-0067;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147177
TU Dresden;2014;1476,00;10.3390/md12084417;MDPI;Marine Drugs;NA;1660-3397;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-165337
TU Dresden;2014;1244,74;10.1038/srep04944;Nature Publishing Group;Scientific Reports;NA;2045-2322;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147607
TU Dresden;2014;1582,89;10.4172/2157-7579.1000155;OMICS Publishing Group;Journal of Veterinary Science & Technology;2157-7579;NA;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-148413
TU Dresden;2014;1181,68;10.1371/journal.pone.0103956;PLoS;PLoS One;NA;1932-6203;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-165311
TU Dresden;2014;1167,34;10.1371/journal.pone.0092496;PLoS;PLoS One;NA;1932-6203;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147356
TU Dresden;2014;1166,83;10.1371/journal.pone.0088957;PLoS;PLoS One;NA;1932-6203;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147418
TU Dresden;2014;1187,01;10.1371/journal.pone.0100295;PLoS;PLoS One;NA;1932-6203;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-165328
TU Dresden;2014;1166,83;10.1371/journal.pone.0093207;PLoS;PLoS One;NA;1932-6203;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147403
TU Dresden;2014;467,45;10.4236/crcm.2014.33037;Scientific Research Publishing;Case Reports in Clinical Medicine;2325-7075;2325-7083;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147273
TU Dresden;2014;615,49;10.4236/psych.2014.510135;Scientific Research Publishing;Psychology;2152-7180;2152-7199;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-165346
TU Dresden;2014;1283,55;10.5751/ES-06213-190132;The Resilience Alliance;Ecology and Society;NA;1708-3087;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-147145
TU Dresden;2013;1886,15;10.1186/1471-2148-13-49;BMC;BMC Evolutionary Biology;1471-2148;1934-2845;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-126934
TU Dresden;2013;1862,35;10.1186/1471-2296-14-119;BMC;BMC Family Practice;NA;1471-2296;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-127598
TU Dresden;2013;1904,00;10.1186/1471-2482-13-12;BMC;BMC Surgery;NA;1471-2482;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-127053
TU Dresden;2013;1886,15;10.1186/1752-0509-7-77;BMC;BMC Systems Biology;NA;1752-0509;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-127265
TU Dresden;2013;1636,25;10.1186/2040-7378-5-7;BMC;Experimental & Translational Stroke Medicine;NA;2040-7378;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-127167
TU Dresden;2013;1552,95;10.1186/2194-7511-1-7;BMC;International Journal of Bipolar Disorders;NA;2194-7511;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-127182
TU Dresden;2013;1701,70;10.1186/1742-4690-10-45;BMC;Retrovirology;NA;1742-4690;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-127152
TU Dresden;2013;1624,35;10.1186/1745-6215-14-252;BMC;Trials;1468-6708;1745-6215;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-127301
TU Dresden;2013;714,00;10.5194/hessd-10-4463-2013;European Geosciences Union;Hydrology and Earth Sciences ;1027-5606;1607-7938;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-127107
TU Dresden;2013;916,30;10.3389/fnhum.2013.00510;Frontiers;Frontiers in Human Neuroscience;NA;1662-5161;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-127292
TU Dresden;2013;850,00;10.3389/fimmu.2013.00380;Frontiers;Frontiers in Immunology;NA;1664-3224;http://www.qucosa.de;urn:nbn:de:bsz:14-qucosa-132135
