"period","doi","publisher","journal_full_title","euro","is_hybrid","institution"
2019,"10.1186/s12891-019-2715-9","BioMed Central","BMC Muscoloskeletal Disorders",1894.48,"FALSE","TU Dresden"
2019,"10.1186/s12871-019-0890-8","BioMed Central","BMC Anesthesiology",1780.24,"FALSE","TU Dresden"
2019,"10.1186/s13034-019-0294-z","BioMed Central","Child and Adolescent Psychiatry and Mental Health",1894.48,"FALSE","TU Dresden"
2019,"10.1186/s12871-019-0823-6","BioMed Central","BMC Anesthesiology",1780.24,"FALSE","TU Dresden"
2019,"10.3389/fninf.2019.00059","Frontiers","Frontiers in Neuroscience",2004.92,"FALSE","TU Dresden"
2019,"10.15376/BIORES.14.2.2536-2549","North Carolina State University","Bioresources",1241.42,"FALSE","TU Dresden"
2019,"10.1109/JEDS.2019.2932138","IEEE","Journal of the Electron Devices Society",746.99,"FALSE","TU Dresden"
2019,"10.1371/journal.pone.0224594","Public Library of Science","PLOS One",1708.24,"FALSE","TU Dresden"
2019,"10.1038/s41598-019-47933-8","Springer Nature","Scientific Reports",1773.10,"FALSE","TU Dresden"
2019,"10.1186/s13011-019-0234-1","BioMed Central","Substance Abuse Treatment, Prevention, and Policy",1894.48,"FALSE","TU Dresden"
2019,"10.1186/s40345-019-0155-y","Springer Open","International Journal of Bipolar Disorders",1704.08,"FALSE","TU Dresden"
2019,"10.1371/journal.pone.0225548","Public Library of Science","PLOS One",1706.82,"FALSE","TU Dresden"
2019,"10.1186/s40345-019-0158-8","Springer Open","International Journal of Bipolar Disorders",1704.08,"FALSE","TU Dresden"
2019,"10.1186/s12974-019-1674-2","BioMed Central","Journal of Neuroinflammation",1936.73,"FALSE","TU Dresden"
2019,"10.1371/journal.pone.0224509","Public Library of Science","PLOS One",1703.91,"FALSE","TU Dresden"
2019,"10.3389/fneur.2019.00679","Frontiers","Frontiers in Neurology",1874.89,"FALSE","TU Dresden"
2019,"10.3390/e21080735","MDPI","Entropy",727.22,"FALSE","TU Dresden"
2019,"10.3390/app9173462","MDPI","Applied Sciences",727.22,"FALSE","TU Dresden"
2019,"10.3390/e21080752","MDPI","Entropy",727.22,"FALSE","TU Dresden"
2019,"10.3390/polym11081279","MDPI","Polymers",727.22,"FALSE","TU Dresden"
