"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"TU Dresden",2015,1508.92,"10.1186/s12888-015-0386-0",FALSE,"Springer Nature","BMC Psychiatry","1471-244X","1471-244X",NA,NA,TRUE,"25651838","PMC4321323",NA,NA,TRUE
"TU Dresden",2015,1827.84,"10.1186/s40001-015-0086-8",FALSE,"Springer Nature","European Journal of Medical Research","2047-783X","2047-783X",NA,NA,TRUE,"25890316","PMC4355522",NA,NA,TRUE
"TU Dresden",2015,1386.35,"10.1038/srep08710",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,TRUE,"25736576","PMC4348631",NA,NA,TRUE
"TU Dresden",2015,1594.6,"10.1186/s12887-015-0334-7",FALSE,"Springer Nature","BMC Pediatrics","1471-2431",NA,"1471-2431",NA,TRUE,"25884954","PMC4374498",NA,NA,TRUE
"TU Dresden",2015,1429.27,"10.1371/journal.pone.0120335",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25803035","PMC4372556",NA,NA,TRUE
"TU Dresden",2015,1523.2,"10.3389/fnbeh.2015.00050",FALSE,"Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153",NA,"1662-5153",NA,TRUE,"25784865","PMC4347623",NA,NA,TRUE
"TU Dresden",2015,1523.2,"10.1186/s12880-015-0046-3",FALSE,"Springer Nature","BMC Medical Imaging","1471-2342","1471-2342",NA,NA,TRUE,"25885469","PMC4359796",NA,NA,TRUE
"TU Dresden",2015,1408.72,"10.1371/journal.pone.0131252",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26148066","PMC4493054",NA,NA,TRUE
"TU Dresden",2015,1904,"10.3389/fnhum.2015.00180",FALSE,"Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161",NA,"1662-5161",NA,TRUE,"25914635","PMC4392699",NA,NA,TRUE
"TU Dresden",2015,1485.57,"10.1371/journal.pone.0126600",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25978044","PMC4433191",NA,NA,TRUE
"TU Dresden",2015,1485.57,"10.1371/journal.pone.0124582",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25867024","PMC4395102",NA,NA,TRUE
"TU Dresden",2015,1342.32,"10.1186/s13326-015-0015-3",FALSE,"Springer Nature","Journal of Biomedical Semantics","2041-1480",NA,"2041-1480",NA,TRUE,"25949785","PMC4422531",NA,NA,TRUE
"TU Dresden",2015,423.79,NA,FALSE,"World Academic Publishing","Frontiers in Psychological and Behavioral Science","2309-0138",NA,NA,NA,FALSE,NA,NA,NA,"http://www.academicpub.org/fpbs/paperInfo.aspx?PaperID=16578",FALSE
"TU Dresden",2015,2136.06,"10.1155/2015/906356",FALSE,"Hindawi Publishing Corporation","BioMed Research International","2314-6133","2314-6133","2314-6141","http://creativecommons.org/licenses/by/3.0/",TRUE,"26557710","PMC4628707",NA,NA,TRUE
"TU Dresden",2015,1441.84,"10.1371/journal.pone.0125035",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25955359","PMC4425509",NA,NA,TRUE
"TU Dresden",2015,1408.96,"10.1186/s13326-015-0021-5",FALSE,"Springer Nature","Journal of Biomedical Semantics","2041-1480",NA,"2041-1480",NA,TRUE,"26150906","PMC4492092",NA,NA,TRUE
"TU Dresden",2015,1581.33,"10.1016/j.dcn.2015.05.001",FALSE,"Elsevier BV","Developmental Cognitive Neuroscience","18789293","18789293",NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"26093849",NA,NA,NA,FALSE
"TU Dresden",2015,1386.35,"10.1038/srep12582",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,TRUE,"26215769","PMC4648477",NA,NA,TRUE
"TU Dresden",2015,1419.55,"10.1371/journal.pone.0129205",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26067982","PMC4466598",NA,NA,TRUE
"TU Dresden",2015,2193.17,"10.2147/NDT.S84798",FALSE,"Dove Medical Press Ltd.","Neuropsychiatric Disease and Treatment","1178-2021",NA,"1178-2021",NA,TRUE,"26557753","PMC4624058",NA,NA,TRUE
"TU Dresden",2015,344.86,"10.1155/2015/876752",FALSE,"Hindawi Publishing Corporation","Case Reports in Hematology","2090-6560","2090-6560","2090-6579","http://creativecommons.org/licenses/by/3.0/",TRUE,"25949835","PMC4408628",NA,NA,TRUE
"TU Dresden",2015,1035.68,"10.3390/f6061949",FALSE,"MDPI AG","Forests","1999-4907",NA,"1999-4907",NA,TRUE,NA,NA,NA,NA,TRUE
"TU Dresden",2015,1468.33,"10.1371/journal.pone.0132241",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26186691","PMC4505946",NA,NA,TRUE
"TU Dresden",2015,1765.07,"10.1186/s12862-015-0416-z",FALSE,"Springer Nature","BMC Evolutionary Biology","1471-2148","1471-2148",NA,NA,TRUE,"26141718","PMC4491267",NA,NA,TRUE
"TU Dresden",2015,1513.68,"10.1186/s12859-015-0564-6",FALSE,"Springer Nature","BMC Bioinformatics","1471-2105",NA,"1471-2105",NA,TRUE,"25925131","PMC4450488",NA,NA,TRUE
"TU Dresden",2015,1528.26,"10.3389/fpsyg.2015.00934",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,TRUE,"26217267","PMC4491597",NA,NA,TRUE
"TU Dresden",2015,1725.5,"10.1136/bmjopen-2015-008146",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055",NA,NA,TRUE,"26547084","PMC4636634",NA,NA,TRUE
"TU Dresden",2015,1468.6,"10.1371/journal.pone.0132716",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26181330","PMC4504467",NA,NA,TRUE
"TU Dresden",2015,1547,"10.1186/s13071-015-0982-3",FALSE,"Springer Nature","Parasites & Vectors","1756-3305",NA,"1756-3305",NA,TRUE,"26209229","PMC4514997",NA,NA,TRUE
