"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn"
"TU Dresden","2016",1899.24,"10.1186/s12974-016-0635-2",FALSE,"BioMed Central","Journal of Neuroinflammation","1742-2094"
"TU Dresden","2016",964.91,"10.3389/fmicb.2016.00039",FALSE,"Frontiers Media","Frontiers in Microbiology","1664-302X"
"TU Dresden","2016",1740.97,"10.1093/gbe/evv256",FALSE,"Oxford University Press","Genome Biology and Evolution","1759-6653"
"TU Dresden","2016",1934.22,"10.1155/2016/4736159",FALSE,"Hindawi","Stem Cells International","1687-966X"
"TU Dresden","2016",1976.82,"10.1371/journal.pcbi.1004736",FALSE,"Public Library of Science (PLoS)","Plos Computational Biology","1932-6203"
"TU Dresden","2016",1961.27,"10.1371/journal.pcbi.1004662",FALSE,"Public Library of Science (PLoS)","PLOS Computational Biology","1932-6203"
"TU Dresden","2016",1782.93,"10.1159/000369075",FALSE,"Frontiers Media","Frontiers in Pharmacology","1663-9812"
"TU Dresden","2016",1782.93,"10.3389/fnhum.2016.00183",FALSE,"Frontiers Media","Frontiers in Human Neuroscience","1662-5161"
"TU Dresden","2016",1962.87,"10.3389/fnhum.2016.00516",FALSE,"Frontiers Media","Frontiers in Human Neuroscience","1662-5161"
"TU Dresden","2016",1545.03,"10.3390/rs8050408",FALSE,"MDPI","Remote sensing","2072-4292"
"TU Dresden","2016",1330.31,"10.15376/biores.11.1.2640-2654",FALSE,"North Carolina State University","BioResources","1930-2126"
"TU Dresden","2016",952.00,"10.17645/pag.v4i1.457",FALSE,"Cogitatio Press","Politics and Governance","2183-2463"
"TU Dresden","2016",1999.20,"10.1038/lsa.2016.121",FALSE,"Nature Publishing Group","Light: Science & Applications","2047-7538"
"TU Dresden","2016",999.60,"10.1007/s41109-016-0011-2",FALSE,"Springer Science + Business Media B.V","Applied Network Science","2364-8228"
"TU Dresden","2016",1890.62,"10.3389/FNINS.2016.00068",FALSE,"Frontiers Media","Frontiers in Neuroscience","1662-453X"
"TU Dresden","2016",1661.24,"10.1186/s12889-016-3228-1",FALSE,"BioMed Central","BMC Public Health","1471-2458"
"TU Dresden","2016",1661.24,"10.1186/s12887-016-0640-8",FALSE,"BioMed Central","BMC Pediatrics","1471-2431"
"TU Dresden","2016",1661.24,"10.1186/s13005-016-0114-0",FALSE,"BioMed Central","Head & Face Medicine","1746-160X"
"TU Dresden","2016",1573.19,"10.1155/2016/7545632",FALSE,"Hindawi","Advances in Condensed Matter Physics","1687-8108"
"TU Dresden","2016",1904.00,"10.1127/metz/2016/0732",FALSE,"Schweizerbart Science Publishers, Borntraeger","Meteorologische Zeitschrift","0941-2948"
"TU Dresden","2016",1574.24,"10.14336/AD.2016.0305",FALSE,"Buck Institute for Age Research","Aging and Disease","2152-5250"
"TU Dresden","2016",1384.16,"10.3390/s16050602",FALSE,"MDPI","Sensors","1424-8220"
"TU Dresden","2016",1523.20,"10.1186/s13550-016-0203-x",FALSE,"Springer Science + Business Media B.V","EJNMMI Research/European Journal of Nuclear Medicine and Molecular Imaging","2191-219X"
"TU Dresden","2016",1386.35,"10.1038/srep24254",FALSE,"Nature Publishing Group","Scientific Reports","2045-2322"
"TU Dresden","2016",1890.63,"10.3389/fnint.2016.00014",FALSE,"Frontiers Media","Frontiers in Integrative Neuroscience","1662-5145"
"TU Dresden","2016",1944.27,"10.3389/fncom.2016.00033",FALSE,"Frontiers Media","Frontiers in Computational Neuroscience","1662-5188"
"TU Dresden","2016",1974.21,"10.2147/NDT.S101938",FALSE,"Dove Medical Press ","Neuropsychiatric Disease and Treatment","1178-2021"
"TU Dresden","2016",1376.83,"10.3390/polym8040132",FALSE,"MDPI","Polymers","2073-4360"
"TU Dresden","2016",1570.11,"10.1371/journal.pone.0154046",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203"
"TU Dresden","2016",1523.20,"10.1186/s13613-016-0174-0",FALSE,"Springer Science + Business Media B.V","Annals of Intensive Care","2110-5820"
