"DOI","period","Institution","is_hybrid"
"10.1007/s10806-018-9712-0",2018,"Wageningen University","TRUE"
"10.1007/s00426-018-0986-7",2018,"Leiden University","TRUE"
"10.3758/s13428-017-1007-2",2018,"University of Groningen","TRUE"
"10.1007/s10578-018-0783-y",2018,"VU University Amsterdam","TRUE"
"10.1007/s00246-018-1807-x",2018,"Leiden University Medical Center (LUMC)","TRUE"
"10.1007/s10676-018-9445-9",2018,"Eindhoven University of Technology","TRUE"
"10.1007/s10806-018-9711-1",2018,"Leiden University","TRUE"
"10.1007/s10236-018-1134-z",2018,"Utrecht University","TRUE"
"10.1007/s00442-018-4064-z",2018,"Radboud University","TRUE"
"10.1007/s00401-018-1806-2",2018,"University Medical Center Rotterdam (Erasmus MC)","TRUE"
"10.1007/s00418-018-1632-6",2018,"University Medical Center Groningen (UMCG)","TRUE"
"10.1007/s10549-018-4669-2",2018,"University Medical Center Groningen (UMCG)","TRUE"
"10.1007/s13235-018-0238-x",2018,"University of Amsterdam","TRUE"
"10.1007/s00574-018-0073-0",2018,"University of Amsterdam","TRUE"
"10.1007/s00182-018-0611-4",2018,"Maastricht University","TRUE"
"10.3758/s13415-018-0566-8",2018,"Radboud University","TRUE"
"10.1007/s00464-018-6021-7",2018,"Leiden University Medical Center (LUMC)","TRUE"
"10.1007/s11251-018-9448-2",2018,"Utrecht University","TRUE"
"10.1007/s40134-018-0263-y",2018,"Maastricht University Medical Center (UMC+)","TRUE"
"10.1007/s10459-018-9812-7",2018,"Utrecht University","TRUE"
"10.1007/s11242-018-0999-0",2018,"Utrecht University","TRUE"
"10.1007/s00464-018-6037-z",2018,"Academic Medical Center (AMC)","TRUE"
"10.1007/s00267-018-0995-8",2018,"Utrecht University","TRUE"
"10.1007/s00464-018-6042-2",2018,"Academic Medical Center (AMC)","TRUE"
"10.1007/s10120-018-0792-3",2018,"Academic Medical Center (AMC)","TRUE"
"10.1007/s11096-018-0589-9",2018,"University Medical Center Utrecht","TRUE"
"10.1007/s40273-017-0607-0",2018,"Maastricht University Medical Center (UMC+)","TRUE"
"10.1007/s00264-018-3781-6",2018,"Academic Medical Center (AMC)","TRUE"
"10.1007/s11423-017-9568-4",2018,"University of Twente","TRUE"
"10.1007/s10266-018-0339-4",2018,"VU University Medical Center (VUmc)","TRUE"
"10.1007/s10676-018-9446-8",2018,"University of Twente","TRUE"
"10.1007/s00394-018-1612-6",2018,"Maastricht University","TRUE"
"10.1007/s00787-018-1106-3",2018,"VU University Amsterdam","TRUE"
"10.1007/s00066-018-1262-x",2018,"Maastricht University Medical Center (UMC+)","TRUE"
"10.1007/s10803-017-3445-1",2018,"Radboud University","TRUE"
"10.1007/s10851-018-0787-z",2018,"Eindhoven University of Technology","TRUE"
"10.1007/s40134-018-0262-z",2018,"University Medical Center Groningen (UMCG)","TRUE"
"10.1007/s12021-018-9356-2",2018,"University Medical Center Utrecht","TRUE"
"10.1007/s12671-018-0891-6",2018,"University Medical Center Groningen (UMCG)","TRUE"
"10.1007/s12369-018-0467-6",2018,"Tilburg University","TRUE"
"10.1007/s10566-018-9441-6",2018,"Radboud University","TRUE"
"10.1007/s11024-017-9338-9",2018,"Leiden University","TRUE"
"10.1007/s11242-018-1000-y",2018,"Utrecht University","TRUE"
"10.1007/s10096-018-3193-y",2018,"Wageningen University","TRUE"
"10.1007/s10803-017-3444-2",2018,"University of Amsterdam","TRUE"
"10.1007/s10879-017-9379-2",2018,"University of Groningen","TRUE"
"10.1007/s10955-018-1957-5",2018,"Eindhoven University of Technology","TRUE"
"10.1007/s12063-018-0129-8",2018,"Tilburg University","TRUE"
"10.1007/s11117-018-0560-y",2018,"Radboud University","TRUE"
"10.1007/s10482-018-1014-z",2018,"Leiden University","TRUE"
"10.1007/s11185-017-9190-4",2018,"Leiden University","TRUE"
"10.1007/s00068-018-0905-z",2018,"VU University Medical Center (VUmc)","TRUE"
"10.1007/s10067-018-3980-y",2018,"University Medical Center Utrecht","TRUE"
"10.1007/s10029-018-1739-7",2018,"University Medical Center Rotterdam (Erasmus MC)","TRUE"
"10.1007/s12122-017-9260-9",2018,"University of Amsterdam","TRUE"
"10.1007/s00464-018-6023-5",2018,"Delft University of Technology","TRUE"
"10.1007/s10955-018-1952-x",2018,"Eindhoven University of Technology","TRUE"
"10.1007/s00415-018-8765-3",2018,"VU University Medical Center (VUmc)","TRUE"
"10.1007/s00426-018-0976-9",2018,"Leiden University","TRUE"
"10.1007/s11121-018-0864-y",2018,"University of Amsterdam","TRUE"
"10.1007/s11128-018-1819-8",2018,"Eindhoven University of Technology","TRUE"
"10.1007/s11238-017-9652-6",2018,"Leiden University","TRUE"
"10.1007/s40336-018-0263-1",2018,"University of Groningen","TRUE"
"10.1007/s40264-017-0635-x",2018,"University of Groningen","TRUE"
"10.1007/s10654-018-0359-y",2018,"Maastricht University","TRUE"
"10.1007/s00122-018-3055-0",2018,"Wageningen University","TRUE"
"10.1007/s10549-018-4688-z",2018,"Radboud University Medical Center","TRUE"
"10.1007/s11102-017-0860-4",2018,"Leiden University Medical Center (LUMC)","TRUE"
