"DOI","Institution","is_hybrid","period"
"10.1007/s10545-016-9990-5","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s00467-016-3515-1","Radboud University Medical Center",TRUE,2016
"10.1007/s11104-016-3094-8","Utrecht University",TRUE,2016
"10.1007/s00784-016-1985-y","Erasmus MC",TRUE,2016
"10.1007/s00464-016-5304-0","Maastricht University Medical Center (UMC+)",TRUE,2016
"10.1007/s11948-016-9832-8","Eindhoven University of Technology",TRUE,2016
"10.1007/s10566-016-9383-9","University of Amsterdam",TRUE,2016
"10.1007/s00262-016-1925-3","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s11825-016-0102-6","Maastricht University Medical Center (UMC+)",TRUE,2016
"10.1007/s10113-016-1078-0","University of Amsterdam",TRUE,2016
"10.1007/s10209-016-0502-z","Delft University of Technology",TRUE,2016
"10.1007/s00431-016-2810-y","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s00182-016-0558-2","Erasmus University",TRUE,2016
"10.1007/s00285-016-1075-4","Delft University of Technology",TRUE,2016
"10.1007/s10554-016-1031-9","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s12520-016-0431-z","Utrecht University",TRUE,2016
"10.1007/s10800-016-1017-2","Eindhoven University of Technology",TRUE,2016
"10.1007/s10459-016-9737-y","Radboud University Medical Center",TRUE,2016
"10.1007/s10443-016-9564-6","Delft University of Technology",TRUE,2016
"10.1007/s40802-016-0072-z","Leiden University",TRUE,2016
"10.1007/s10666-016-9545-z","VU University Amsterdam",TRUE,2016
"10.1007/s10616-016-0036-5","Wageningen University",TRUE,2016
"10.1007/s10533-016-0272-y","Utrecht University",TRUE,2016
"10.1007/s00467-016-3494-2","Radboud University Medical Center",TRUE,2016
"10.1007/s10494-016-9777-7","Eindhoven University of Technology",TRUE,2016
"10.1007/s13760-016-0712-4","Radboud University Medical Center",TRUE,2016
"10.1007/s10608-016-9815-8","VU University Amsterdam",TRUE,2016
"10.1007/s00405-016-4353-2","University Medical Center Utrecht",TRUE,2016
"10.1007/s40262-016-0471-7","Erasmus MC",TRUE,2016
"10.1007/s00431-016-2804-9","Maastricht University Medical Center (UMC+)",TRUE,2016
"10.1007/s00384-016-2706-3","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s12529-016-9610-7","VU University Medical Center (VUmc)",TRUE,2016
