"DOI","Institution","is_hybrid","period"
"10.1007/s12062-016-9159-x","VU University Amsterdam",TRUE,2016
"10.1007/s11883-016-0618-x","Erasmus MC",TRUE,2016
"10.1007/s10803-016-2919-x","Erasmus MC",TRUE,2016
"10.1007/s11557-016-1230-8","Fungal Biodiversity Center (CBS)",TRUE,2016
"10.1007/s11069-016-2619-z","Delft University of Technology",TRUE,2016
"10.1007/s10815-016-0816-z","Radboud University Medical Center",TRUE,2016
"10.1007/s10461-016-1583-7","Radboud University Medical Center",TRUE,2016
"10.1007/s10916-016-0631-1","Delft University of Technology",TRUE,2016
"10.1007/s00259-016-3545-8","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s10901-016-9528-z","Delft University of Technology",TRUE,2016
"10.1007/s11004-016-9658-6","Delft University of Technology",TRUE,2016
"10.1007/s10021-016-0061-4","Netherlands Institute of Ecology",TRUE,2016
"10.1007/s40670-016-0333-9","Erasmus MC",TRUE,2016
"10.1007/s11590-016-1087-4","Tilburg University",TRUE,2016
"10.1007/s10961-016-9510-7","Utrecht University",TRUE,2016
"10.1007/s11368-016-1571-6","Wageningen University",TRUE,2016
"10.1007/s10458-016-9346-4","Delft University of Technology",TRUE,2016
"10.1007/s10988-016-9195-2","University of Amsterdam",TRUE,2016
"10.1007/s11127-016-0374-z","University of Amsterdam",TRUE,2016
"10.1007/s12020-016-1092-5","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s00592-016-0911-8","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s11121-016-0712-x","Utrecht University",TRUE,2016
"10.1007/s11557-016-1227-3","Fungal Biodiversity Center (CBS)",TRUE,2016
"10.1007/s00330-016-4598-6","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s10780-016-9292-8","Erasmus University",TRUE,2016
"10.1007/s12529-016-9595-2","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s40571-016-0136-1","University of Twente",TRUE,2016
"10.1007/s10902-016-9806-1","Open University of The Netherlands",TRUE,2016
"10.1007/s00049-016-0222-0","Wageningen University",TRUE,2016
"10.1007/s00442-016-3758-3","Wageningen University",TRUE,2016
"10.3758/s13428-016-0822-1","Utrecht University",TRUE,2016
"10.1007/s12528-016-9125-x","Utrecht University",TRUE,2016
"10.1007/s00125-016-4125-y","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s10551-016-3346-9","Erasmus University",TRUE,2016
"10.1007/s40802-016-0066-x","Erasmus University",TRUE,2016
"10.1007/s12079-016-0358-2","University Medical Center Utrecht",TRUE,2016
"10.1007/s11249-016-0772-x","University of Twente",TRUE,2016
"10.1007/s10236-016-1000-9","Delft University of Technology",TRUE,2016
"10.1007/s11682-016-9633-3","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s00415-016-8318-6","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s11307-016-1021-2","Radboud University Medical Center",TRUE,2016
"10.1007/s11019-016-9741-2","Maastricht University",TRUE,2016
"10.1007/s41020-016-0030-y","Maastricht University Medical Center (UMC+)",TRUE,2016
"10.1007/s00204-016-1868-7","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s40641-016-0049-3","Utrecht University",TRUE,2016
"10.1007/s00405-016-4299-4","University Medical Center Utrecht",TRUE,2016
"10.1007/s00467-016-3496-0","Radboud University Medical Center",TRUE,2016
"10.1007/s11698-016-0154-5","Utrecht University",TRUE,2016
"10.1007/s13365-016-0483-y","University Medical Center Utrecht",TRUE,2016
"10.1007/s00726-016-2344-7","Maastricht University",TRUE,2016
"10.1007/s00520-016-3453-2","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s00500-016-2391-8","University of Amsterdam",TRUE,2016
"10.1007/s10617-016-9179-z","University of Amsterdam",TRUE,2016
"10.1007/s10456-016-9527-4","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s00285-016-1068-3","Maastricht University",TRUE,2016
"10.1007/s00125-016-4136-8","Erasmus MC",TRUE,2016
"10.1007/s11116-016-9739-x","Delft University of Technology",TRUE,2016
"10.1007/s10433-016-0401-4","University of Groningen",TRUE,2016
"10.1007/s10482-016-0779-1","Fungal Biodiversity Center (CBS)",TRUE,2016
"10.1007/s13361-016-1511-0","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s40474-016-0101-y","Maastricht University",TRUE,2016
"10.1007/s00464-016-5284-0","Radboud University Medical Center",TRUE,2016
"10.1007/s11136-016-1426-z","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s10531-016-1238-z","Tilburg University",TRUE,2016
"10.1007/s10705-016-9803-0","Wageningen University",TRUE,2016
"10.1007/s11682-016-9631-5","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s00180-016-0686-y","University of Groningen",TRUE,2016
"10.1007/s10648-016-9388-9","Erasmus University",TRUE,2016
"10.1007/s10452-016-9604-1","Wageningen University",TRUE,2016
"10.1007/s10950-016-9612-6","Utrecht University",TRUE,2016
"10.1007/s10802-016-0216-y","Leiden University",TRUE,2016
"10.1007/s13278-016-0402-5","University of Amsterdam",TRUE,2016
"10.1007/s10926-016-9673-y","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s10459-016-9723-4","Radboud University Medical Center",TRUE,2016
"10.1007/s10609-016-9287-2","Tilburg University",TRUE,2016
"10.1007/s10546-016-0199-9","Eindhoven University of Technology",TRUE,2016
"10.1007/s00467-016-3499-x","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s11225-016-9684-x","University of Amsterdam",TRUE,2016
"10.1007/s13272-016-0215-2","Delft University of Technology",TRUE,2016
"10.1007/s00726-016-2342-9","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s10336-016-1403-x","University of Groningen",TRUE,2016
"10.1007/s00464-016-5270-6","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s00405-016-4320-y","Maastricht University Medical Center (UMC+)",TRUE,2016
"10.1007/s11116-016-9740-4","Eindhoven University of Technology",TRUE,2016
"10.1007/s10654-016-0201-3","Erasmus MC",TRUE,2016
"10.1007/s41465-016-0003-2","Leiden University",TRUE,2016
"10.3758/s13423-016-1179-2","Radboud University",TRUE,2016
"10.1007/s12526-016-0587-x","University of Amsterdam",TRUE,2016
"10.1007/s10459-016-9720-7","Erasmus MC",TRUE,2016
"10.1007/s13595-016-0585-y","Wageningen University",TRUE,2016
"10.1007/s00122-016-2798-8","Wageningen University",TRUE,2016
"10.1007/s10940-016-9326-5","Maastricht University",TRUE,2016
"10.1007/s13347-016-0238-y","Utrecht University",TRUE,2016
"10.1007/s00404-016-4214-7","Eindhoven University of Technology",TRUE,2016
"10.1007/s10009-016-0438-x","University of Twente",TRUE,2016
"10.1007/s00205-016-1049-0","VU University Amsterdam",TRUE,2016
"10.1007/s11165-016-9560-8","VU University Amsterdam",TRUE,2016
"10.3758/s13423-016-1167-6","University of Amsterdam",TRUE,2016
"10.1007/s40271-016-0198-4","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s40142-016-0104-3","University of Groningen",TRUE,2016
"10.1007/s11023-016-9401-6","University of Amsterdam",TRUE,2016
"10.1007/s10658-016-1061-0","Wageningen University",TRUE,2016
"10.1007/s41133-016-0003-x","Delft University of Technology",TRUE,2016
"10.1007/s00125-016-4134-x","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s00428-016-2035-5","Radboud University Medical Center",TRUE,2016
"10.1007/s10984-016-9218-5","University of Amsterdam",TRUE,2016
"10.1007/s10984-016-9217-6","Eindhoven University of Technology",TRUE,2016
"10.1007/s10236-016-0998-z","Delft University of Technology",TRUE,2016
"10.1007/s00167-016-4350-4","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s12630-016-0760-5","Maastricht University Medical Center (UMC+)",TRUE,2016
"10.1007/s00439-016-1733-z","Radboud University",TRUE,2016
"10.1007/s10668-016-9874-8","Maastricht University",TRUE,2016
"10.1208/s12248-016-0002-3","Leiden University",TRUE,2016
"10.1007/s00038-016-0902-0","Radboud University",TRUE,2016
"10.1007/s00198-016-3786-1","Maastricht University",TRUE,2016
"10.1007/s00330-016-4567-0","Erasmus University",TRUE,2016
"10.1007/s10009-016-0433-2","University of Twente",TRUE,2016
"10.1007/s00029-016-0273-7","University of Amsterdam",TRUE,2016
"10.1007/s10654-016-0206-y","Erasmus University",TRUE,2016
"10.1007/s10902-016-9808-z","Erasmus University",TRUE,2016
"10.1007/s10021-016-0052-5","Wageningen University",TRUE,2016
"10.1007/s11682-016-9632-4","Radboud University Medical Center",TRUE,2016
"10.1007/s10670-016-9848-0","Tilburg University",TRUE,2016
"10.1007/s10533-016-0252-2","VU University Amsterdam",TRUE,2016
"10.3758/s13414-016-1220-6","Utrecht University",TRUE,2016
"10.1007/s10984-016-9222-9","University of Amsterdam",TRUE,2016
"10.1007/s00442-016-3749-4","Wageningen University",TRUE,2016
"10.1007/s10840-016-0200-z","University of Twente",TRUE,2016
"10.1007/s00701-016-2984-0","University Medical Center Utrecht",TRUE,2016
"10.1007/s10551-016-3345-x","Radboud University",TRUE,2016
"10.1007/s10784-016-9336-7","VU University Amsterdam",TRUE,2016
"10.1007/s10943-016-0318-4","University of Groningen",TRUE,2016
"10.1007/s40262-016-0467-3","Utrecht University",TRUE,2016
"10.1007/s10926-016-9674-x","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s11613-016-0481-1","VU University Amsterdam",TRUE,2016
"10.1007/s00221-016-4800-8","Erasmus MC",TRUE,2016
"10.1007/s11136-016-1445-9","Erasmus MC",TRUE,2016
"10.1007/s11191-016-9853-3","Radboud University",TRUE,2016
"10.1007/s41465-016-0002-3","Radboud University",TRUE,2016
"10.1007/s00464-016-5248-4","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s11192-016-2119-7","University of Amsterdam",TRUE,2016
"10.1007/s11192-016-2150-8","University of Amsterdam",TRUE,2016
"10.1007/s00262-016-1919-1","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s10689-016-9937-x","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s12528-016-9123-z","Open University of The Netherlands",TRUE,2016
"10.1007/s00125-016-4139-5","Erasmus MC",TRUE,2016
"10.1007/s00467-016-3537-8","Erasmus MC",TRUE,2016
"10.1007/s12526-016-0596-9","Leiden University",TRUE,2016
"10.1007/s00223-016-0197-4","Academic Center for Dentistry Amsterdam (ACTA)",TRUE,2016
"10.1007/s00701-016-2991-1","Radboud University Medical Center",TRUE,2016
"10.1007/s10948-016-3846-y","University of Twente",TRUE,2016
"10.1007/s00366-016-0488-4","Delft University of Technology",TRUE,2016
"10.1007/s10519-016-9823-1","VU University Amsterdam",TRUE,2016
"10.1007/s00228-016-2138-6","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s40520-016-0635-1","Radboud University",TRUE,2016
"10.1007/s11120-016-0312-4","VU University Amsterdam",TRUE,2016
"10.1007/s00018-016-2383-y","Wageningen University",TRUE,2016
"10.1007/s11229-016-1239-1","University of Amsterdam",TRUE,2016
"10.1007/s10865-016-9799-6","Radboud University Medical Center",TRUE,2016
"10.1007/s10802-016-0211-3","Utrecht University",TRUE,2016
"10.1007/s11135-016-0422-2","Tilburg University",TRUE,2016
"10.1007/s00464-016-5247-5","Erasmus MC",TRUE,2016
"10.1007/s00038-016-0901-1","Radboud University",TRUE,2016
"10.1007/s11682-016-9626-2","University of Groningen",TRUE,2016
"10.1007/s00259-016-3552-9","University Medical Center Utrecht",TRUE,2016
"10.1007/s00330-016-4577-y","Radboud University Medical Center",TRUE,2016
"10.1007/s10040-016-1475-y","Wageningen University",TRUE,2016
"10.1007/s10603-016-9334-8","University of Groningen",TRUE,2016
"10.1007/s11229-016-1210-1","VU University Amsterdam",TRUE,2016
"10.1007/s10826-016-0579-2","University of Amsterdam",TRUE,2016
"10.1007/s11229-016-1236-4","University of Twente",TRUE,2016
"10.1007/s00784-016-1980-3","VU University Amsterdam",TRUE,2016
"10.1007/s00348-016-2258-x","Delft University of Technology",TRUE,2016
"10.1007/s10484-016-9344-y","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s10640-016-0076-5","University of Twente",TRUE,2016
"10.1007/s00125-016-4135-9","Erasmus MC",TRUE,2016
"10.1007/s11046-016-0073-9","Fungal Biodiversity Center (CBS)",TRUE,2016
"10.1007/s12193-016-0232-9","University of Twente",TRUE,2016
"10.1007/s00348-016-2266-x","Delft University of Technology",TRUE,2016
"10.1007/s11365-016-0416-5","Utrecht University",TRUE,2016
