"Institution";"DOI";"is_hybrid";"period"
"Leiden University";"10.1007/s11095-015-1760-9";TRUE;2015
"Leiden University";"10.3758/s13428-015-0677-x";TRUE;2015
"Radboud University Medical Center";"10.1007/s13629-015-0105-0";TRUE;2015
"Erasmus MC";"10.1007/s13629-015-0108-x";TRUE;2015
"Maastricht University Medical Center (UMC+)";"10.1007/s40273-015-0346-z";TRUE;2015
"Delft University of Technology";"10.1007/s00348-015-2073-9";TRUE;2015
"Leiden University";"10.1007/s40266-015-0319-0";TRUE;2015
"Maastricht University";"10.1007/s10459-015-9645-6";TRUE;2015
"Erasmus University";"10.1007/s11166-015-9224-5";TRUE;2015
"Academic Medical Center (AMC)";"10.1007/s00787-015-0791-4";TRUE;2015
"University of Twente";"10.1007/s11136-015-1192-3";TRUE;2015
"University Medical Center Groningen (UMCG)";"10.1007/s11764-015-0500-9";TRUE;2015
"Delft University of Technology";"10.1007/s11948-015-9715-4";TRUE;2015
"Erasmus MC";"10.1007/s00787-015-0797-y";TRUE;2015
"Delft University of Technology";"10.1007/s11669-015-0427-x";TRUE;2015
"University Medical Center Utrecht";"10.1007/s00277-015-2553-2";TRUE;2015
"Wageningen UR (University & Research Centre)";"10.1007/s11248-015-9921-5";TRUE;2015
"Leiden University";"10.1007/s40802-015-0046-6";TRUE;2015
"University of Amsterdam";"10.1007/s10826-015-0322-4";TRUE;2015
"Leiden University";"10.1007/s11192-015-1788-y";TRUE;2015
"Wageningen UR (University & Research Centre)";"10.1007/s11157-015-9387-1";TRUE;2015
"Wageningen UR (University & Research Centre)";"10.1007/s00138-015-0727-5";TRUE;2015
"Leiden University";"10.1007/s40803-015-0014-6";TRUE;2015
"Maastricht University";"10.1007/s10699-015-9450-y";TRUE;2015
"Radboud University";"10.1007/s00439-015-1606-x";TRUE;2015
"Delft University of Technology";"10.1007/s11044-015-9476-5";TRUE;2015
"University of Twente";"10.1007/s11205-015-1182-4";TRUE;2015
"Academic Medical Center (AMC)";"10.1007/s11136-015-1175-4";TRUE;2015
"Radboud University Medical Center";"10.1007/s00520-015-3025-x";TRUE;2015
"University Medical Center Utrecht";"10.1007/s13629-015-0107-y";TRUE;2015
"University of Twente";"10.1007/s10554-015-0802-z";TRUE;2015
"Leiden University";"10.1007/s11367-015-0994-4";TRUE;2015
"Academic Medical Center (AMC)";"10.1007/s10689-015-9852-6";TRUE;2015
"Delft University of Technology";"10.1007/s00440-015-0674-0";TRUE;2015
"University of Amsterdam";"10.1007/s40318-015-0080-x";TRUE;2015
"Erasmus MC";"10.1007/s13629-015-0100-5";TRUE;2015
"Radboud University";"10.1007/s10984-015-9197-y";TRUE;2015
"University Medical Center Utrecht";"10.1007/s00535-015-1133-5";TRUE;2015
"Erasmus MC";"10.1007/s12020-015-0765-9";TRUE;2015
"Utrecht University";"10.1007/s10567-015-0196-4";TRUE;2015
"Wageningen UR (University & Research Centre)";"10.1007/s10661-015-4943-2";TRUE;2015
"University of Groningen";"10.1245/s10434-015-4939-8";TRUE;2015
"Delft University of Technology";"10.1007/s11664-015-4120-y";TRUE;2015
"Leiden University Medical Center (LUMC)";"10.1007/s00420-015-1090-6";TRUE;2015
