"Institution";"DOI";"is_hybrid";"period"
"Delft University of Technology";"10.1007/s10489-015-0651-4";TRUE;2015
"Erasmus MC";"10.1007/s00247-015-3307-y";TRUE;2015
"Academic Medical Center (AMC)";"10.1007/s00270-015-1060-0";TRUE;2015
"Delft University of Technology";"10.1007/s10111-015-0329-z";TRUE;2015
"Leiden University";"10.1007/s00330-015-3624-4";TRUE;2015
"Delft University of Technology";"10.1007/s11116-015-9585-2";TRUE;2015
"Erasmus MC";"10.1007/s12311-015-0654-z";TRUE;2015
"Erasmus University";"10.1007/s10648-015-9300-z";TRUE;2015
"Radboud University Medical Center";"10.1007/s00192-015-2627-7";TRUE;2015
"University Medical Center Utrecht";"10.1007/s00330-014-3495-0";TRUE;2015
"Eindhoven University of Technology";"10.1007/s00186-015-0497-x";TRUE;2015
"University of Amsterdam";"10.1007/s10926-015-9573-6";TRUE;2015
"Radboud University";"10.1007/s11205-015-0933-6";TRUE;2015
"Wageningen University";"10.1007/s10336-015-1180-y";TRUE;2015
"University of Groningen";"10.1007/s11031-015-9488-8";TRUE;2015
"Academic Medical Center (AMC)";"10.1007/s00401-015-1404-5";TRUE;2015
"Delft University of Technology";"10.1007/s10806-015-9542-2";TRUE;2015
"Maastricht University Medical Center (UMC+)";"10.1007/s00330-015-3695-2";TRUE;2015
"Leiden University";"10.1007/s40802-015-0007-0";TRUE;2015
"Wageningen University";"10.1007/s10750-015-2237-x";TRUE;2015
"Erasmus University";"10.1007/s10198-015-0681-1";TRUE;2015
"Leiden University";"10.1007/s10609-015-9255-2";TRUE;2015
"Maastricht University Medical Center (UMC+)";"10.1007/s40134-015-0097-9";TRUE;2015
"Radboud University";"10.1007/s10584-015-1344-z";TRUE;2015
"Maastricht University Medical Center (UMC+)";"10.1007/s00270-015-1068-5";TRUE;2015
"University Medical Center Groningen (UMCG)";"10.1007/s00259-015-3021-x";TRUE;2015
"Utrecht University";"10.1007/s10649-015-9595-1";TRUE;2015
"Radboud University Medical Center";"10.1007/s10545-015-9823-y";TRUE;2015
"Leiden University";"10.1007/s12571-015-0430-4";TRUE;2015
"Radboud University";"10.1007/s11115-015-0303-5";TRUE;2015
"Maastricht University";"10.1007/s12053-015-9340-8";TRUE;2015
"Radboud University Medical Center";"10.1007/s12308-015-0240-9";TRUE;2015
"Maastricht University";"10.1007/s00182-015-0468-8";TRUE;2015
