"DOI","Institution","is_hybrid","period"
"10.1007/s12079-016-0347-5","University Medical Center Utrecht",TRUE,2016
"10.1007/s11562-016-0365-3","Leiden University",TRUE,2016
"10.1007/s10569-016-9717-9","Delft University of Technology",TRUE,2016
"10.1007/s00464-016-5245-7","VU University Medical Center (VUmc)",TRUE,2016
"10.3758/s13414-016-1211-7","VU University Amsterdam",TRUE,2016
"10.3758/s13415-016-0462-z","University of Amsterdam",TRUE,2016
"10.1007/s00405-016-4304-y","University of Amsterdam",TRUE,2016
"10.1007/s00068-016-0722-1","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s10919-016-0241-0","Tilburg University",TRUE,2016
"10.1007/s11051-016-3595-7","Radboud University",TRUE,2016
"10.1007/s00018-016-2360-5","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s10008-016-3372-7","Wageningen University",TRUE,2016
"10.1007/s10610-016-9329-7","Erasmus University",TRUE,2016
"10.1007/s10792-016-0338-9","University Medical Center Utrecht",TRUE,2016
"10.1007/s10802-016-0206-0","University of Amsterdam",TRUE,2016
"10.1007/s10940-016-9324-7","VU University Amsterdam",TRUE,2016
"10.1007/s41061-016-0070-y","University of Twente",TRUE,2016
"10.1007/s11229-016-1203-0","University of Groningen",TRUE,2016
"10.1007/s11145-016-9686-0","Radboud University",TRUE,2016
"10.1007/s11257-016-9178-6","Eindhoven University of Technology",TRUE,2016
"10.1245/s10434-016-5563-y","Erasmus MC",TRUE,2016
"10.1007/s00787-016-0902-x","VU University Amsterdam",TRUE,2016
"10.1007/s11134-016-9499-5","Eindhoven University of Technology",TRUE,2016
"10.1007/s00181-016-1172-7","Tilburg University",TRUE,2016
"10.1007/s10649-016-9727-2","Eindhoven University of Technology",TRUE,2016
"10.1007/s10822-016-9963-7","Leiden University",TRUE,2016
"10.1007/s00125-016-4104-3","Maastricht University",TRUE,2016
"10.1007/s00018-016-2361-4","Maastricht University",TRUE,2016
"10.1007/s12079-016-0354-6","University Medical Center Utrecht",TRUE,2016
"10.1007/s10198-016-0825-y","Erasmus University",TRUE,2016
"10.1007/s11096-016-0376-4","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s00330-016-4607-9","University Medical Center Utrecht",TRUE,2016
"10.1007/s00158-016-1572-5","University of Twente",TRUE,2016
"10.1007/s00464-016-5246-6","Delft University of Technology",TRUE,2016
"10.1007/s12350-016-0669-y","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s11166-016-9240-0","Erasmus University",TRUE,2016
"10.1007/s40291-016-0232-1","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s00068-016-0720-3","University Medical Center Utrecht",TRUE,2016
"10.1007/s10806-016-9636-5","Delft University of Technology",TRUE,2016
"10.1007/s10237-016-0835-9","Eindhoven University of Technology",TRUE,2016
"10.1007/s10336-016-1393-8","University of Groningen",TRUE,2016
"10.1007/s00330-016-4592-z","Radboud University Medical Center",TRUE,2016
"10.1007/s00779-016-0969-x","Delft University of Technology",TRUE,2016
"10.1007/s10151-016-1524-5","Radboud University",TRUE,2016
"10.1007/s00431-016-2775-x","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s11238-016-9571-y","Tilburg University",TRUE,2016
"10.1007/s00262-016-1892-8","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s00464-016-5187-0","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s12213-016-0091-1","University of Twente",TRUE,2016
"10.1007/s00330-016-4575-0","University Medical Center Utrecht",TRUE,2016
"10.1007/s00787-016-0901-y","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s10551-016-3311-7","Erasmus University",TRUE,2016
"10.1007/s40264-016-0460-7","Utrecht University",TRUE,2016
"10.1007/s11134-016-9500-3","University of Amsterdam",TRUE,2016
"10.1007/s00125-016-4082-5","University Medical Center Utrecht",TRUE,2016
"10.1007/s00415-016-8288-8","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s00787-016-0903-9","Erasmus MC",TRUE,2016
"10.1007/s10826-016-0557-8","Leiden University",TRUE,2016
"10.1007/s11269-016-1491-7","Utrecht University",TRUE,2016
"10.1208/s12248-016-9973-3","University of Groningen",TRUE,2016
"10.1007/s00027-016-0507-y","Wageningen University",TRUE,2016
"10.1007/s11060-016-2269-8","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1245/s10434-016-5566-8","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s10967-016-5036-6","Delft University of Technology",TRUE,2016
"10.1007/s10109-016-0237-7","Delft University of Technology",TRUE,2016
"10.1007/s00464-016-5256-4","Radboud University Medical Center",TRUE,2016
"10.1007/s10549-016-3991-9","University Medical Center Utrecht",TRUE,2016
"10.1007/s11368-016-1570-7","Wageningen University",TRUE,2016
"10.1007/s00125-016-4068-3","Maastricht University",TRUE,2016
"10.1007/s40519-016-0311-7","Maastricht University",TRUE,2016
"10.1007/s10696-016-9257-3","University of Twente",TRUE,2016
"10.1007/s00259-016-3498-y","Maastricht University",TRUE,2016
"10.1007/s10459-016-9710-9","Radboud University Medical Center",TRUE,2016
"10.1007/s10519-016-9809-z","VU University Amsterdam",TRUE,2016
"10.1007/s40273-016-0448-2","University of Groningen",TRUE,2016
"10.1245/s10434-016-5532-5","Erasmus MC",TRUE,2016
"10.1007/s11192-016-2121-0","Delft University of Technology",TRUE,2016
"10.1007/s12016-016-8585-0","University Medical Center Utrecht",TRUE,2016
"10.1007/s00270-016-1462-7","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s00345-016-1932-1","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s10689-016-9930-4","Erasmus MC",TRUE,2016
"10.1007/s11042-016-3945-6","Maastricht University",TRUE,2016
"10.1245/s10434-016-5531-6","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s10067-016-3405-8","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s11186-016-9278-7","University of Amsterdam",TRUE,2016
"10.1007/s11019-016-9734-1","Maastricht University",TRUE,2016
"10.1007/s10696-016-9259-1","University of Twente",TRUE,2016
"10.1007/s00229-016-0887-2","Leiden University",TRUE,2016
"10.1007/s11540-016-9322-z","Wageningen University",TRUE,2016
"10.1007/s11244-016-0699-3","University of Amsterdam",TRUE,2016
"10.1007/s10897-016-0012-4","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s40262-016-0450-z","University of Amsterdam",TRUE,2016
"10.1007/s10626-016-0231-8","Eindhoven University of Technology",TRUE,2016
"10.1007/s10551-016-3326-0","University of Groningen",TRUE,2016
"10.1007/s00404-016-4199-2","Leiden University",TRUE,2016
"10.1007/s00253-016-7822-z","University of Groningen",TRUE,2016
"10.1007/s00520-016-3393-x","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s10645-016-9284-1","Maastricht University",TRUE,2016
"10.1007/s11136-016-1405-4","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s11695-016-2356-0","Wageningen University",TRUE,2016
"10.1007/s11019-016-9725-2","Maastricht University",TRUE,2016
"10.1007/s11251-016-9394-9","University of Twente",TRUE,2016
"10.1007/s12520-016-0380-6","Leiden University",TRUE,2016
"10.1007/s00421-016-3459-y","VU University Amsterdam",TRUE,2016
"10.1007/s40831-016-0090-4","Delft University of Technology",TRUE,2016
"10.1007/s11229-016-1206-x","University of Twente",TRUE,2016
"10.1007/s11096-016-0371-9","Erasmus MC",TRUE,2016
"10.1007/s13402-016-0296-2","Leiden University Medical Center (LUMC)",TRUE,2016
"10.1007/s10554-016-0968-z","Erasmus MC",TRUE,2016
"10.1007/s11118-016-9593-7","Delft University of Technology",TRUE,2016
"10.1007/s00167-016-4335-3","University of Groningen",TRUE,2016
"10.1007/s00018-016-2376-x","University of Amsterdam",TRUE,2016
"10.1007/s10787-016-0284-1","Leiden University",TRUE,2016
"10.1007/s13132-016-0401-9","Erasmus University",TRUE,2016
"10.1007/s00394-016-1289-7","Maastricht University",TRUE,2016
"10.1007/s13361-016-1462-5","Radboud University",TRUE,2016
"10.1007/s10337-016-3168-z","University of Amsterdam",TRUE,2016
"10.1007/s00204-016-1845-1","VU University Amsterdam",TRUE,2016
"10.1007/s00430-016-0476-8","Erasmus MC",TRUE,2016
"10.1007/s10437-016-9229-8","Leiden University",TRUE,2016
"10.1007/s10494-016-9765-y","Eindhoven University of Technology",TRUE,2016
"10.1007/s00426-016-0803-0","Leiden University",TRUE,2016
"10.1007/s00268-016-3713-9","University Medical Center Groningen (UMCG)",TRUE,2016
"10.1007/s12671-016-0602-0","Radboud University Medical Center",TRUE,2016
"10.1007/s00436-016-5242-8","Utrecht University",TRUE,2016
"10.1007/s11481-016-9705-6","University of Amsterdam",TRUE,2016
"10.1007/s10342-016-0991-6","Wageningen University",TRUE,2016
"10.1007/s10614-016-9607-y","University of Amsterdam",TRUE,2016
"10.1007/s10286-016-0382-6","University of Groningen",TRUE,2016
"10.1007/s12649-016-9688-9","Wageningen University",TRUE,2016
"10.1007/s10554-016-0973-2","University Medical Center Utrecht",TRUE,2016
"10.1007/s00213-016-4437-0","Utrecht University",TRUE,2016
"10.1007/s12013-016-0766-1","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s00784-016-1934-9","VU University Amsterdam",TRUE,2016
"10.1007/s11910-016-0689-7","Hubrecht Institute for Developmental Biology and Stem Cell Resea",TRUE,2016
"10.1245/s10434-016-5495-6","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s10840-016-0183-9","Maastricht University Medical Center (UMC+)",TRUE,2016
"10.1007/s13157-016-0814-z","Utrecht University",TRUE,2016
"10.1007/s00277-016-2802-z","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s11229-016-1221-y","University of Amsterdam",TRUE,2016
"10.1007/s00134-016-4536-8","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s00262-016-1891-9","Radboud University Medical Center",TRUE,2016
"10.1007/s11135-016-0401-7","University of Twente",TRUE,2016
"10.1007/s11104-016-3021-z","Wageningen University",TRUE,2016
"10.1007/s11269-016-1498-0","Wageningen University",TRUE,2016
"10.1007/s10936-016-9448-9","Utrecht University",TRUE,2016
"10.1007/s00125-016-4100-7","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s10961-016-9504-5","Erasmus University",TRUE,2016
"10.1007/s00330-016-4581-2","VU University Medical Center (VUmc)",TRUE,2016
"10.1007/s00167-016-4271-2","University of Groningen",TRUE,2016
"10.1007/s00028-016-0365-z","Delft University of Technology",TRUE,2016
"10.1007/s10948-016-3740-7","University of Twente",TRUE,2016
"10.1007/s12080-016-0309-9","University of Amsterdam",TRUE,2016
"10.1007/s12567-016-0138-0","Delft University of Technology",TRUE,2016
"10.1007/s00784-016-1949-2","University Medical Center Utrecht",TRUE,2016
"10.1007/s00500-016-2341-5","Utrecht University",TRUE,2016
"10.1007/s12308-016-0284-5","Radboud University Medical Center",TRUE,2016
"10.1007/s12072-016-9769-7","Maastricht University",TRUE,2016
"10.1007/s11142-016-9370-2","University of Amsterdam",TRUE,2016
"10.1007/s00270-016-1476-1","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s00415-016-8290-1","Academic Medical Center (AMC)",TRUE,2016
"10.1007/s00726-016-2334-9","VU University Medical Center (VUmc)",TRUE,2016
