"institution","DOI","is_hybrid","period"
"Leiden University","10.1007/s10750-016-2925-1",TRUE,2016
"Leiden University","10.1007/s11192-016-2098-8",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s00345-016-1909-0",TRUE,2016
"VU University Medical Center (VUmc)","10.1007/s10995-016-2160-4",TRUE,2016
"VU University Medical Center (VUmc)","10.1007/s10926-016-9659-9",TRUE,2016
"Utrecht University","10.1007/s40802-016-0061-2",TRUE,2016
"Delft University of Technology","10.1007/s11235-016-0214-y",TRUE,2016
"Eindhoven University of Technology","10.1007/s10404-016-1787-1",TRUE,2016
"Wageningen University","10.1007/s10460-016-9721-4",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s00431-016-2762-2",TRUE,2016
"Erasmus University","10.1007/s11102-016-0740-3",TRUE,2016
"Delft University of Technology","10.1007/s12685-016-0154-1",TRUE,2016
"Eindhoven University of Technology","10.1007/s10623-016-0254-z",TRUE,2016
"Wageningen University","10.1007/s11356-016-7302-0",TRUE,2016
"Wageningen University","10.1007/s11027-016-9721-0",TRUE,2016
"Maastricht University","10.1007/s13278-016-0363-8",TRUE,2016
"Leiden University","10.1007/s10734-016-0050-8",TRUE,2016
"Leiden University","10.1007/s40262-016-0436-x",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s00330-016-4507-z",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s00167-016-4255-2",TRUE,2016
"Wageningen University","10.1007/s13593-016-0380-z",TRUE,2016
"Maastricht University Medical Center (UMC+)","10.1007/s00259-016-3480-8",TRUE,2016
"Erasmus University","10.1007/s10433-016-0393-0",TRUE,2016
"Tilburg University","10.3758/s13423-016-1142-2",TRUE,2016
"University Medical Center Utrecht","10.1007/s00392-016-1023-8",TRUE,2016
"University Medical Center Utrecht","10.1007/s00405-016-4280-2",TRUE,2016
"Erasmus MC","10.1007/s00394-016-1297-7",TRUE,2016
"Erasmus MC","10.1007/s00429-016-1296-8",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s00520-016-3387-8",TRUE,2016
"University of Amsterdam","10.1007/s10444-016-9475-y",TRUE,2016
"University of Twente","10.1007/s00607-016-0508-7",TRUE,2016
"Wageningen University","10.1007/s00217-016-2761-6",TRUE,2016
"University of Amsterdam","10.1007/s10493-016-0079-5",TRUE,2016
"Radboud University","10.1007/s12027-016-0423-6",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s00213-016-4396-5",TRUE,2016
"Eindhoven University of Technology","10.1007/s00453-016-0189-9",TRUE,2016
"Eindhoven University of Technology","10.1007/s00397-016-0956-1",TRUE,2016
"Radboud University Medical Center","10.1007/s11999-016-4998-6",TRUE,2016
"Erasmus MC","10.1007/s12028-016-0311-5",TRUE,2016
"Maastricht University","10.1007/s00213-016-4386-7",TRUE,2016
"University of Amsterdam","10.1007/s12671-016-0593-x",TRUE,2016
"Wageningen University","10.1007/s11032-016-0539-y",TRUE,2016
"Wageningen University","10.1007/s00122-016-2768-1",TRUE,2016
"Delft University of Technology","10.1007/s10237-016-0821-2",TRUE,2016
"Maastricht University","10.1007/s00038-016-0880-2",TRUE,2016
"Delft University of Technology","10.1007/s13272-016-0201-8",TRUE,2016
"Maastricht University Medical Center (UMC+)","10.1007/s40620-016-0342-1",TRUE,2016
"Delft University of Technology","10.1007/s11468-016-0345-8",TRUE,2016
"Delft University of Technology","10.1007/s00348-016-2225-6",TRUE,2016
"University of Groningen","10.1007/s10645-016-9283-2",TRUE,2016
"Erasmus MC","10.1007/s10096-016-2738-1",TRUE,2016
"Erasmus MC","10.1007/s10680-016-9384-2",TRUE,2016
"Eindhoven University of Technology","10.1007/s10237-016-0825-y",TRUE,2016
"University of Twente","10.1007/s10676-016-9409-x",TRUE,2016
"Utrecht University","10.1007/s10516-016-9307-1",TRUE,2016
"Eindhoven University of Technology","10.1007/s10237-016-0815-0",TRUE,2016
"Leiden University","10.1007/s40802-016-0063-0",TRUE,2016
"Maastricht University","10.1007/s00355-016-0990-z",TRUE,2016
"Erasmus University","10.1007/s10654-016-0195-x",TRUE,2016
"Erasmus MC","10.1007/s13277-016-5231-7",TRUE,2016
"University Medical Center Utrecht","10.1007/s11605-016-3235-7",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s00268-016-3626-7",TRUE,2016
"University of Amsterdam","10.1007/s13218-016-0444-x",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s00018-016-2325-8",TRUE,2016
