"institution","DOI","is_hybrid","period"
"University of Twente","10.1007/s10035-016-0624-2",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s00068-016-0684-3",TRUE,2016
"Erasmus MC","10.1007/s10151-016-1494-7",TRUE,2016
"Leiden University Medical Center (LUMC)","10.1007/s00262-016-1862-1",TRUE,2016
"University of Groningen","10.1007/s10567-016-0209-y",TRUE,2016
"Maastricht University Medical Center (UMC+)","10.1007/s40279-016-0577-y",TRUE,2016
"VU University Medical Center (VUmc)","10.1007/s00270-016-1413-3",TRUE,2016
"Eindhoven University of Technology","10.1007/s11116-016-9714-6",TRUE,2016
"VU University Amsterdam","10.1007/s10826-016-0475-9",TRUE,2016
"Radboud University","10.1007/s11266-016-9757-5",TRUE,2016
"Radboud University Medical Center","10.1007/s00238-016-1217-3",TRUE,2016
"University of Amsterdam","10.1007/s12671-016-0561-5",TRUE,2016
"Erasmus MC","10.1007/s40506-016-0083-7",TRUE,2016
"Maastricht University","10.1007/s13752-016-0246-2",TRUE,2016
"Maastricht University Medical Center (UMC+)","10.1007/s00125-016-4037-x",TRUE,2016
"VU University Medical Center (VUmc)","10.1007/s11060-016-2178-x",TRUE,2016
"Leiden University","10.3758/s13423-016-1091-9",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s10549-016-3896-7",TRUE,2016
"Leiden University Medical Center (LUMC)","10.1007/s00415-016-8233-x",TRUE,2016
"Radboud University Medical Center","10.1007/s00726-016-2294-0",TRUE,2016
"VU University Amsterdam","10.1007/s12076-016-0174-6",TRUE,2016
"Radboud University Medical Center","10.1007/s00018-016-2316-9",TRUE,2016
"Delft University of Technology","10.1007/s12076-016-0175-5",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s00167-016-4242-7",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s12671-016-0568-y",TRUE,2016
"University Medical Center Utrecht","10.1007/s10439-016-1687-2",TRUE,2016
"Tilburg University","10.1007/s12671-016-0565-1",TRUE,2016
"Wageningen University","10.1007/s10811-016-0897-1",TRUE,2016
"University Medical Center Utrecht","10.1245/s10434-016-5373-2",TRUE,2016
"VU University Amsterdam","10.1007/s10519-016-9799-x",TRUE,2016
"Erasmus University","10.1007/s00238-016-1212-8",TRUE,2016
"Leiden University Medical Center (LUMC)","10.1007/s40336-016-0189-4",TRUE,2016
"University of Twente","10.1007/s11517-016-1511-z",TRUE,2016
"Erasmus MC","10.1245/s10434-016-5388-8",TRUE,2016
"University of Amsterdam","10.1007/s11097-016-9475-x",TRUE,2016
"University Medical Center Utrecht","10.1007/s12265-016-9705-1",TRUE,2016
"University of Groningen","10.1007/s00265-016-2167-2",TRUE,2016
"Delft University of Technology","10.1007/s11071-016-2926-7",TRUE,2016
"University of Amsterdam","10.1007/s10526-016-9751-2",TRUE,2016
"Delft University of Technology","10.1007/s12567-016-0135-3",TRUE,2016
"Leiden University","10.1007/s10597-016-0046-y",TRUE,2016
"Eindhoven University of Technology","10.1007/s10955-016-1583-z",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s10545-016-9962-9",TRUE,2016
"Leiden University Medical Center (LUMC)","10.1007/s11306-016-1084-8",TRUE,2016
"University Medical Center Utrecht","10.1007/s00234-016-1727-5",TRUE,2016
"University Medical Center Utrecht","10.1007/s11892-016-0773-z",TRUE,2016
"Erasmus MC","10.1007/s11136-016-1369-4",TRUE,2016
"University Medical Center Utrecht","10.1007/s00104-016-0200-7",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s40336-016-0185-8",TRUE,2016
"Utrecht University","10.1007/s00251-016-0926-x",TRUE,2016
"Leiden University","10.1007/s11077-016-9257-x",TRUE,2016
"Radboud University","10.1007/s11145-016-9670-8",TRUE,2016
"Radboud University","10.1007/s11051-016-3493-z",TRUE,2016
"Radboud University Medical Center","10.1007/s00415-016-8217-x",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s40336-016-0190-y",TRUE,2016
"VU University Medical Center (VUmc)","10.1007/s10865-016-9762-6",TRUE,2016
"Delft University of Technology","10.1007/s10901-016-9520-7",TRUE,2016
"Leiden University Medical Center (LUMC)","10.1007/s00417-016-3417-8",TRUE,2016
"Wageningen University","10.1007/s00216-016-9783-6",TRUE,2016
"University Medical Center Utrecht","10.1007/s11096-016-0360-z",TRUE,2016
"University of Groningen","10.1007/s40894-016-0035-y",TRUE,2016
"Wageningen University","10.1007/s00253-016-7725-z",TRUE,2016
"University of Groningen","10.1007/s10984-016-9215-8",TRUE,2016
"Eindhoven University of Technology","10.1007/s10677-016-9745-2",TRUE,2016
"Delft University of Technology","10.1007/s00348-016-2215-8",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s10926-016-9657-y",TRUE,2016
"Leiden University Medical Center (LUMC)","10.1007/s10689-016-9915-3",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1245/s10434-016-5450-6",TRUE,2016
"Leiden University","10.1007/s10826-016-0490-x",TRUE,2016
"Wageningen University","10.1007/s10784-016-9331-z",TRUE,2016
"Maastricht University","10.1007/s12026-016-8813-y",TRUE,2016
"VU University Medical Center (VUmc)","10.1007/s00787-016-0888-4",TRUE,2016
"University of Groningen","10.1007/s00702-016-1593-7",TRUE,2016
"Utrecht University","10.1007/s00227-016-2945-4",TRUE,2016
"Erasmus MC","10.1007/s12350-016-0521-4",TRUE,2016
"Erasmus MC","10.1007/s12350-016-0516-1",TRUE,2016
"VU University Medical Center (VUmc)","10.1007/s10926-016-9652-3",TRUE,2016
"University Medical Center Utrecht","10.1007/s00268-016-3624-9",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s00261-016-0831-7",TRUE,2016
"Eindhoven University of Technology","10.1007/s10994-016-5570-z",TRUE,2016
"Utrecht University","10.1007/s11356-016-7109-z",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s00384-016-2619-1",TRUE,2016
"VU University Medical Center (VUmc)","10.1007/s00726-016-2288-y",TRUE,2016
"Leiden University Medical Center (LUMC)","10.1007/s00068-016-0708-z",TRUE,2016
"Wageningen University","10.1007/s10705-016-9791-0",TRUE,2016
"University Medical Center Utrecht","10.1007/s00408-016-9926-8",TRUE,2016
"Netherlands Institute for Advanced Study in the Humanities and Social Sciences (NIAS)","10.1007/s00221-016-4737-y",TRUE,2016
"Delft University of Technology","10.1007/s11571-016-9395-z",TRUE,2016
"Erasmus MC","10.1007/s10554-016-0947-4",TRUE,2016
"Radboud University Medical Center","10.1007/s00405-016-4210-3",TRUE,2016
"Utrecht University","10.1007/s11367-016-1162-1",TRUE,2016
"Leiden University","10.1007/s40610-016-0045-3",TRUE,2016
"Eindhoven University of Technology","10.1007/s10237-016-0807-0",TRUE,2016
"VU University Amsterdam","10.1007/s00127-016-1267-7",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s12671-016-0575-z",TRUE,2016
"Delft University of Technology","10.1007/s40518-016-0048-y",TRUE,2016
"Maastricht University","10.1007/s00213-016-4375-x",TRUE,2016
"Utrecht University","10.1007/s00204-016-1794-8",TRUE,2016
"University of Groningen","10.1007/s00167-016-4246-3",TRUE,2016
"Wageningen University","10.1007/s12230-016-9521-9",TRUE,2016
"Erasmus MC","10.1007/s00330-016-4490-4",TRUE,2016
"Leiden University Medical Center (LUMC)","10.1007/s12561-016-9157-9",TRUE,2016
"University of Groningen","10.1007/s12142-016-0417-3",TRUE,2016
"University Medical Center Utrecht","10.1007/s00330-016-4483-3",TRUE,2016
"Erasmus MC","10.1007/s00394-016-1255-4",TRUE,2016
"VU University Amsterdam","10.1007/s12024-016-9793-x",TRUE,2016
"Wageningen University","10.1007/s10661-016-5451-8",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s00192-016-3075-8",TRUE,2016
"Maastricht University","10.1007/s12187-016-9407-x",TRUE,2016
"Erasmus MC","10.1007/s10654-016-0179-x",TRUE,2016
"Erasmus MC","10.1007/s40262-016-0441-0",TRUE,2016
"Wageningen University","10.1007/s11625-016-0385-1",TRUE,2016
"Erasmus MC","10.1007/s10995-016-2089-7",TRUE,2016
"University of Groningen","10.1007/s00253-016-7713-3",TRUE,2016
"Leiden University Medical Center (LUMC)","10.1007/s40336-016-0201-z",TRUE,2016
"Erasmus MC","10.1007/s10554-016-0940-y",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s00134-016-4449-6",TRUE,2016
"Delft University of Technology","10.1007/s11051-016-3500-4",TRUE,2016
"Leiden University","10.1007/s12207-016-9263-5",TRUE,2016
"Utrecht University","10.1007/s40802-016-0062-1",TRUE,2016
