institution,period,euro,doi,is_hybrid,url
Ruhr-Universität Bochum,2015,1594.60,10.1186/s12910-015-0016-x,FALSE,
Ruhr-Universität Bochum,2015,1904.00,10.3389/fpsyg.2015.00170,FALSE,
Ruhr-Universität Bochum,2015,1594.60,10.1186/s12884-015-0537-9,FALSE,
Ruhr-Universität Bochum,2015,1504.16,10.1186/s13044-015-0018-2,FALSE,
Ruhr-Universität Bochum,2015,1594.60,10.1186/s40575-015-0018-5,FALSE,
Ruhr-Universität Bochum,2015,1386.35,10.1038/srep08325,FALSE,
Ruhr-Universität Bochum,2015,1224.00,10.1002/ece3.1366,FALSE,
Ruhr-Universität Bochum,2015,1487.50,10.1093/jrr/rru124,FALSE,
Ruhr-Universität Bochum,2015,1504.16,10.1186/s12934-015-0233-5,FALSE,
Ruhr-Universität Bochum,2015,2041.64,10.1364/OE.23.009710,FALSE,
Ruhr-Universität Bochum,2015,298.99,10.5539/ijel.v5n1p1,FALSE,
Ruhr-Universität Bochum,2015,1713.60,10.1088/1748-9326/10/2/024004,FALSE,
Ruhr-Universität Bochum,2015,1504.16,10.1186/s13047-015-0125-2,FALSE,
Ruhr-Universität Bochum,2015,1661.24,10.1186/s12910-015-0053-5,FALSE,
Ruhr-Universität Bochum,2015,1755.45,10.1534/g3.115.017681,FALSE,
Ruhr-Universität Bochum,2015,1904.00,10.3389/fncel.2015.00069,FALSE,
Ruhr-Universität Bochum,2015,1438.48,10.1371/journal.pone.0129906,FALSE,
Ruhr-Universität Bochum,2015,100.00,,FALSE,http://www.jiaci.org/issues/vol25issue2/vol25issue02-21.htm
Ruhr-Universität Bochum,2015,1899.24,10.1186/s13643-015-0093-4,FALSE,
Ruhr-Universität Bochum,2015,904.40,10.1186/s13063-015-0679-0,FALSE,
Ruhr-Universität Bochum,2015,1728.95,10.1155/2015/408169,FALSE,
Ruhr-Universität Bochum,2015,1751.68,10.1186/s12974-015-0429-y,FALSE,
Ruhr-Universität Bochum,2015,1765.46,10.1534/g3.115.020461,FALSE,
Ruhr-Universität Bochum,2015,1661.24,10.1186/s12862-015-0380-7,FALSE,
Ruhr-Universität Bochum,2015,1435.40,10.1371/journal.pone.0127632,FALSE,
Ruhr-Universität Bochum,2015,1413.17,10.1371/journal.pone.0125989,FALSE,
Ruhr-Universität Bochum,2015,1509.35,10.3389/fnbeh.2015.00270,FALSE,
Ruhr-Universität Bochum,2015,1661.24,10.1186/s12879-015-1310-4,FALSE,
Ruhr-Universität Bochum,2015,1386.35,10.1038/srep12736,FALSE,
Ruhr-Universität Bochum,2015,400.00,10.1016/j.ijchp.2015.08.005,FALSE,
Ruhr-Universität Bochum,2015,1509.35,10.3389/fendo.2015.00177,FALSE,
Ruhr-Universität Bochum,2015,1455.56,10.1371/journal.pone.0139801,FALSE,
Ruhr-Universität Bochum,2015,1510.83,10.3389/fmicb.2015.01110,FALSE,
Ruhr-Universität Bochum,2015,1494.06,10.3389/fsurg.2015.00044,FALSE,
Ruhr-Universität Bochum,2015,272.16,10.3389/fpsyg.2015.01689,FALSE,
Ruhr-Universität Bochum,2015,1564.96,10.3389/fonc.2015.00247,FALSE,
Ruhr-Universität Bochum,2015,1386.35,10.1038/srep17845,FALSE,
Ruhr-Universität Bochum,2015,1142.40,10.3389/fpsyg.2015.00828,FALSE,
Ruhr-Universität Bochum,2015,1661.24,10.1186/s12904-015-0058-3 ,FALSE,
Ruhr-Universität Bochum,2015,922.25,10.1042/BSR20150103,FALSE,
Ruhr-Universität Bochum,2015,1516.58,10.1371/journal.pone.0140685,FALSE,
Ruhr-Universität Bochum,2015,1751.68,10.1186/s12974-015-0435-0,FALSE,
Ruhr-Universität Bochum,2015,1573.49,10.3389/fonc.2015.00268,FALSE,
Ruhr-Universität Bochum,2015,853.02,10.4236/ojped.2015.54052,FALSE,
Ruhr-Universität Bochum,2015,1920.52,10.3389/fmolb.2015.00073,FALSE,
