Institution;Period ;Euro;;is hybrid;publisher;journal_full_title
Bochum. Ruhr-Universitaet;2017;1981.25;10.1155/2017/9280170;FALSE;;
Bochum. Ruhr-Universitaet;2017;1661.24;10.1186/s12904-016-0176-6;FALSE;;
Bochum. Ruhr-Universitaet;2017;1552.95;10.1038/srep43470;FALSE;;
Bochum. Ruhr-Universitaet;2017;1571.85;10.1097/MD.0000000000006355;FALSE;;
Bochum. Ruhr-Universitaet;2017;1899.24;10.1186/s40168-017-0247-9;FALSE;;
Bochum. Ruhr-Universitaet;2017;1899.24;10.1186/s12974-017-0829-2;FALSE;;
Bochum. Ruhr-Universitaet;2017;1661.24;10.1186/s12883-017-0839-9;FALSE;;
Bochum. Ruhr-Universitaet;2017;1672.36;10.1371/journal.pone.0170489;FALSE;;
Bochum. Ruhr-Universitaet;2017;1672.36;10.1371/journal.pone.0171015;FALSE;;
Bochum. Ruhr-Universitaet;2017;1463.00;10.1093/gbe/evx052;FALSE;;
Bochum. Ruhr-Universitaet;2017;1862.35;10.1002/lio2.80;FALSE;;
Bochum. Ruhr-Universitaet;2017;1224.84;10.3390/app7040364;FALSE;;
Bochum. Ruhr-Universitaet;2017;2024.57;10.3389/fpsyg.2017.00404;FALSE;;
Bochum. Ruhr-Universitaet;2017;1006.74;10.3390/sym9050066;FALSE;;
Bochum. Ruhr-Universitaet;2017;1009.11;10.7717/peerj.3253;FALSE;;
Bochum. Ruhr-Universitaet;2017;1590.43;10.1371/journal.pone.0176415;FALSE;;
Bochum. Ruhr-Universitaet;2017;1552.95;10.1038/s41598-017-03193-y;FALSE;;
Bochum. Ruhr-Universitaet;2017;1661.24;10.1186/s12864-017-3663-0;FALSE;;
Bochum. Ruhr-Universitaet;2017;1661.24;10.1186/s12859-017-1668-y;FALSE;;
Bochum. Ruhr-Universitaet;2017;1661.24;10.1186/s12885-016-3004-8;FALSE;;
Bochum. Ruhr-Universitaet;2017;1392.3;10.1088/1367-2630/aa4f63;FALSE;;
Bochum. Ruhr-Universitaet;2017;1489.36;10.1097/MD.0000000000007026;FALSE;;
Bochum. Ruhr-Universitaet;2017;1661.24;10.1186/s12885-017-3375-5;FALSE;;
Bochum. Ruhr-Universitaet;2017;358.28;10.3390/buildings7020045;FALSE;;
Bochum. Ruhr-Universitaet;2017;1386.6;10.3390/su9060947;FALSE;;
Bochum. Ruhr-Universitaet;2017;1921.77;10.3389/fpsyg.2017.00813;FALSE;;
Bochum. Ruhr-Universitaet;2017;1979.77;10.3389/fphar.2017.00408;FALSE;;
Bochum. Ruhr-Universitaet;2017;1926.27;10.3389/fphys.2017.00406;FALSE;;
Bochum. Ruhr-Universitaet;2017;1580.81;10.3390/rs9060577;FALSE;;
Bochum. Ruhr-Universitaet;2017;1891.78;10.3389/fpsyg.2017.01119;FALSE;;
Bochum. Ruhr-Universitaet;2017;1690.13;10.3389/fendo.2017.00163;FALSE;;
Bochum. Ruhr-Universitaet;2017;1825.46;10.2147/CIA.S142541;FALSE;;
Bochum. Ruhr-Universitaet;2017;1937.94;10.3389/fpsyg.2017.01144;FALSE;;
Bochum. Ruhr-Universitaet;2017;1550.51;10.1371/journal.pone.0180130;FALSE;;
Bochum. Ruhr-Universitaet;2017;1661.24;10.1186/s12871-017-0376-5;FALSE;;
