Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant number (1),Grant number (2),Grant number (3),Date of APC payment,APC paid (actual currency) including VAT if charged,Currency of APC,APC paid (£) including VAT if charged,Additional costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Licence,Correct license applied?,Problem-free open access publication?,Notes,,
21/12/2013,Sebastian Rosier,,,,http://dx.doi.org/10.1002/2013jc009240 ,,American Geophysical Union,Journal of Geophysical Research: Oceans,,,Modeling Antarctic Tides in Response to Ice Shelf Thinning and Retreat,07/01/2014,RCUK,,,NERC,,,NE/J/500203/1,,,21/02/2014,,,"2,613.86",,,,CC BY,Yes,No,Publisher failed to apply correct license. In discussion to change it,,
19/02/2014,Peter J. Talboys,,,,http://dx.doi.org/10.1186/1471-2229-14-51,,Biomed Central,BMC Plant Biology,,,Auxin Secretion by Bacillus Amyloliquefaciens FZB42 both Stimulates Root Exudation and Limits Phosphorus Uptake in Triticum Aestivium,21/02/2014,RCUK,,,BBSRC,,,LK09136,,,05/03/2014,,,"1,608.00",,,,CC BY,Yes,Yes,,,
12/02/2014,David Leonard Jones,,,,http://dx.doi.org/10.1371/journal.pone.0090882,,PLOS,PLOS ONE,,Journal Article/Review (Full OA journal),Evaluation of Dissolved Organic Carbon as a Soil Quality Indicator in National Monitoring Schemes,14/03/2014,RCUK,,,NERC,,,,,,05/03/2014,,,"1,014.56",,,,CC BY,Yes,Yes,,,
23/01/2014,Emyr Martin Roberts,,,,http://dx.doi.org/10.1016/j.jmarsys.2014.01.009,,Elsevier,Journal of Marine Systems,,,Spring-neaps Cycles in Daily Total Seabed Light: Daylength-induced Changes,01/04/2014,RCUK,,,NERC,,,NE/I527853/1,,,06/03/2014,,,"2,258.88",,,,CC BY,Yes,Yes,,,
17/02/2014,Andrew Cooke,,,,http://dx.doi.org/10.1111/psyp.12182,,Wiley,Psychophysiology,,,"Preparation for Action: Psychophysiological Activity Preceding a Motor Skill as a Function of Expertise, Performance Outcome and Psychological Pressure",24/02/2014,ESRC top up to RCUK,,,ESRC,,,PTA-026-27-2696,,,13/03/2014,,,"2,238.28",,,,CC BY,Yes,Yes,,,
09/01/2014,T.F. Pagella,,,,http://dx.doi.org/10.1007/s10980-013-9983-9 ,,Springer,Landscape Ecology,,,Development and Use of a Typology of Mapping Tools to Assess their Fitness for Supporting Management of Ecosystem Service Provision,22/01/2014,RCUK,,,EPSRC,,,,,,18/03/2014,,,"2,295.41",,,,CC BY,Yes,Yes,,,
19/12/2013,Martin Austin,,,,http://dx.doi.org/10.1016/j.csr.2013.12.004 ,,Elsevier,Continental Shelf Research,,,Water-level controls on macro-tidal rip currents,01/03/2014,RCUK,,,NERC,,,NER/D/S/2002/0965,,,19/03/2014,,,"2,301.35",,,,CC BY,Yes,Yes,,,
03/03/2014,Carol Tully,,,,http://dx.doi.org/10.1080/13645145.2014.896077 ,,Taylor and Francis,Studies in Travel Writing,,,Out of Europe: Travel and Exile in Mid Twentieth-Century Wales,22/04/2014,RCUK,,,AHRC,,,,,,21/03/2014,,,"2,145.60",,,,CC BY,Yes,Yes,,,
11/03/2014,Guillaume Thierry,,,,http://dx.doi.org/10.3389/fpsyg.2014.00222 ,,Frontiers,Frontiers in Psychology,,,Compound Words Prompt Arbitrary Semantic Associations in Conceptual Memory,14/03/2014,ESRC top up to RCUK,,,ESRC,,,ES/E0245565/1,,,28/03/2014,,,"1,333.06",,,,CC BY,Yes,Yes,,,
04/04/2014,C.M. Bishop,,,,http://dx.doi.org/10.1371/journal.pone.0094015 ,,PLOS,PLOS ONE,,Journal Article/Review (Full OA journal),Maximum Running Speed of Captive Bar-Headed Geese is Unaffected by Severe Hypoxia,07/04/2014,RCUK,,,BBSRC,,,BB/F015615/1,,,07/04/2014,,,755.26,,,,CC BY,Yes,Yes,,,
