Institution,Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
Aston University,29/04/2015,"Brian Roberts (65, 61 cancelled)",Life & Health Sciences,PMC4120706,25994702,10.1121/1.4919344,Brian Roberts,Acoustical Society of America,Journal of the Acoustical Society of America,0001-4966,Journal article/Review (Hybrid journal),Informational masking of monaural target speech by a single contralateral formant,01/05/2015,RCUK,,,ESRC,,,ES/K004905/1,,,18/05/2015,1792,1434,358,GBP,1792,1434,358,,,,1792,CC BY,Yes,Yes,
Aston University,18/03/2015,Haitao Ye (57),Engineering & Applied Science,,,10.1063/1.4918969,Haitao Ye,American Institute of Physics,AIP Advances,2158-3226,Journal article/Review (Full OA journal),A novel Mo-W interlayer approach for CVD diamond deposition on steel,20/04/2015,RCUK,,,EPSRC,,,EPSRC - Nanotechnology KTN Case Studentship,,,30/04/2015,,,,GBP,1055,879,176,,,,1055,CC BY,Yes,Yes,
Aston University,03/02/2015,Brian Roberts (37),Life & Health Sciences,PMC4445382,25751040,10.1037/xhp0000038,Brian Roberts,American Psychological Association,Journal of Experimental Psychology: Human Perception and Performance,0096-1523,Journal article/Review (Hybrid journal),"Acoustic Source Characteristics, Across-Formant Integration, and Speech Intelligibility Under Competitive Conditions",09/03/2015,RCUK,,,ESRC,,,ES/K004905/1,,,05/02/2015,3124,2603,521,GBP,3124,2603,521,,Pre-payment discount,,3124,CC BY,Yes,Yes,
Aston University,07/01/2015,Roslyn Bill (71),Life & Health Sciences,PMC4505433,,10.1074/jbc.m115.646034,Roslyn Bill,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,1083-351X,Journal article/Review (Hybrid journal),Identification and molecular mechanisms of the rapid tonicity-induced relocalization of aquaporin 4,26/05/2015,Institutional,,,EPSRC,,,EP/F500378/1,,,04/06/2015,2544,2120,424,GBP,2544,2120,424,Includes 911 page printing/colour charges,Pre-payment discount,,,CC BY,Yes,No,CC BY but ASBMB retains copyright; were additional page printing/colour charges
Aston University,24/02/2015,Claire Farrow (63),Life & Health Sciences,,25787999,10.3945/ajcn.114.103713,Claire Farrow,American Society for Nutrition,American Journal of Clinical Nutrition,0002-9165,Journal article/Review (Hybrid journal),Teaching our children when to eat: how parental feeding practices inform the development of emotional eating—a longitudinal experimental design,18/03/2015,Institutional,,,,,,,,,13/05/2015,,,,GBP,3156,2630,526,Includes 658 page printing charges,,,,None,No,No,"OA, but non-CC & American Society for Nutrition retain copyright; were additional page printing charges"
Aston University,06/08/2015,Francisco Leyva,Aston Medical School,,,10.1186/s12968-015,Francisco Leyva,BioMed Central,Journal of Cardiovascular Magnetic Resonance,1097-6647,Journal article/Review (Full OA journal),Mechanical effects of left ventricular midwall fibrosis in non-ischemic cardiomyopathy,05/01/2016,Institutional,,,Other,,,Medtronic Inc,,,06/08/2015,1414,1178,236,GBP,1414,1178,236,,Pre-payment discount,,,CC BY,Yes,Yes,
Aston University,19/03/2015,Rebekka Heitmar,Life & Health Sciences,PMC4690418,,10.1186%2fs12886-015-0174-0,Rebekka Heitmar,BioMed Central,BMC Ophthalmology,1471-2415,Journal article/Review (Full OA journal),Reliability of retinal vessel calibre measurements using a retinal oximeter,24/12/2015,Institutional,,,,,,,,,19/03/2015,1562,1302,260,GBP,1562,1302,260,,Pre-payment discount,,,CC BY,Yes,Yes,
Aston University,,"Gebreiter, Florian, Dr.",Aston Business School,,,10.1016/j.bar.2015.01.002,"Gebreiter, Florian, Dr.",Elsevier,British Accounting Review,0890-8389,Journal article/Review (Hybrid journal),“Comparing the incomparable”: Hospital costing and the art of medicine in post-war Britain,17/03/2015,Other,Institutional,,,,,,,,,1403,1169,234,GBP,1403,1169,234,,Pre-payment discount,,,CC BY,Yes,Yes,
Aston University,,Christopher Hewitt,Life & Health Sciences,,,10.1016/j.bej.2015.06.018,Christopher Hewitt,Elsevier,Biochemical Engineering Journal,1369-703X,Journal article/Review (Full OA journal),Characterization of human mesenchymal stem cells from multiple donors and the implications for large scale bioprocess development,02/07/2015,RCUK,,,EPSRC,Other,,EP/F500491/1,FujiFilm,,,,,,GBP,2142,1714,428,,Pre-payment discount,,2142,CC BY,Yes,Yes,
Aston University,,Christopher Hewitt,Life & Health Sciences,,,10.1016/j.bej.2015.08.003,Christopher Hewitt,Elsevier,Biochemical Engineering Journal,1369-703X,Journal article/Review (Hybrid journal),Agitation Conditions for the Culture and Detachment of hMSCs from Microcarriers in Multiple Bioreactor Platforms,06/08/2015,RCUK,,,EPSRC,Other,,EP/F500491/1,FujiFilm,,,,,,GBP,2169,1807,362,,Pre-payment discount,,2169,CC BY,Yes,Yes,
