"institution","period","euro","DOI"," is_hybrid","Publisher","journal_full_title"
"University of Liège",2019,"3,533.65","10.1126/sciadv.aap7309","Full Open","AAAS","Science Advances"
"University of Liège",2019,"4,469.98","10.1126/sciadv.aax2705","Full Open","AAAS","Science Advances"
"University of Liège",2019,"1,456.39","10.1063/1.5066368","Full Open","AIP","AIP Advances"
"University of Liège",2019,"3,591.35","10.1172/jci.insight.128474","Full Open","American Society for Clinical Investigation","JCI Insight"
"University of Liège",2019,"4,524.63","10.1172/JCI125890","Full Open","American Society for Clinical Investigation","Journal of Clinical Investigation"
"University of Liège",2019,"2,548.69","10.1128/mBio.01230-19","Full Open","American Society for Microbiology","Mbio"
"University of Liège",2019,"1,075.23","http://www.annexpublishers.com/articles/JMSN/7301-Development-of-a-Continuous-Fluidic-Reactor-for-the-Photocatalytic-Treatment-of-Liquid-Effluents.pdf","Full Open","Annex Publishers","Journal of Materials Science & Nanotechnology"
"University of Liège",2019,"1,955.70","10.1186/s12879-019-4424-2 ","Full Open","BMC Springer","BMC Infectious Diseases"
"University of Liège",2019,"2,167.70","10.1186/s12891-019-2752-4","Full Open","BMC Springer","BMC Musculoskeletal Disorders"
"University of Liège",2019,"2,040.50","10.1186/s12896-019-0566-y","Full Open","BMC Springer","BMC Biotechnology"
"University of Liège",2019,"2,167.70","10.1186/s12934-019-1218-6","Full Open","BMC Springer","Microbial Cell Factories"
"University of Liège",2019,"2,109.40","10.1186/s12939-019-1089-9","Full Open","BMC Springer","International Journal for Equity in Health"
"University of Liège",2019,"2,581.10","10.1186/s12967-019-1984-2","Full Open","BMC Springer","Journal of Translational Medicine"
"University of Liège",2019,"2,934.25","10.1186/s13058-018-1095-7","Full Open","BMC Springer","Breast Cancer Research"
"University of Liège",2019,"1,627.45","10.1186/s13570-019-0157-5","Full Open","BMC Springer","Pastoralism"
"University of Liège",2019,"1,875.50","10.1186/s13690-019-0333-5","Full Open","BMC Springer","Archives of Public Health"
"University of Liège",2019,"1,611.20","10.1186/s13690-019-0359-8","Full Open","BMC Springer","Archives of Public Health"
"University of Liège",2019,371.22,"10.5539/ass.v15n6p106","Full Open","Canadian Center of Science and Education (CCSE)","Asian Social Science"
"University of Liège",2019,276.71,"10.5539/jsd.v12n4p28","Full Open","Canadian Center of Science and Education (CCSE)","Journal of Sustainable Development"
