institution (M);period (M);euro (M);DOI (M);Publisher;;url
University of Liège;2022;11350;;Brill;BOOK;https://orbi.uliege.be/handle/2268/291918
University of Liège;2022;1000;10.3920/978-90-8686-930-5_7;Wageningen Academic Publishers;BOOK chapter;
University of Liège;2022;40;10.5194/icg2022-145;Copernicus Meetings;Abstract meeting;
University of Liège;2022;45;10.5194/egusphere-egu22-3689;Copernicus Meetings;Abstract meeting;
University of Liège;2022;45;10.5194/egusphere-egu22-5913;Copernicus Meetings;Abstract meeting;
University of Liège;2022;3630;10.1007/978-3-030-51241-5;Springer;BOOK;https://orbi.uliege.be/handle/2268/231406
University of Liège;2022;44,54;10.5194/epsc2022-529;Copernicus Meetings;Abstract meeting;
University of Liège;2022;42,02;10.5194/epsc2022-260;Copernicus Meetings;Abstract meeting;
University of Liège;2022;44,54;10.5194/epsc2022-1071;Copernicus Meetings;Abstract meeting;
University of Liège;2022;44,54;10.5194/epsc2022-685;Copernicus Meetings;Abstract meeting;
University of Liège;2022;1672,4;10.5772/intechopen.106403;Intech Open;BOOK chapter;
