"Article Title","period","Journal","Publisher","Digital Object Identifier","URL","Euro","is_hybrid","Date Funds Disbursed","issn","institution"
"Developing and validating the youth conduct problems scale-Rwanda: A mixed methods approach",2014,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0100549","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0100549",407.11,FALSE,"6/19/2014",,"HOPE Fund - OSC Harvard University Library"
"Consequences of missed opportunities for HIV testing during pregnancy for Mexican women, children and male partners",2014,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0109912","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0109912",1017.77,FALSE,"12/8/2014",,"HOPE Fund - OSC Harvard University Library"
"A Health Impact Assessment of a Proposed Bill to Decrease Speed Limits on Local Roads in Massachusetts (U.S.A.)",2014,"International Journal fo Environmental Research and Public Health","MDPI","10.3390/ijerph111010269","http://www.mdpi.com/1660-4601/11/10/10269",833.06,FALSE,"10/27/2014",,"HOPE Fund - OSC Harvard University Library"
"Evaluating remote sensing of deciduous forest phenology at multiple spatial scales using PhenoCam imagery",2014,"Biogeosciences Discussions","Coprernicus Publications","10.5194/bg-11-4305-2014","http://www.biogeosciences.net/11/4305/2014/",1141.40,FALSE,"4/29/2014",,"HOPE Fund - OSC Harvard University Library"
"Height, Socioeconomic and Subjective Well-Being Factors among U.S. Women, Ages 49-79",2014,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0096061","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0096061",1017.77,FALSE,"4/28/2014",,"HOPE Fund - OSC Harvard University Library"
"Socioeconomic and geographic patterning of smoking behaviour in Canada: a cross-sectional multilevel analysis.",2014,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0057646","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0057646",339.26,FALSE,"5/22/2014",,"HOPE Fund - OSC Harvard University Library"
"The Route of HIV Escape from Immune Response Targeting Multiple Sites is Determined by the Cost-Benefit Tradeoff of Escape Muta",2014,"PLoS Computational Biology","Public Library of Science","10.1371/journal.pcbi.1003878","http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1003878",565.43,FALSE,"10/27/2014",,"HOPE Fund - OSC Harvard University Library"
"Co-Dynamics of four variables involved in Dengue transmission and its control",2014,"Discrete Dynamics in nature and Society","Hinawi Publications","10.1155/2014/101965","https://www.hindawi.com/journals/ddns/2014/101965/",879.80,FALSE,"12/8/2014",,"HOPE Fund - OSC Harvard University Library"
"Locating particles accurately in microscope images requires image-processing kernels to be rotationally symmetric",2014,"Optics Express","Optical Society of America","10.1364/OE.21.030755","https://www.osapublishing.org/oe/abstract.cfm?uri=oe-21-25-30755",689.82,FALSE,"1/21/2014",,"HOPE Fund - OSC Harvard University Library"
"Social Networking Smartphone Applications and Sexual Health Outcomes Among Men Who Have Sex With Men",2014,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0086603","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0086603",508.88,FALSE,"1/21/2014",,"HOPE Fund - OSC Harvard University Library"
"Uncovering scaling laws to infer multi-drug response of resistant microbes and cancer cells",2014,"Cell Reports","Cell Press","10.1016/j.celrep.2014.02.007","http://www.cell.com/cell-reports/abstract/S2211-1247(14)00086-2?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2211124714000862%3Fshowall%3Dtrue",2261.70,FALSE,"4/29/2014",,"HOPE Fund - OSC Harvard University Library"
"A Health Impact Assessment of Proposed Public Transit Service Cuts and Fare Increases in Boston, Massachusetts",2014,"International Journal fo Environmental Research and Public Health","MDPI","10.3390/ijerph110808010","http://www.mdpi.com/1660-4601/11/8/8010",442.28,FALSE,"10/27/2014","1660-4601","HOPE Fund - OSC Harvard University Library"
"Who am I? The Self/Subject according to Psychoanalytic Theory.",2014,"Sage Open","Sage","10.1177/2158244014545971 ","http://sgo.sagepub.com/content/4/3/2158244014545971",74.64,FALSE,"7/11/2014",,"HOPE Fund - OSC Harvard University Library"
"Safety and availability of clofazimine in the treatment of multidrug and extensively drug-resistant tuberculosis: Analysis of pu",2014,"BMJ Open","BMJ","10.1136/bmjopen-2013-004143","http://bmjopen.bmj.com/content/4/1/e004143",165.86,FALSE,"1/21/2014",,"HOPE Fund - OSC Harvard University Library"
"Empirical impact evaluation of the WHO global code of practice on the international recruitment of health personnel in Australia",2014,"Globalization and Health","BioMed Central","10.1186/1744-8603-9-60","http://globalizationandhealth.biomedcentral.com/articles/10.1186/1744-8603-9-60",1101.45,FALSE,"1/8/2014","1744-8603","HOPE Fund - OSC Harvard University Library"
"Rapid adaptation to mammalian sociality via sexually selected traits",2014,"BMC Evolutionary Biology","BioMed Central","10.1186/1471-2148-13-81","http://bmcevolbiol.biomedcentral.com/articles/10.1186/1471-2148-13-81",368.47,FALSE,"4/13/2014",,"HOPE Fund - OSC Harvard University Library"
