"Article Title","period","Journal","Publisher","Digital Object Identifier","URL","Euro","is_hybrid","Date of Reimbersment","issn","institution"
"Factors associated with persons with disability employment in India: a cross-sectional study",2016,"BMC Public Health","BioMed Central","10.1186/s12889-016-3713-6","http://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-016-3713-6",961.93,FALSE,"10/24/2016",,"HOPE Fund - OSC Harvard University Library"
"Hypercalcemia Associated with Isolated Bone Marrow Sarcoidosis in a Patient with Underlying Monoclonal Gammopathy of Undetermined Significance: Case Report and Review of Literature",2016,"Biomarker Research","BioMed Central (BMC)","10.1186/s40364-016-0072-5","http://biomarkerres.biomedcentral.com/articles/10.1186/s40364-016-0072-5",1213.51,FALSE,"10/3/2016","2050-7771","HOPE Fund - OSC Harvard University Library"
"Predicting subnational Ebola virus disease epidemic dynamics from sociodemographic indicators",2016,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0163544","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0163544",1340.87,FALSE,"9/22/2016",,"HOPE Fund - OSC Harvard University Library"
"Assessment of knowledge of blood loss at delivery among postpartum patients",2016,"PeerJ","PeerJ","10.7717/peerj.2361","https://peerj.com/articles/2361/",114.67,FALSE,"9/13/2016",,"HOPE Fund - OSC Harvard University Library"
"School- and Individual-level Predictors of Weight Status Misperception among Korean Adolescents: A National Online Survey",2016,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0154826","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0154826",1210.82,FALSE,"8/10/2016",,"HOPE Fund - OSC Harvard University Library"
"To regulate or not to regulate? Views on electronic cigarette regulations and beliefs about the reasons for and against regulation",2016,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0161124","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161124",268.17,FALSE,"9/2/2016",,"HOPE Fund - OSC Harvard University Library"
"(Tele)Medical Education - Training Digital Natives in Telemedicine",2016,"Journal of Medical Internet Research","JMIR","10.2196/jmir.5534","http://www.jmir.org/2016/7/e193/",747.41,FALSE,"8/29/2016",,"HOPE Fund - OSC Harvard University Library"
"Creating analogs of thermal distributions from diabatic excitations in ion-trap-based quantum simulation",2016,"New Journal of Physics","IOP Publishing Ltd.","10.1088/1367-2630/18/4/043026","http://iopscience.iop.org/article/10.1088/1367-2630/18/4/043026/meta",621.85,FALSE,"8/29/2016",,"HOPE Fund - OSC Harvard University Library"
"County poverty concentration and disparities in unintentional injury deaths: A fourteen-year analysis of 1.6 million U.S. fatalities",2016,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0153516","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0153516",448.45,FALSE,"8/23/2016",,"HOPE Fund - OSC Harvard University Library"
"Increased risk of respiratory mortality associated with the high-tech manufacturing industry: A 26-year study",2016,"International Journal of Environmental Research and Public Health","MDPI AG","10.3390/ijerph13060557","http://www.mdpi.com/1660-4601/13/6/557",753.40,FALSE,"8/22/2016",,"HOPE Fund - OSC Harvard University Library"
"HIV status disclosure through family-based intervention supports parenting and child mental health in Rwanda",2016,"Frontiers in Public Health HIV and AIDS","Frontiers","10.3389/fpubh.2016.00138","http://journal.frontiersin.org/article/10.3389/fpubh.2016.00138",543.18,FALSE,"8/10/2016","2296-2565","HOPE Fund - OSC Harvard University Library"
"Duplication of a single neuron in C. elegans reveals a pathway for dendrite tiling by mutual repulsion",2016,"Cell Reports","Cell Press","10.1016/j.celrep.2016.05.003","http://www.sciencedirect.com/science/article/pii/S2211124716305563",3139.15,FALSE,"8/10/2016",,"HOPE Fund - OSC Harvard University Library"
"Did FDA Decisionmaking Affect Anti-Psychotic Drug Prescribing in Children?: A Time-Trend Analysis",2016,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0152195","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0152195",536.35,FALSE,"8/10/2016",,"HOPE Fund - OSC Harvard University Library"
"Interrater Reliability of mHealth App Rating Measures: Analysis of Top Depression and Smoking Apps",2016,"JMIR Mental Health","JMIR","10.2196/mhealth.5176","http://mhealth.jmir.org/2016/1/e15/",576.57,FALSE,"5/24/2016",,"HOPE Fund - OSC Harvard University Library"
"Barriers, Benefits, and Beliefs of Brain Training Smartphone Apps: An Internet Survey of Younger US Consumers",2016,"Frontiers in Human Nuerosciences","Frontiers","10.3389/fnhum.2016.00180","http://journal.frontiersin.org/article/10.3389/fnhum.2016.00180",1255.66,FALSE,"5/24/2016","1662-5161 ","HOPE Fund - OSC Harvard University Library"
"A biologically-inspired multi-joint soft exosuit that can reduce the energy cost of loaded walking",2016,"Journal of NeuroEngineering and Rehabilitation","BioMed Central","10.1186/s12984-016-0150-9","http://jneuroengrehab.biomedcentral.com/articles/10.1186/s12984-016-0150-9",1648.50,FALSE,"5/18/2016","1743-0003","HOPE Fund - OSC Harvard University Library"
"Hospital Case Volume and Outcomes for Proximal Femoral Fractures in the United States: an Observational Study",2016,"BMJ Open","BMJ Publishing Group","10.1136/bmjopen-2015-010743","http://bmjopen.bmj.com/content/6/4/e010743",726.49,FALSE,"5/16/2016",,"HOPE Fund - OSC Harvard University Library"
"Attitudes of Palestinian Medical Students on the Geopolitical Barriers to Accessing Hospitals for Clinical Training",2016,"Conflict and Health",,"10.1186/s13031-016-0067-8","http://conflictandhealth.biomedcentral.com/articles/10.1186/s13031-016-0067-8",1217.99,FALSE,"4/25/2016","1752-1505","HOPE Fund - OSC Harvard University Library"
"RNA-Seq of the Caribbean reef-building coral Orbicella faveolata (Scleractinia-Merulinidae) under bleaching and disease stress e",2016,"PeerJ","PeerJ","10.7717/peerj.1616","https://peerj.com/articles/1616/",223.33,FALSE,"3/29/2016",,"HOPE Fund - OSC Harvard University Library"
"Income and Subjective Well-Being: New Insights from Relatively Healthy American Women,",2016,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0146303","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0146303",1210.82,FALSE,"3/11/2016",,"HOPE Fund - OSC Harvard University Library"
"Adaptive landscape by environment interactions dictate evolutionary dynamics in models of drug resistance",2016,"PLoS Computational Biology","Public Library of Science","10.1371/journal.pcbi.1004710","http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004710",1210.82,FALSE,"4/22/2016",,"HOPE Fund - OSC Harvard University Library"
"Effect of Composition and Impurities on the Phosphorescence of Green-emitting Alkaline Earth Aluminate Phosphor",2016,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0145434","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0145434",388.36,FALSE,"3/11/2016",,"HOPE Fund - OSC Harvard University Library"
"Non-equilibrium quantum heat machines",2016,"New Journal of Physics","IOP Publishing","10.1088/1367-2630/17/11/115012","http://iopscience.iop.org/article/10.1088/1367-2630/17/11/115012/meta;jsessionid=69C4D4BD130BBB35864F637F9BCB1652.c4.iopscience.cld.iop.org#citations",886.14,FALSE,"1/5/2016",,"HOPE Fund - OSC Harvard University Library"
