"Article Title","Journal","Publisher","Digital Object Identifier","URL","Amount Awarded","is_hybrid","Date Funds Disbursed","issn","institution"
"Functional Status Predicts Acute Care Readmissions from Inpatient Rehabilitation in the Stroke Population","PLoS ONE","Public Library of Science","10.1371/journal.pone.0142180","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0142180","$920 ",0,10/19/2015,,"HOPE Fund-OSC Harvard University Library"
"Focusing on prevention: the social and economic rights of children vulnerable to trafficking","Health and Human Rights Journal","Harvard University Press",,"https://www.hhrjournal.org/2015/04/focusing-on-prevention-the-social-and-economic-rights-of-children-vulnerable-to-sex-trafficking/","$1,800 ",0,6/11/2015,"1079-0969","HOPE Fund-OSC Harvard University Library"
"Changes in intake of fruits and vegetables and weight change: three prospective cohorts of 133,468 U.S. men and women","PLoS Medicine","Public Library of Science","10.1371/journal.pmed.1001956","http://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1001878","$2,578.00 ",0,9/11/2015,,"HOPE Fund-OSC Harvard University Library"
"A meta-analysis of functional reading systems in typically developing and struggling readers across different alphabetic languag","Frontiers in Psychology","Frontiers","10.3389/fpsyg.2015.00191","http://journal.frontiersin.org/article/10.3389/fpsyg.2015.00191","$1,111 ",0,3/24/2015,"1664-1078","HOPE Fund-OSC Harvard University Library"
"CHILDHOOD PHYSICAL AND SEXUAL ABUSE HISTORY AND LEUKOCYTE TELOMERE LENGTH AMONG WOMEN IN MIDDLE ADULTHOOD","PLoS ONE","Public Library of Science","10.1371/journal.pone.0124493","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0124493","$1,350.00 ",0,"Published 3/11/2015",,"HOPE Fund-OSC Harvard University Library"
"Neuropsychiatric disorders among Syrian and Iraqi refugees in Jordan: A retrospective cohort study 2012-2013","Conflict and Health","BioMed Central","10.1186/s13031-015-0038-5","http://conflictandhealth.biomedcentral.com/articles/10.1186/s13031-015-0038-5","$1,990 ",0,5/12/2015,,"HOPE Fund-OSC Harvard University Library"
"Is exposure to e-cigarette communication associated with perceived harms of e-cigarette secondhand vapor? Results from a nationa","BMJ Open","BMJ Gourp","10.1136/bmjopen-2014-007134","http://bmjopen.bmj.com/content/5/3/e007134","$383 ",0,5/22/2015,,"HOPE Fund-OSC Harvard University Library"
"Miscommunication of science: Music cognition research in the popular press","Frontiers in Psychology","Frontiers","10.3389/fpsyg.2015.00988","http://journal.frontiersin.org/article/10.3389/fpsyg.2015.00988","$250.00 ",0,6/1/2015,"1664-1078","HOPE Fund-OSC Harvard University Library"
"THE GLOBAL ECONOMIC CONSEQUENCES OF SELECTED SURGICAL DISEASES","The Lancet Global Health","Elsevier","10.1016/s2214-109x(15)70088-4","http://www.sciencedirect.com/science/article/pii/S2214109X15700884","$1,900.00 ",0,10/14/2015,"2214-109X","HOPE Fund-OSC Harvard University Library"
"Experiences of coercion to sterilize and forced sterilization among women living with HIV in Latin America","Journal of International AIDS Society","International AIDS Society","10.7448/IAS.18.1.19462","http://www.jiasociety.org/index.php/jias/article/view/19462","$1,934 ",0,4/15/2015,,"HOPE Fund-OSC Harvard University Library"
"Heritage Language and Linguistic Theory","Frontiers in Psychology","Frontiers","10.3389/fpsyg.2015.01545","http://journal.frontiersin.org/article/10.3389/fpsyg.2015.01545","$950 ",0,10/14/2015,"1664-1078","HOPE Fund-OSC Harvard University Library"
"Multidimensional measurement of household water poverty in a Mumbai slum: looking beyond water quality","PLoS ONE","Public Library of Science","10.1371/journal.pone.0133241","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133241","$168.75 ",0,7/29/2015,,"HOPE Fund-OSC Harvard University Library"
"Spatial spread of tuberculosis through neighborhoods segregated by Socio-economic position: a stochastic automata model","Discrete Dynamics in nature and Society","Hindawi Publishing Corporation","10.1155/2015/583819","https://www.hindawi.com/journals/ddns/2015/583819/","$1,750 ",0,8/13/2015,,"HOPE Fund-OSC Harvard University Library"
"Prevalence of vaginal fistula symptoms in 19 sub-Saharan Africa countries: a meta-analysis of national household survey data","The Lancet Global Health","Elsevier","10.1016/S2214-109X(14)70348-1","http://www.sciencedirect.com/science/article/pii/S2214109X14703481","$1,187.50 ",0,"Published 5/1/15","2214-109X","HOPE Fund-OSC Harvard University Library"
"Reproducibility of circulating miRNA in stored plasma samples","PLoS ONE","Public Library of Science","10.1371/journal.pone.0136665","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0136665","$1,080 ",0,9/11/2015,,"HOPE Fund-OSC Harvard University Library"
"Changes in Depressive Symptoms and Incidence of First Stroke Among Middle-Aged and Older US Adults","Journal of the American Heart Association","American Heart Association","10.1161/JAHA.115.001923","http://jaha.ahajournals.org/content/4/5/e001923","$1,500.00 ",0,5/13/2015,"2047-9980","HOPE Fund-OSC Harvard University Library"
"Maternal Caffeine Consumption during Pregnancy and Risk of Low Birth Weight: a Dose-response Meta-analysis of Observational Stud","PLoS ONE","Public Library of Science","10.1371/journal.pone.0132334","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0132334","$1,350.00 ",0,8/15/2015,,"HOPE Fund-OSC Harvard University Library"
"Modeling contextual effects using individual-level data and without aggregation: An illustration of multilevel factor analysis (","Population Health Metrics","BioMed Central","10.1186/s12963-015-0045-1","http://pophealthmetrics.biomedcentral.com/articles/10.1186/s12963-015-0045-1","$1,960 ",0,5/12/2015,"1478-7954","HOPE Fund-OSC Harvard University Library"
"Kickoff to Conflict: A Sequence Analysis of Intra-State Conflict-Preceding Event Structures","PLoS ONE","Public Library of Science","10.1371/journal.pone.0122472","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0122472","$675 ",0,4/16/2015,,"HOPE Fund-OSC Harvard University Library"
"Weakest students benefit most from a customized educational experience for Generation Y students.","PeerJ","PeerJ","10.7717/peerj.682","https://peerj.com/articles/682/","$240.00 ",0,3/5/2015,,"HOPE Fund-OSC Harvard University Library"
"Biological, psychological and social processes that explain celebrities' influence on patients' health-related behaviors","Archives of Public Health","BMC","10.1186/2049-3258-73-3","http://archpublichealth.biomedcentral.com/articles/10.1186/2049-3258-73-3","$995.00 ",0,1/23/2015,,"HOPE Fund-OSC Harvard University Library"
"Students distracted by electronic devices perform at the same level as those who are focused on the lecture","PeerJ","PeerJ","10.7717/peerj.572","https://peerj.com/articles/572/","$139 ",0,1/5/2015,,"HOPE Fund-OSC Harvard University Library"
"Intrinsic neuronal properties switch the mode of information transmission in networks","PLoS Computational Biology","Public Library of Science","10.1371/journal.pcbi.1003962","http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1003962","$562.50 ",0,1/5/2015,,"HOPE Fund-OSC Harvard University Library"
"Psychological Sequelae of The Station Nightclub Fire: Comparing survivors with and without physical injuries using a mixed-metho","PLoS ONE","Public Library of Science","10.1371/journal.pone.0115013","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0115013","$1,350.00 ",0,1/5/2015,,"HOPE Fund-OSC Harvard University Library"
"Bachelors, Divorcees, and Widowers: Does Marriage Protect Men from Type 2 Diabetes?","PLoS ONE","Public Library of Science","10.1371/journal.pone.0106720","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0106720","$1,080.00 ",0,6/5/2015,,"HOPE Fund-OSC Harvard University Library"
"HIV and Hepatitis C mortality in Massachusetts, 2002-2011","PLoS ONE","Public Library of Science","10.1371/journal.pone.0114822","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0114822","$450 ",0,1/5/2015,,"HOPE Fund-OSC Harvard University Library"
"Lateral prefrontal cortex activity during cognitive control of emotion predicts response to social stress in schizophrenia","NeuroImage: Clinical","Elsevier","10.1016/j.nicl.2014.08.012","http://www.sciencedirect.com/science/article/pii/S2213158214001211","$1,500 ",0,3/11/2015,,"HOPE Fund-OSC Harvard University Library"
"Attentional control mediates the relationship between social anhedonia and social impairment","Frontiers in Psychology","Frontiers","10.3389/fpsyg.2014.01384","http://journal.frontiersin.org/article/10.3389/fpsyg.2014.01384/full","$2,031.35 ",0,3/11/2015,,"HOPE Fund-OSC Harvard University Library"
