"Article Title","Journal","Publisher","Digital Object Identifier","URL","Amount Disbursed","is_hybrid","Date of Reimbersment","issn","institution"
"Factors associated with persons with disability employment in India: a cross-sectional study","BMC Public Health","BioMed Central","10.1186/s12889-016-3713-6","http://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-016-3713-6",1072.5,0,10/24/2016,,"HOPE Fund-OSC Harvard University Library"
"Hypercalcemia Associated with Isolated Bone Marrow Sarcoidosis in a Patient with Underlying Monoclonal Gammopathy of Undetermined Significance: Case Report and Review of Literature","Biomarker Research","BioMed Central (BMC)","10.1186/s40364-016-0072-5","http://biomarkerres.biomedcentral.com/articles/10.1186/s40364-016-0072-5","$1,353 ",0,10/3/2016,"2050-7771","HOPE Fund-OSC Harvard University Library"
"Predicting subnational Ebola virus disease epidemic dynamics from sociodemographic indicators","PLoS ONE","Public Library of Science","10.1371/journal.pone.0163544","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0163544","$1,495 ",0,9/22/2016,,"HOPE Fund-OSC Harvard University Library"
"Assessment of knowledge of blood loss at delivery among postpartum patients","PeerJ","PeerJ","10.7717/peerj.2361","https://peerj.com/articles/2361/","$127.85 ",0,9/13/2016,,"HOPE Fund-OSC Harvard University Library"
"School- and Individual-level Predictors of Weight Status Misperception among Korean Adolescents: A National Online Survey","PLoS ONE","Public Library of Science","10.1371/journal.pone.0154826","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0154826","$1,350.00 ",0,8/10/2016,,"HOPE Fund-OSC Harvard University Library"
"To regulate or not to regulate? Views on electronic cigarette regulations and beliefs about the reasons for and against regulation","PLoS ONE","Public Library of Science","10.1371/journal.pone.0161124","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161124","$299 ",0,9/2/2016,,"HOPE Fund-OSC Harvard University Library"
"(Tele)Medical Education - Training Digital Natives in Telemedicine","Journal of Medical Internet Research","JMIR","10.2196/jmir.5534","http://www.jmir.org/2016/7/e193/","$833.33 ",0,8/29/2016,,"HOPE Fund-OSC Harvard University Library"
"Creating analogs of thermal distributions from diabatic excitations in ion-trap-based quantum simulation","New Journal of Physics","IOP Publishing Ltd.","10.1088/1367-2630/18/4/043026","http://iopscience.iop.org/article/10.1088/1367-2630/18/4/043026/meta","$693.33 ",0,8/29/2016,,"HOPE Fund-OSC Harvard University Library"
"County poverty concentration and disparities in unintentional injury deaths: A fourteen-year analysis of 1.6 million U.S. fatalities","PLoS ONE","Public Library of Science","10.1371/journal.pone.0153516","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0153516","$500.00 ",0,8/23/2016,,"HOPE Fund-OSC Harvard University Library"
"Increased risk of respiratory mortality associated with the high-tech manufacturing industry: A 26-year study","International Journal of Environmental Research and Public Health","MDPI AG","10.3390/ijerph13060557","http://www.mdpi.com/1660-4601/13/6/557","$840 ",0,8/22/2016,,"HOPE Fund-OSC Harvard University Library"
