"Article Title","period","Journal","Publisher","Digital Object Identifier","URL","Euro","is_hybrid","Date Funds Disbursed","issn","institution"
"Functional Status Predicts Acute Care Readmissions from Inpatient Rehabilitation in the Stroke Population",2015,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0142180","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0142180",829.75,FALSE,"10/19/2015",,"HOPE Fund - OSC Harvard University Library"
"Focusing on prevention: the social and economic rights of children vulnerable to trafficking",2015,"Health and Human Rights Journal","Harvard University Press",,"https://www.hhrjournal.org/2015/04/focusing-on-prevention-the-social-and-economic-rights-of-children-vulnerable-to-sex-trafficking/",1623.42,FALSE,"6/11/2015","1079-0969","HOPE Fund - OSC Harvard University Library"
"Changes in intake of fruits and vegetables and weight change: three prospective cohorts of 133,468 U.S. men and women",2015,"PLoS Medicine","Public Library of Science","10.1371/journal.pmed.1001956","http://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1001878",2325.10,FALSE,"9/11/2015",,"HOPE Fund - OSC Harvard University Library"
"A meta-analysis of functional reading systems in typically developing and struggling readers across different alphabetic languag",2015,"Frontiers in Psychology","Frontiers","10.3389/fpsyg.2015.00191","http://journal.frontiersin.org/article/10.3389/fpsyg.2015.00191",1002.01,FALSE,"3/24/2015","1664-1078","HOPE Fund - OSC Harvard University Library"
"CHILDHOOD PHYSICAL AND SEXUAL ABUSE HISTORY AND LEUKOCYTE TELOMERE LENGTH AMONG WOMEN IN MIDDLE ADULTHOOD",2015,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0124493","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0124493",1217.57,FALSE,"Published 3/11/2015",,"HOPE Fund - OSC Harvard University Library"
"Neuropsychiatric disorders among Syrian and Iraqi refugees in Jordan: A retrospective cohort study 2012-2013",2015,"Conflict and Health","BioMed Central","10.1186/s13031-015-0038-5","http://conflictandhealth.biomedcentral.com/articles/10.1186/s13031-015-0038-5",1794.78,FALSE,"5/12/2015",,"HOPE Fund - OSC Harvard University Library"
"Is exposure to e-cigarette communication associated with perceived harms of e-cigarette secondhand vapor? Results from a nationa",2015,"BMJ Open","BMJ Gourp","10.1136/bmjopen-2014-007134","http://bmjopen.bmj.com/content/5/3/e007134",345.43,FALSE,"5/22/2015",,"HOPE Fund - OSC Harvard University Library"
"Miscommunication of science: Music cognition research in the popular press",2015,"Frontiers in Psychology","Frontiers","10.3389/fpsyg.2015.00988","http://journal.frontiersin.org/article/10.3389/fpsyg.2015.00988",225.48,FALSE,"6/1/2015","1664-1078","HOPE Fund - OSC Harvard University Library"
"THE GLOBAL ECONOMIC CONSEQUENCES OF SELECTED SURGICAL DISEASES",2015,"The Lancet Global Health","Elsevier","10.1016/s2214-109x(15)70088-4","http://www.sciencedirect.com/science/article/pii/S2214109X15700884",1713.61,FALSE,"10/14/2015","2214-109X","HOPE Fund - OSC Harvard University Library"
"Experiences of coercion to sterilize and forced sterilization among women living with HIV in Latin America",2015,"Journal of International AIDS Society","International AIDS Society","10.7448/IAS.18.1.19462","http://www.jiasociety.org/index.php/jias/article/view/19462",1744.27,FALSE,"4/15/2015",,"HOPE Fund - OSC Harvard University Library"
"Heritage Language and Linguistic Theory",2015,"Frontiers in Psychology","Frontiers","10.3389/fpsyg.2015.01545","http://journal.frontiersin.org/article/10.3389/fpsyg.2015.01545",856.81,FALSE,"10/14/2015","1664-1078","HOPE Fund - OSC Harvard University Library"
"Multidimensional measurement of household water poverty in a Mumbai slum: looking beyond water quality",2015,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0133241","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133241",152.20,FALSE,"7/29/2015",,"HOPE Fund - OSC Harvard University Library"
"Spatial spread of tuberculosis through neighborhoods segregated by Socio-economic position: a stochastic automata model",2015,"Discrete Dynamics in nature and Society","Hindawi Publishing Corporation","10.1155/2015/583819","https://www.hindawi.com/journals/ddns/2015/583819/",1578.33,FALSE,"8/13/2015",,"HOPE Fund - OSC Harvard University Library"
"Prevalence of vaginal fistula symptoms in 19 sub-Saharan Africa countries: a meta-analysis of national household survey data",2015,"The Lancet Global Health","Elsevier","10.1016/S2214-109X(14)70348-1","http://www.sciencedirect.com/science/article/pii/S2214109X14703481",1071.01,FALSE,"Published 5/1/15","2214-109X","HOPE Fund - OSC Harvard University Library"
"Reproducibility of circulating miRNA in stored plasma samples",2015,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0136665","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0136665",974.05,FALSE,"9/11/2015",,"HOPE Fund - OSC Harvard University Library"
"Changes in Depressive Symptoms and Incidence of First Stroke Among Middle-Aged and Older US Adults",2015,"Journal of the American Heart Association","American Heart Association","10.1161/JAHA.115.001923","http://jaha.ahajournals.org/content/4/5/e001923",1352.85,FALSE,"5/13/2015","2047-9980","HOPE Fund - OSC Harvard University Library"
