"INSTITUTION","PERIOD","EURO","DOI","IS_HIBRID","PUBLISHER","JOURNAL_FULL_TITLE","ISSN"
"University of Milan",2021,1666,"10.3390/nu13020509","FALSE","MDPI","NUTRIENTS","2072-6643"
"University of Milan",2021,1481.21,"10.3390/microorganisms9010119","FALSE","MDPI","MICROORGANISMS","2076-2607"
"University of Milan",2021,1758.77,"10.3390/ijms22041989","FALSE","MDPI","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","1422-0067"
"University of Milan",2021,879.39,"10.3390/su13052475","FALSE","MDPI","SUSTAINABILITY","2071-1050"
"University of Milan",2021,100,"10.7416/ai.2021.2406","TRUE","Società Editrice Universo","ANNALI DI IGIENE MEDICINA PREVENTIVA E DI COMUNITÀ","1120-9135"
"University of Milan",2021,1477.79,"10.3390/cells10010175","FALSE","MDPI","CELLS","2073-4409"
"University of Milan",2021,1800,"10.1186/s12986-020-00537-w","FALSE","BioMed Central","NUTRITION & METABOLISM","1743-7075"
"University of Milan",2021,1500,"10.1186/s12917-020-02716-6","FALSE","BioMed Central - Part of Springer Nature","BMC VETERINARY RESEARCH","1746-6148"
"University of Milan",2021,1908.34,"10.3390/foods10010174","FALSE","MDPI","FOODS","2304-8158"
"University of Milan",2021,1759.58,"10.3390/su13041715","FALSE","MDPI","SUSTAINABILITY","2071-1050"
"University of Milan",2021,4263.75,"10.1016/j.jclepro.2021.126290","TRUE","Elsevier","JOURNAL OF CLEANER PRODUCTION","0959-6526"
"University of Milan",2021,1048.6,"10.3390/app11051992","FALSE","mdpi","APPLIED SCIENCES","2076-3417"
"University of Milan",2021,1496.26,"10.3390/su13020787","FALSE","MDPI","SUSTAINABILITY","2071-1050"
"University of Milan",2021,2280,"10.1016/j.ecoenv.2020.111869","FALSE","Elsevier","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","0147-6513"
"University of Milan",2021,1508.01,"10.3389/fcell.2020.625717","FALSE","MDPI","FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY","2296-634X"
"University of Milan",2021,3350,"10.1002/hon.2840","TRUE","Wiley","HEMATOLOGICAL ONCOLOGY","0278-0232"
"University of Milan",2021,1690,"10.1038/s41598-021-84213-w","FALSE","MDPI","SCIENTIFIC REPORTS","2045-2322"
