"Institution","period","euro","DOI","is_hybrid","publisher","journal_full_title","issn"
"University of Milan",2017,3115,"10.1002/jsfa.8120","TRUE","Wiley","Journal of the Science of Food and Agriculture","1097-0010"
"University of Milan",2017,1799,"10.1093/bfgp/elw037","TRUE","OUP","Briefings in Functional Genomics","2041-2657"
"University of Milan",2017,1362,"10.1038/s41598-017-01393-0","TRUE","NPG","Scientific reports","2045-2322"
"University of Milan",2017,1726,"10.1080/14756366.2017.1350658","TRUE","tandf","Journal of Enzyme Inhibition and Medicinal Chemistry ","1475-6374"
"University of Milan",2017,615,"10.1002/open.201700082","TRUE","Wiley","Chemistryopen","2191-1363"
"University of Milan",2017,1625,"10.3390/nu9020107","FALSE","MDPI","Nutrients","2072-6643"
"University of Milan",2017,1798,"10.3390/ijerph14040360","FALSE","MDPI","Int. J. Environ. Res. Public Health","1660-4601"
"University of Milan",2017,547,"10.1016/j.jvscit.2016.12.004","FALSE","Elsevier","Journal of Vascular Surgery Cases and Innovative Techniques","2468-4287"
"University of Milan",2017,1177,"10.1186/s13075-017-1305-1","FALSE","BMC","Arthritis Research & Therapy","1478-6362"
"University of Milan",2017,2063,"10.1186/s12937-017-0257-2","FALSE","BMC","Nutrition journal","1475-2891"
"University of Milan",2017,1528,"10.14814/phy2.13197 ","TRUE","Wiley","Physiological Reports ","2051-817X"
"University of Milan",2017,2597,"10.3389/fmed.2017.00184","FALSE","Frontiers","Frontiers in medicine","2296-858X"
"University of Milan",2017,1630,"10.1371/journal.pone.0176680","FALSE","PLOS","Plos one","1932-6203"
"University of Milan",2017,383,"10.1007/s00345-017-2050-4","TRUE","Springer","World Journal of Urology","1433-8726"
"University of Milan",2017,357,"10.1186/s12969-017-0150-8","TRUE","BMC","Pedriatic rheumatology","1546-0096"
"University of Milan",2017,376,"10.1186/s13052-017-0405-5","TRUE","BMC","Italian Journal of Pediatics","1824-7288"
"University of Milan",2017,,"10.1002/term.1898","TRUE","Wiley","Journal of Tissue Engineering and Regenerative Medicine","1932-7005"
"University of Milan",2017,2117,"10.3389/fphys.2017.00868","FALSE","Frontiers","Forntiers in Physiology","1664-042X "
