institution;period;euro;DOI;is_hybrid;publisher;journal_full_title;issn;url;
Università degli Studi di Milano;2016;0;10.1039/C5NJ03000E;TRUE;The Royal Society of Chemistry;New journal of chemistry;1144-0546;http://pubs.rsc.org/en/content/articlepdf/2016/nj/c5nj03000e;New dinuclear hydrido-carbonyl rhenium complexes designed as photosensitizers in dye-sensitized solar cells
Università degli Studi di Milano;2016;0;10.1039/C5CP08017G;TRUE;The Royal Society of Chemistry;Physical Chemistry Chemical Physics;1463-9076;http://pubs.rsc.org/en/content/articlepdf/2016/CP/C5CP08017G;Label-Free Detection of DNA Single-Base Mismatches using a Simple Reflectance-Based Optical Technique
Università degli Studi di Milano;2016;0;10.1039/C5CP07272G;TRUE;The Royal Society of Chemistry;Physical Chemistry Chemical Physics;1463-9076;http://pubs.rsc.org/en/content/articlepdf/2016/cp/c5cp07272g;Quantum dynamical investigation of the isotope effect in H2 formation on graphite at cold collision energies
Università degli Studi di Milano;2016;0;10.1039/C6CP01491G;TRUE;The Royal Society of Chemistry;Physical Chemistry Chemical Physics;1463-9076;http://pubs.rsc.org/en/content/articlepdf/2016/CP/C6CP01491G;Hydrogen on Silicene: Like or Unlike Graphene?
Università degli Studi di Milano;2016;0;10.1039/C6CY00207B;TRUE;The Royal Society of Chemistry;Catalysis Science & Technology;2044-4753;http://pubs.rsc.org/en/content/articlepdf/2016/cy/c6cy00207b;Synthesis in Mesoreactors: Ru(porphyrin)CO-Catalyzed Aziridination of Olefins Under Continuous Flow Conditions
Università degli Studi di Milano;2016;0;10.1039/C6CP01728B ;TRUE;The Royal Society of Chemistry;Physical Chemistry Chemical Physics;1463-9076;http://pubs.rsc.org/en/Content/ArticleLanding/2016/CP/C6CP01728B#!divAbstract;From dioxin to dioxin congeners: understanding the differences in hydrophobic aggregation in water and absorption into lipid membranes by means of atomistic simulations
Università degli Studi di Milano;2016;0;10.1039/c6dt02094a;TRUE;The Royal Society of Chemistry;Dalton transactions;1477-9226;http://pubs.rsc.org/en/content/articlepdf/2016/dt/c6dt02094a;The Ligand Influence in Stereoselective Carbene Transfer Reactions Promoted by Chiral Metal Porphyrin Catalysts
Università degli Studi di Milano;2016;0;10.1039/C6SM00935B;TRUE;The Royal Society of Chemistry;Soft matter;1744-683X;http://pubs.rsc.org/en/content/articlepdf/2016/sm/c6sm00935b;Structure and dynamics of concentration fluctuations in a non-equilibrium dense colloidal suspension
Università degli Studi di Milano;2016;0;10.1039/C6RA17116H;TRUE;The Royal Society of Chemistry;RSC Advances;2046-2069;http://pubs.rsc.org/en/content/articlepdf/2016/ra/c6ra17116h;Aqueous self-assembly of short hydrophobic peptides containing norbornene amino acid into supramolecular structure of spherical shape
Università degli Studi di Milano;2016;0;10.1039/C6RA22231E;TRUE;The Royal Society of Chemistry;RSC Advances;2046-2069;http://pubs.rsc.org/en/content/articlepdf/2016/ra/c6ra22231e;Silver comes into play: Henry reaction and domino cycloisomerisation sequence catalysed by [Ag(I)(Pc-L)] complexes
Università degli Studi di Milano;2016;0;10.1039/C6PP00214E;TRUE;The Royal Society of Chemistry;Photochemical & Photobiological Sciences ;1474-905X;http://pubs.rsc.org/en/content/articlepdf/2017/pp/c6pp00214e;Emerging pollutant mixture mineralization by TiO2 photocatalysts. The role of the water medium
Università degli Studi di Milano;2016;0;10.1039/C6NJ02199A;TRUE;The Royal Society of Chemistry;New journal of chemistry;1144-0546;http://pubs.rsc.org/en/content/articlepdf/2016/nj/c6nj02199a;Novel Yttrium and Zirconium Catalysts Featuring Reduced Ar-BIANH2 Ligands for Olefin Hydroamination (Ar-BIANH2 = bis-arylaminoacenaphthylene)
Università degli Studi di Milano;2016;0;10.1039/C6RA04332A;TRUE;The Royal Society of Chemistry;RSC Advances;2046-2069;http://pubs.rsc.org/en/content/articlepdf/2016/ra/c6ra04332a;SPIO@SiO2Re@PEG nanoparticles as magneto-optical dual probes and sensitizers for photodynamic therapy
Università degli Studi di Milano;2016;0;10.1039/C6CE00289G;TRUE;The Royal Society of Chemistry;CrystEngComm;1466-8033 ;http://pubs.rsc.org/en/content/articlepdf/2016/ce/c6ce00289g;Crystal growth in gelled solution: applications to coordination polymers
Università degli Studi di Milano;2016;0;10.1039/C6OB02559E ;TRUE;The Royal Society of Chemistry;Organic & Biomolecular Chemistry;1477-0520;http://pubs.rsc.org/en/content/articlepdf/2017/ob/c6ob02559e;Glyco-functionalized dinuclear rhenium(I) complexes for cell imaging
Università degli Studi di Milano;2016;0;10.1039/c6cc05838h;TRUE;The Royal Society of Chemistry;Chemical Communications;1359-7345;http://pubs.rsc.org/en/content/articlepdf/2016/cc/c6cc05838h;Highly diastereoselective entry into chiral spirooxindole-based 4-methyleneazetidines via formal [2+2] annulation reaction
Università degli Studi di Milano;2016;0;10.1039/C6OB00672H;TRUE;The Royal Society of Chemistry;Organic & Biomolecular Chemistry;1477-0520;http://pubs.rsc.org/en/content/articlepdf/2016/ob/c6ob00672h;Exploiting the ?-phylic properties of cationic gold(I) catalysts in the ring opening reactions of aziridines with indoles
Università degli Studi di Milano;2016;0;10.1039/C6FO00073H;TRUE;The Royal Society of Chemistry;Food & Function;2042-650X;http://pubs.rsc.org/en/content/articlepdf/2016/fo/c6fo00073h;Grape skin phenolics as inhibitors of mammalian ?-glucosidase and ?-amylase  effect of food matrix and processing on efficacy
Università degli Studi di Milano;2016;0;10.1039/C6OB01642A;TRUE;The Royal Society of Chemistry;Organic & Biomolecular Chemistry;1477-0520;http://pubs.rsc.org/en/content/articlepdf/2016/ob/c6ob01642a;Disrupting the PCSK9/LDLR proteinprotein interaction by an imidazole-based minimalist peptidomimetic
Università degli Studi di Milano;2016;0;10.1039/C6DT01762B;TRUE;The Royal Society of Chemistry;Dalton transactions;1477-9226;http://pubs.rsc.org/en/content/articlepdf/2016/dt/c6dt01762b;Nonlinear optical properties of intriguing Ru ?-acetylide complexes and the use of a photocrosslinked polymer as a springboard to obtain SHG active thin films
