"Period","EURO","doi","publisher","journal","ISSN.1","ISSN.2"
2013,"1,447.04","10.1186/1471-2148-13-59","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA"
2013,"1,461.32","10.1186/1471-2164-14-171","Springer Science + Business Media","BMC Genomics","1471-2164","NA"
2013,"1,451.80","10.1186/1471-2121-14-55","Springer Science + Business Media","BMC Cell Biology","1471-2121","NA"
2013,"1,494.64","10.1186/1471-2148-13-25","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA"
2013,"1,447.04","10.1186/1471-2164-14-753","Springer Science + Business Media","BMC Genomics","1471-2164","NA"
2013,"1,451.80","10.1186/1472-6785-13-41","Springer Science + Business Media","BMC Ecol","1472-6785","NA"
2013,"1,182.44","10.1186/1471-2105-14-S18-S4","Springer Science + Business Media","BMC Bioinformatics","1471-2105","NA"
2013,"1,542.24","10.1186/1471-2148-13-159","Springer Science + Business Media","BMC Evol Biol","1471-2148","NA"
2013,642.60,"10.1186/1687-1812-2013-301","Springer Science + Business Media","Fixed Point Theory Appl","1687-1812","NA"
2013,"1,285.20","10.1186/1752-1505-7-11","Springer Science + Business Media","Conflict and Health","1752-1505","NA"
2013,"1,542.24","10.1186/1471-2458-13-417","Springer Science + Business Media","BMC Public Health","1471-2458","NA"
2013,"1,232.84","10.1186/1747-597X-8-14","Springer Science + Business Media","Subst Abuse Treat Prev Policy","1747-597X","NA"
2013,"1,280.44","10.1186/1752-1505-7-6","Springer Science + Business Media","Conflict and Health","1752-1505","NA"
2013,"1,270.92","10.1186/1752-1505-7-9","Springer Science + Business Media","Conflict and Health","1752-1505","NA"
2013,"1,451.80","10.1186/1471-2431-13-19","Springer Science + Business Media","BMC Pediatrics","1471-2431","NA"
2013,"1,542.24","10.1186/1471-2458-13-461","Springer Science + Business Media","BMC Public Health","1471-2458","NA"
2013,"1,466.08","10.1186/1471-2458-13-813","Springer Science + Business Media","BMC Public Health","1471-2458","NA"
2013,"1,186.84","10.1371/journal.pone.0079594","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,256.62","10.1371/journal.pone.0069376","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,166.83","10.1371/journal.pone.0080913","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,210.44","10.1371/journal.pone.0083452","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,243.91","10.1371/journal.pone.0066400","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,257.01","10.1371/journal.pone.0056905","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,240.37","10.1371/journal.pone.0068996","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,204.82","10.1371/journal.pone.0084475","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,206.22","10.1371/journal.pone.0084373","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,258.34","10.1371/journal.pone.0069996","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,257.01","10.1371/journal.pone.0057446","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,212.30","10.1371/journal.pone.0077705","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,249.15","10.1371/journal.pone.0071824","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA"
2013,"1,904.00","10.3389/fnbeh.2013.00166","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA"
2013,"1,142.40","10.3389/fpsyg.2013.00225","Frontiers Media SA","Front. Psychology","1664-1078","NA"
2013,"1,904.00","10.3389/fpsyg.2013.00545","Frontiers Media SA","Front. Psychology","1664-1078","NA"
2013,"1,904.00","10.3389/fpsyg.2013.00147","Frontiers Media SA","Front. Psychology","1664-1078","NA"
2013,"1,924.00","10.3389/fpsyg.2013.00133","Frontiers Media SA","Front. Psychology","1664-1078","NA"
2013,"1,142.40","10.3389/fpsyg.2012.00597","Frontiers Media SA","Front. Psychology","1664-1078","NA"
2013,"1,924.00","10.3389/fpsyg.2013.00442","Frontiers Media SA","Front. Psychology","1664-1078","NA"
2013,"1,924.00","10.3389/fpsyg.2013.00561","Frontiers Media SA","Front. Psychology","1664-1078","NA"
2013,"1,696.83","10.1364/OE.21.006764","Optical Society of America (OSA)","Opt. Express","1094-4087","NA"
2013,919.95,"10.1364/OE.21.001574","Optical Society of America (OSA)","Opt. Express","1094-4087","NA"
2013,"1,559.15","10.1364/OE.21.004311","Optical Society of America (OSA)","Opt. Express","1094-4087","NA"
2013,523.60,"10.3897/neobiota.16.4351","Pensoft Publishers","NEOBIOTA","1314-2488","1619-0033"
2013,"1,225.70","10.1093/gbe/evt104","Oxford University Press (OUP)","Genome Biology and Evolution","1759-6653","NA"
2013,385.39,"10.4236/ojapo.2013.23004","Scientific Research Publishing, Inc,","OJApo","2168-3832","2168-3840"
2013,"1,803.74","10.1534/g3.112.003897","Genetics Society of America","G3&#58; Genes|Genomes|Genetics","2160-1836","NA"
2013,499.13,"10.4056/sigs.3847890","The Genomic Standards Consortium","Stand. Genomic Sci.","1944-3277","NA"
2013,"1,178.10","10.1088/1367-2630/15/2/023043","IOP Publishing","New J. Phys.","1367-2630","NA"
2013,460.01,"10.1155/2013/760983","Hindawi Publishing Corporation","ISRN High Energy Physics","2090-7427","NA"
2013,"1,244.74","10.1038/srep01072","Nature Publishing Group","Scientific Reports","2045-2322","NA"
2013,928.20,"10.3402/ejpt.v4i0.21329","Co-Action Publishing","European Journal of Psychotraumatology","2000-8198","2000-818X"
2013,385.39,"10.4236/ojml.2014.41002","Scientific Research Publishing, Inc,","Open Journal of Modern Linguistics","2164-2818","2164-2834"
