pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
1;Universität Kassel;Construction Robotics;2509-8780;10.1007/s41693-022-00067-2;https://doi.org/10.1007/s41693-022-00067-2;25.03.2022;25.02.2022;2750;originalpaper;Research Article;optin
2;Universität Kassel;Computational Mechanics;1432-0924;10.1007/s00466-022-02225-3;https://doi.org/10.1007/s00466-022-02225-3;21.09.2022;16.08.2022;2750;originalpaper;Research Article;optin
3;Universität Kassel;Journal of Elasticity;1573-2681;10.1007/s10659-021-09873-1;https://doi.org/10.1007/s10659-021-09873-1;03.01.2022;09.12.2021;2750;briefcommunication;Research Article;optin
4;Universität Kassel;Shape Memory and Superelasticity;2199-3858;10.1007/s40830-022-00400-2;https://doi.org/10.1007/s40830-022-00400-2;30.11.2022;24.10.2022;2750;reviewpaper;Research Article;optin
5;Universität Kassel;Organisationsberatung, Supervision, Coaching;1862-2577;10.1007/s11613-021-00750-3;https://doi.org/10.1007/s11613-021-00750-3;05.01.2022;;917;editorialnotes;Non Research Article;optin
6;Universität Kassel;Multimedia Tools and Applications;1573-7721;10.1007/s11042-022-12368-3;https://doi.org/10.1007/s11042-022-12368-3;21.04.2022;18.01.2022;2750;originalpaper;Research Article;optin
7;Universität Kassel;Nonlinear Dynamics;1573-269X;10.1007/s11071-022-07407-5;https://doi.org/10.1007/s11071-022-07407-5;29.04.2022;25.03.2022;2750;originalpaper;Research Article;optin
8;Universität Kassel;Multimedia Tools and Applications;1573-7721;10.1007/s11042-022-13779-y;https://doi.org/10.1007/s11042-022-13779-y;30.09.2022;05.09.2022;2750;originalpaper;Research Article;optin
9;Universität Kassel;Microsystem Technologies;1432-1858;10.1007/s00542-022-05361-1;https://doi.org/10.1007/s00542-022-05361-1;20.08.2022;03.08.2022;2750;originalpaper;Research Article;optin
10;Universität Kassel;Metallurgical and Materials Transactions A;1543-1940;10.1007/s11661-022-06827-7;https://doi.org/10.1007/s11661-022-06827-7;04.10.2022;10.09.2022;2750;briefcommunication;Research Article;optin
11;Universität Kassel;Information Systems Frontiers;1572-9419;10.1007/s10796-021-10237-2;https://doi.org/10.1007/s10796-021-10237-2;22.01.2022;22.12.2021;2750;originalpaper;Research Article;optin
12;Universität Kassel;Scientometrics;1588-2861;10.1007/s11192-021-04216-2;https://doi.org/10.1007/s11192-021-04216-2;11.01.2022;16.11.2021;2750;originalpaper;Research Article;optin
13;Universität Kassel;Zeitschrift für Arbeitswissenschaft;2366-4681;10.1007/s41449-022-00299-6;https://doi.org/10.1007/s41449-022-00299-6;24.01.2022;01.09.2021;2750;originalpaper;Research Article;optin
14;Universität Kassel;Zeitschrift für Arbeitswissenschaft;2366-4681;10.1007/s41449-022-00320-y;https://doi.org/10.1007/s41449-022-00320-y;10.06.2022;25.05.2022;917;editorialnotes;Non Research Article;optin
15;Universität Kassel;Current Psychology;1936-4733;10.1007/s12144-022-03237-1;https://doi.org/10.1007/s12144-022-03237-1;14.06.2022;15.05.2022;2750;originalpaper;Research Article;optin
16;Universität Kassel;Journal of Marketing Analytics;2050-3326;10.1057/s41270-022-00202-6;https://doi.org/10.1057/s41270-022-00202-6;05.12.2022;19.11.2022;2750;originalpaper;Research Article;optin
17;Universität Kassel;Organisationsberatung, Supervision, Coaching;1862-2577;10.1007/s11613-022-00776-1;https://doi.org/10.1007/s11613-022-00776-1;26.07.2022;09.07.2022;917;editorialnotes;Non Research Article;optin
18;Universität Kassel;Agroforestry Systems;1572-9680;10.1007/s10457-022-00771-6;https://doi.org/10.1007/s10457-022-00771-6;10.10.2022;22.09.2022;2750;originalpaper;Research Article;optin
19;Universität Kassel;Applicable Algebra in Engineering, Communication and Computing;1432-0622;10.1007/s00200-022-00569-0;https://doi.org/10.1007/s00200-022-00569-0;25.06.2022;17.05.2022;2750;originalpaper;Research Article;optin
20;Universität Kassel;Contemporary political theory;1476-9336;10.1057/s41296-022-00598-x;https://doi.org/10.1057/s41296-022-00598-x;07.11.2022;18.10.2022;917;bookreview;Non Research Article;optin
21;Universität Kassel;Learning Environments Research;1573-1855;10.1007/s10984-022-09437-7;https://doi.org/10.1007/s10984-022-09437-7;21.11.2022;28.10.2022;2750;originalpaper;Research Article;optin
22;Universität Kassel;Journal für Mathematik-Didaktik;1869-2699;10.1007/s13138-022-00216-8;https://doi.org/10.1007/s13138-022-00216-8;02.12.2022;03.11.2022;2750;originalpaper;Research Article;optin
23;Universität Kassel;Organisationsberatung, Supervision, Coaching;1862-2577;10.1007/s11613-022-00757-4;https://doi.org/10.1007/s11613-022-00757-4;18.03.2022;17.02.2022;2750;originalpaper;Research Article;optin
24;Universität Kassel;Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO);2366-6218;10.1007/s11612-021-00616-3;https://doi.org/10.1007/s11612-021-00616-3;24.01.2022;09.12.2021;2750;originalpaper;Research Article;optin
25;Universität Kassel;Computer Supported Cooperative Work (CSCW);1573-7551;10.1007/s10606-021-09420-5;https://doi.org/10.1007/s10606-021-09420-5;12.01.2022;07.11.2021;2750;originalpaper;Research Article;optin
26;Universität Kassel;Organisationsberatung, Supervision, Coaching;1862-2577;10.1007/s11613-022-00795-y;https://doi.org/10.1007/s11613-022-00795-y;17.11.2022;09.09.2022;2750;originalpaper;Research Article;optin
27;Universität Kassel;Welding in the World;1878-6669;10.1007/s40194-022-01412-3;https://doi.org/10.1007/s40194-022-01412-3;16.11.2022;08.11.2022;2750;originalpaper;Research Article;optin
28;Universität Kassel;Zeitschrift für Psychodrama und Soziometrie;1862-2526;10.1007/s11620-022-00672-x;https://doi.org/10.1007/s11620-022-00672-x;27.06.2022;24.05.2022;2750;originalpaper;Research Article;optin
29;Universität Kassel;Food Security;1876-4525;10.1007/s12571-022-01259-y;https://doi.org/10.1007/s12571-022-01259-y;22.03.2022;12.01.2022;2750;originalpaper;Research Article;optin
30;Universität Kassel;Organisationsberatung, Supervision, Coaching;1862-2577;10.1007/s11613-022-00778-z;https://doi.org/10.1007/s11613-022-00778-z;01.08.2022;14.07.2022;917;bookreview;Non Research Article;optin
31;Universität Kassel;Welding in the World;1878-6669;10.1007/s40194-022-01398-y;https://doi.org/10.1007/s40194-022-01398-y;26.10.2022;11.10.2022;2750;originalpaper;Research Article;optin
32;Universität Kassel;Journal of Plant Diseases and Protection;1861-3837;10.1007/s41348-022-00646-z;https://doi.org/10.1007/s41348-022-00646-z;09.08.2022;26.06.2022;2750;originalpaper;Research Article;optin
33;Universität Kassel;Journal für Mathematik-Didaktik;1869-2699;10.1007/s13138-022-00206-w;https://doi.org/10.1007/s13138-022-00206-w;12.05.2022;19.04.2022;2750;originalpaper;Research Article;optin
34;Universität Kassel;Operations Management Research;1936-9743;10.1007/s12063-022-00275-7;https://doi.org/10.1007/s12063-022-00275-7;01.06.2022;28.04.2022;2750;originalpaper;Research Article;optin
35;Universität Kassel;Organisationsberatung, Supervision, Coaching;1862-2577;10.1007/s11613-022-00779-y;https://doi.org/10.1007/s11613-022-00779-y;01.08.2022;14.07.2022;917;bookreview;Non Research Article;optin
36;Universität Kassel;Annals of Mathematics and Artificial Intelligence;1573-7470;10.1007/s10472-022-09790-6;https://doi.org/10.1007/s10472-022-09790-6;20.04.2022;24.02.2022;2750;originalpaper;Research Article;optin
37;Universität Kassel;Organisationsberatung, Supervision, Coaching;1862-2577;10.1007/s11613-022-00798-9;https://doi.org/10.1007/s11613-022-00798-9;05.12.2022;10.10.2022;2750;originalpaper;Research Article;optin
38;Universität Kassel;Sozial Extra;1863-8953;10.1007/s12054-022-00531-x;https://doi.org/10.1007/s12054-022-00531-x;06.12.2022;25.10.2022;2750;originalpaper;Research Article;optin
39;Universität Kassel;Organisationsberatung, Supervision, Coaching;1862-2577;10.1007/s11613-022-00768-1;https://doi.org/10.1007/s11613-022-00768-1;27.06.2022;30.06.2022;2750;originalpaper;Research Article;optin
40;Universität Kassel;Plant and Soil;1573-5036;10.1007/s11104-021-05292-2;https://doi.org/10.1007/s11104-021-05292-2;01.03.2022;26.12.2021;2750;originalpaper;Research Article;optin
