institution;period;euro;doi;is_hybrid
Universität Hohenheim;2023;1942.08;10.1111/gcbb.13035;FALSE
Universität Hohenheim;2023;1942.08;10.1111/gcbb.13033;FALSE
Universität Hohenheim;2023;1713.60;10.1002/pei3.10094;FALSE
Universität Hohenheim;2023;1713.60;10.1002/ece3.10081;FALSE
Universität Hohenheim;2023;1475.60;10.1002/ecs2.4476;FALSE
Universität Hohenheim;2023;1827.84;10.1002/ece3.10524;FALSE
Universität Hohenheim;2023;1666.00;10.1111/1758-2229.13184;FALSE
Universität Hohenheim;2023;1462.51;10.1002/ece3.10468;FALSE
Universität Hohenheim;2023;2427.60;10.1111/1758-2229.13198;FALSE
Universität Hohenheim;2023;1660.05;10.1002/pld3.519;FALSE
Universität Hohenheim;2023;1942.08;10.1111/gcbb.13099;FALSE
Universität Hohenheim;2023;1942.08;10.1111/gcbb.13071;FALSE
