Institution;period;euro;doi;backlist_oa;publisher;book_title;isbn;isbn_print;isbn_electronic;license_ref;indexed_in_crossref;doab
Technische Universität Berlin;2019;2.340,00; 10.31244/9783830991793;FALSE;Waxmann;Hybrid environments for universities. A shared commitment to campus innovation and sustainability;;978-3-8309-4179-8;978-3-8309-9179-3;https://creativecommons.org/licenses/by-nc-nd/4.0/;;TRUE
Technische Universität Berlin;2019;7.500,00;10.14361/9783839451977;FALSE;transcript;Mikro-Utopien der Architektur. Das utopische Moment architektonischer Minimaltechniken;;978-3-8376-5197-3;978-3-8394-5197-7;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2019;7.500,00;10.4324/9780367333317;FALSE;Routledge;Re-thinking Mobility Poverty. Understanding Users’ Geographies, Backgrounds and Aptitudes;;978-0-367-33330-0;978-0-367-33331-7;https://creativecommons.org/licenses/by-nc-nd/4.0/;;TRUE
Technische Universität Berlin;2020;7.140,00;10.14361/9783839454022;FALSE;transcript;Am Ende der Globalisierung. Über die Refiguration von Räumen;;978-3-8376-5402-8;978-3-8394-5402-2;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2020;7.500,00;10.14361/9783839455029;FALSE;transcript;Monospace and Multiverse. Exploring Space with Actor-Network-Theory;;978-3-8376-5502-5;978-3-8394-5502-9;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2020;7.500,00;10.1007/978-3-658-33246-4;FALSE;Springer Gabler;Accounting and Statistical Analyses for Sustainable Development. Multiple Perspectives and Information-Theoretic Complexity Reduction;;978-3-658-33245-7;978-3-658-33246-4;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2020;5.355,00;10.1007/978-3-658-33039-2;FALSE;Springer VS;Berufliche Orientierung zwischen Heterogenität und Individualisierung. Beschreibung, Messung und Konsequenzen zur individuellen Förderung in Schule;;978-3-658-33038-5;978-3-658-33039-2;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2020;5.081,30;10.5771/9783748921172;FALSE;Nomos;Unterbringung von Flüchtenden in Deutschland. Inklusion, Exklusion, Partizipation?;;978-3-8487-7721-1;978-3-7489-2117-2;https://creativecommons.org/licenses/by/4.0/;;FALSE
Technische Universität Berlin;2020;7.140,00;10.14361/9783839459263;FALSE;transcript;Kinästhetische Interferenzen. Körpertechnik und Tanznotation im Entwurfsprozess architektonischer Räume;;978-3-8376-5926-9;978-3-8394-5926-3;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2020;5.950,00;10.14361/9783839457795;FALSE;transcript;Denkmalpflege zwischen System und Gesellschaft. Vielfalt denkmalpflegerischer Prozesse in der DDR (1952-1975);;978-3-8376-5779-1;978-3-8394-5779-5;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2020;7.259,00;10.14361/9783839455081;FALSE;transcript;Affektdramaturgien im Fußballsport. Die Entzauberung kollektiver Emotionen aus wissenssoziologischer Perspektive;;978-3-8376-5508-7;978-3-8394-5508-1;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2020;6.902,00;10.14361/9783839455876;FALSE;transcript;Thinking of Space Relationally. Critical Realism Beyond Relativism – A Manifold Study of the Artworld in Beijing;;978-3-8376-5587-2;978-3-8394-5587-6;https://creativecommons.org/licenses/by-sa/4.0/;;TRUE
Technische Universität Berlin;2020;11.368,50;10.4324/9780429058097;FALSE;Routledge;Family Business and Regional Development;;978-0-367-17861-1;978-0-429-05809-7;https://creativecommons.org/licenses/by-nc-nd/4.0/;;TRUE
Technische Universität Berlin;2020;11.832,00;10.1007/978-3-658-32106-2;FALSE;Springer VS;Öffentliche Mobilität. Voraussetzungen für eine menschengerechte Verkehrsplanung;;978-3-658-32105-5;978-3-658-32106-2;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2020;7.500,00;10.14198/pua.2020.meccon;FALSE;Universidad de Alicante;Principios y aplicaciones de la mecánica de contacto en tribología, fricción y adherencia;;;;https://creativecommons.org/licenses/by-nc-nd/4.0/;;FALSE
Technische Universität Berlin;2020;7.140,00;10.14361/9783839454299;FALSE;transcript;Hoffnung auf eine bessere Vergangenheit. Kollektivierungsdiskurse und ihre Codes der Verräumlichung;;978-3-8376-5429-5;978-3-8394-5429-9;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2020;7.380,00;10.53171/978-3-9820586-7-2;FALSE;Urbanophil;Der Streitwert der Denkmale;;978-3-9820586-5-8;978-3-9820586-7-2;https://creativecommons.org/licenses/by/4.0/;;FALSE
Technische Universität Berlin;2020;7.500,00;10.4324/9780429328732;FALSE;Routledge; Criminal Futures. Predictive Policing and Everyday Police Work;;978-0-367-34926-4;978-0-429-32873-2;https://creativecommons.org/licenses/by-nc-nd/4.0/;;TRUE
Technische Universität Berlin;2020;7.480,00;10.53171/978-3-9820586-6-5;FALSE;Urbanophil;Denkmalwelten und Erbediskurse;;978-3-9820586-4-1;978-3-9820586-6-5;https://creativecommons.org/licenses/by/4.0/;;FALSE
Technische Universität Berlin;2020;7.326,74;10.14279/depositonce-10350;FALSE;Universitätsverlag der TU Berlin;Mind the Fungi;;978-3-7983-3168-6;978-3-7983-3169-3;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2020;7.497,00;10.1007/978-3-030-70884-9;FALSE;Springer;Introduction to Central Banking;;978-3-030-70883-2;978-3-030-70884-9;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2020;866,67;10.1007/978-3-030-66661-3;FALSE;Springer;Market Engineering. Insights from Two Decades of Research on Markets and Information;;978-3-030-66660-6;978-3-030-66661-3;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2020;6.991,25;10.14361/9783839458921;FALSE;transcript;Ikonische Kohärenz. Vom Erben des Kankurang in Senegal und Gambia;;978-3-8376-5892-7;978-3-8394-5892-1;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2021;4.318,50;10.14361/9783839461532;FALSE;transcript;Die Materialität der Märkte. Qualität, Bewertung und Organisation im deutschen Obst- und Gemüsehandel;;978-3-8376-6153-8;978-3-8394-6153-2;https://creativecommons.org/licenses/by/4.0/;;FALSE
Technische Universität Berlin;2021;6.902,00;10.14361/9783839458679;FALSE;transcript;Working Misunderstandings. An Ethnography of Project Collaboration in a Multinational Corporation in India;;978-3-8376-5867-5;978-3-8394-5867-9;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische Universität Berlin;2021;1.728,01;10.2370/9783844083002;FALSE;Shaker;Operation control of islanded microgrids;;978-3-8440-8233-3;978-3-8440-8300-2;https://creativecommons.org/licenses/by/4.0/;;FALSE
Technische Universität Berlin;2021;5.355,00;10.1007/978-3-658-36704-6;FALSE;Springer VS;Wissenschaft kommuniziert. Eine wissenssoziologische Gattungsanalyse des akademischen Group-Talks am Beispiel der Computational Neuroscience;;978-3-658-36703-9;978-3-658-36704-6;https://creativecommons.org/licenses/by/4.0/;;TRUE
