institution,period,euro,DOI,is_hybrid,publisher,journal_full_title,license_ref
TU Berlin,2022,1071.00,10.17645/up.v7i1.4781,,Cogitatio,Urban Planning,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1132.88,10.1515/anona-2022-0223,,De Gruyter,Advances in nonlinear analysis,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,714.00,10.5194/ejm-34-7-2022,,Copernicus,European Journal of Mineralogy,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2108.10,10.3389/fpsyg.2021.787449,,Frontiers,Frontiers in Psychology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2108.10,10.3389/fncom.2021.800101,,Frontiers,Frontiers in Computational Neuroscience,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2108.10,10.3389/fenvs.2021.716968,,Frontiers,Frontiers in Environmental Science,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1937.57,10.1109/ACCESS.2022.3150874,,Institute of Electrical and Electronics Engineers (IEEE),IEEE Access,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2108.10,10.3389/fchem.2022.768426,,Frontiers,Frontiers in Chemistry,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2108.10,10.3389/fpsyg.2022.775165,,Frontiers,Frontiers in Psychology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2108.10,10.3389/fnhum.2022.818770,,Frontiers,Frontiers in Human Neuroscience,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2108.10,10.3389/fncom.2022.825865,,Frontiers,Frontiers in Computational Neuroscience,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1552.95,10.1016/j.resenv.2022.100049,,Elsevier,Resources. Environment and Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,758.63,10.1039/d1ra09294d,,Royal Society of Chemistry (RSC),RSC Advances,https://creativecommons.org/licenses/by-nc/3.0/
TU Berlin,2022,1992.06,10.5194/hess-26-1111-2022,,Copernicus,Hydrology and Earth System Sciences (HESS),https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1558.90,10.1016/j.urbmob.2022.100018,,Elsevier,Journal of urban mobility,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1183.09,10.3389/fceng.2022.812140,,Frontiers,Frontiers in Chemical Engineering,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2187.48,10.3389/fpsyg.2022.836157,,Frontiers,Frontiers in Psychology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2187.48,10.3389/fmats.2022.844268,,Frontiers,Frontiers in Materials,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2151.90,10.3389/fpsyg.2022.860219,,Frontiers,Frontiers in Psychology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2151.90,10.3389/fbioe.2022.866275,,Frontiers,Frontiers in Bioengineering and Biotechnology,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,2035.33,10.1109/ACCESS.2022.3167424,,Institute of Electrical and Electronics Engineers (IEEE),IEEE Access,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1834.90,10.3390/su14052771,,MDPI,Sustainability,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1931.47,10.3390/foods11040534,,MDPI,Foods,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1931.47,10.3390/en15041322,,MDPI,Energies,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1824.16,10.3390/en15041279,,MDPI,Energies,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,965.73,10.3390/insects13020166,,MDPI,Insects,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1888.54,10.3390/en15041338,,MDPI,Energies,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,751.13,10.3390/axioms11030089,,MDPI,Axioms,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1931.47,10.3390/electronics11040622,,MDPI,Electronics,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1545.18,10.3390/sym14020390,,MDPI,Symmetry,https://creativecommons.org/licenses/by/4.0/
TU Berlin,2022,1881.39,10.5194/bg-19-1795-2022,,Copernicus,Biogeosciences,https://creativecommons.org/licenses/by/4.0/
