institution,period,euro,doi,is_hybrid,colour charge,cover charge,page charge,permission,reprint,submission fee,payment fee,other
DLR,2023,2080.0,10.1002/admi.202300036,False,,,,,,,,
DLR,2023,2000.0,10.1002/adpr.202300163,False,,,,,,,,
DLR,2023,1680.0,10.1002/celc.202300583,False,,,,,,,,
DLR,2023,1544.0,10.1002/ese3.1536,False,,,,,,,,
DLR,2023,2690.0,10.1016/j.actaastro.2023.06.034,True,,,,,,,,
DLR,2023,3520.0,10.1016/j.apenergy.2023.121247,True,,,,,,,,
DLR,2023,3780.0,10.1016/j.apenergy.2023.121933,True,,,,,,,,
DLR,2023,2470.0,10.1016/j.apgeog.2022.102866,True,,,,,,,,
DLR,2023,2370.0,10.1016/j.asr.2023.09.021,True,,,,,,,,
DLR,2023,3750.0,10.1016/j.ast.2023.108231,True,,,,,,,,
DLR,2023,2480.0,10.1016/j.atmosenv.2023.119968,True,,,,,,,,
DLR,2023,3810.0,10.1016/j.cej.2023.146486,True,,,,,,,,
DLR,2023,3380.0,10.1016/j.compfluid.2023.105833,False,,,,,,,,
DLR,2023,2390.0,10.1016/j.ekir.2023.08.036,False,,,,,,,,
DLR,2023,3510.0,10.1016/j.envsci.2023.103553,True,,,,,,,,
DLR,2023,2720.0,10.1016/j.esr.2023.101156,False,,,,,,,,
DLR,2023,1740.0,10.1016/j.heliyon.2023.e19694,False,,,,,,,,
DLR,2023,2080.0,10.1016/j.ijdrr.2023.103893,True,,,,,,,,
DLR,2023,2660.0,10.1016/j.ijhydene.2023.04.058,True,,,,,,,,
DLR,2023,2520.0,10.1016/j.isprsjprs.2022.12.008,True,,,,,,,,
DLR,2023,2520.0,10.1016/j.isprsjprs.2022.12.011,True,,,,,,,,
DLR,2023,3020.0,10.1016/j.isprsjprs.2023.09.013,True,,,,,,,,
DLR,2023,1470.0,10.1016/j.jag.2022.103165,False,,,,,,,,
DLR,2023,2100.0,10.1016/j.jag.2023.103191,False,,,,,,,,
DLR,2023,2100.0,10.1016/j.jag.2023.103212,False,,,,,,,,
DLR,2023,2190.0,10.1016/j.jag.2023.103378,False,,,,,,,,
DLR,2023,2190.0,10.1016/j.jastp.2023.106069,True,,,,,,,,
DLR,2023,1640.0,10.1016/j.jcomc.2023.100364,False,,,,,,,,
DLR,2023,2510.0,10.1016/j.jechem.2023.07.030,True,,,,,,,,
DLR,2023,910.0,10.1016/j.jesf.2023.10.003,False,,,,,,,,
DLR,2023,3560.0,10.1016/j.jeurceramsoc.2023.04.062,True,,,,,,,,
DLR,2023,1190.0,10.1016/j.jmrt.2023.03.080,True,,,,,,,,
DLR,2023,2660.0,10.1016/j.jnnfm.2023.105133,True,,,,,,,,
DLR,2023,3490.0,10.1016/j.jpowsour.2023.232669,True,,,,,,,,
DLR,2023,2350.0,10.1016/j.jrtpm.2023.100417,True,,,,,,,,
DLR,2023,2230.0,10.1016/j.jsse.2023.07.004,True,525.46,,,,,,,
DLR,2023,490.0,10.1016/j.jsv.2023.117926,True,490.0,,,,,,,
DLR,2023,2010.0,10.1016/j.lssr.2023.04.002,True,,,,,,,,
DLR,2023,2550.0,10.1016/j.matdes.2023.112154,False,,,,,,,,
DLR,2023,3880.0,10.1016/j.mtphys.2023.101244,True,,,,,,,,
DLR,2023,3860.0,10.1016/j.ndteint.2023.102885,True,,,,,,,,
DLR,2023,3920.0,10.1016/j.paerosci.2023.100887,True,,,,,,,,
DLR,2023,2300.0,10.1016/j.physa.2023.128473,True,,,,,,,,
DLR,2023,3380.0,10.1016/j.renene.2023.118995,False,,,,,,,,
DLR,2023,2570.0,10.1016/j.robot.2023.104367,False,,,,,,,,
DLR,2023,3710.0,10.1016/j.rse.2023.113632,True,,,,,,,,
DLR,2023,660.0,10.1016/j.softx.2023.101322,False,,,,,,,,
DLR,2023,2890.0,10.1016/j.solener.2022.12.016,True,,,,,,,,
DLR,2023,2890.0,10.1016/j.solener.2023.03.055,True,,,,,,,,
DLR,2023,2890.0,10.1016/j.solener.2023.05.008,True,,,,,,,,
DLR,2023,3010.0,10.1016/j.solener.2023.111954,True,,,,,,,,
DLR,2023,3450.0,10.1016/j.tca.2023.179552,True,,,,,,,,
DLR,2023,1110.0,10.1016/j.trip.2023.100805,False,,,,,,,,
DLR,2023,1210.0,10.1016/j.trip.2023.100921,False,,,,,,,,
DLR,2023,2580.0,10.1016/j.uclim.2023.101522,True,,,,,,,,
DLR,2023,1960.0,10.1029/2022gl102296,False,,,,,,,,
DLR,2023,1866.0,10.1029/2022sw003378,False,,,,,,,,
DLR,2023,1960.0,10.1029/2023gl102975,False,,,,,,,,
DLR,2023,1960.0,10.1029/2023gl103537,True,,,,,,,,
DLR,2023,1960.0,10.1029/2023gl104357,True,,,,,,,,
