"institution";"period";"euro";"doi";"backlist_oa";"book_title"
"Leibniz-Fonds";2019;10710;"10.1515/9783110604856";"FALSE";"Die Graphematik der Morpheme im Deutschen und Englischen"
"Leibniz-Fonds";2019;7348.25;"10.11588/arthistoricum.394";"FALSE";"Gekauft - Getauscht - Geraubt? Erwerbungen des Germanischen Nationalmuseums zwischen 1933 und 1945 : Weitere Ergebnisse der Provenienzforschung"
"Leibniz-Fonds";2019;5000;"10.14361/9783839449882";"FALSE";"Normativität und Wertneutralität : Grundlegung zu einer Wissenschaftssoziologie der Soziologie"
"Leibniz-Fonds";2019;2975;"10.14361/9783839448366";"FALSE";"Protest twittern : Eine medienlinguistische Untersuchung von Straßenprotesten"
"Leibniz-Fonds";2020;8401.4;"10.15463/ifz-2019-1";"FALSE";"Political and Transitional Justice in Germany, Poland and the Soviet Union from the 1930s to the 1950s"
"Leibniz-Fonds";2020;802.42;"10.3224/86388818";"FALSE";"Armutsrisiko alleinerziehend : Die Bedeutung von sozialer Komposition und institutionellem Kontext in Deutschland"
"Leibniz-Fonds";2019;3300;"10.13109/9783666370847";"FALSE";"In the Cause of Humanity : Eine Geschichte der humanitären Intervention im langen 19. Jahrhundert"
"Leibniz-Fonds";2021;9520;"10.5680/mcpb001";"FALSE";"Methods in cattle physiology and behaviour research : Recommendations from the SmartCow consortium"
"Leibniz-Fonds";2020;7140;"10.1007/978-3-662-61454-9";"FALSE";"Evidenzbasierter Fledermausschutz in Windkraftvorhaben"
"Leibniz-Fonds";2020;4760;"10.2357/9783823392439";"FALSE";"Discomposition redressed : Hidden Change, Modality, and Comparison in German"
"Leibniz-Fonds";2020;4760;"10.2357/9783823393610";"FALSE";"POS-Tagging für Transkripte gesprochener Sprache : Entwicklung einer automatisierten Wortarten-Annotation am Beispiel des Forschungs- und Lehrkorpus Gesprochenes Deutsch (FOLK)"
