institution;period;euro;doi;is_hybrid;;;;;
Universität Stuttgart;2011;960;10.1186/1475-2859-10-29;FALSE;;;;;
Universität Stuttgart;2011;108,18;10.1107/S1600536811014498;FALSE;;;;;
Universität Stuttgart;2011;500;10.1186/1687-4153-2011-2;FALSE;;;;;
Universität Stuttgart;2011;500;10.1186/1687-4153-2011-3;FALSE;;;;;
Universität Stuttgart;2011;1028;10.1186/1752-0509-5-66;FALSE;;;;;
Universität Stuttgart;2011;972;10.1371/journal.pone.0014790;FALSE;;;;;
Universität Stuttgart;2011;1052;10.1186/1471-2105-12-125;FALSE;;;;;
Universität Stuttgart;2011;104,85;10.1107/S1600536811023105;FALSE;;;;;
Universität Stuttgart;2011;550;10.1155/2011/953064;FALSE;;;;;
Universität Stuttgart;2011;1323,93;10.1364/OE.19.021673;FALSE;;;;;
Universität Stuttgart;2011;1273,34;10.1364/OE.19.022156;FALSE;;;;;
Universität Stuttgart;2011;640;10.1186/2190-4715-23-36;FALSE;;;;;
Universität Stuttgart;2011;799,13;10.1088/1367-2630/13/9/093040;FALSE;;;;;
Universität Stuttgart;2011;1323,56;10.1364/OE.19.024354;FALSE;;;;;
Universität Stuttgart;2011;149,77;10.1107/S1600536811046976;FALSE;;;;;
Universität Stuttgart;2011;152,45;10.1107/S1600536811048227;FALSE;;;;;
Universität Stuttgart;2011;948;10.1186/1475-2859-10-83;FALSE;;;;;
