pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
1;Humboldt-Universität zu Berlin;Jindal Global Law Review;2364-4869;10.1007/s41020-022-00176-7;https://doi.org/10.1007/s41020-022-00176-7;06.12.2022;07.11.2022;2750;originalpaper;Research Article;optin
2;Humboldt-Universität zu Berlin;Statistical Inference for Stochastic Processes;1572-9311;10.1007/s11203-021-09264-2;https://doi.org/10.1007/s11203-021-09264-2;08.01.2022;13.09.2021;2750;originalpaper;Research Article;optin
3;Humboldt-Universität zu Berlin;Behavior Research Methods;1554-3528;10.3758/s13428-022-01969-3;https://doi.org/10.3758/s13428-022-01969-3;17.11.2022;29.08.2022;2750;originalpaper;Research Article;optin
4;Humboldt-Universität zu Berlin;Journal of Computers in Education;2197-9995;10.1007/s40692-022-00254-8;https://doi.org/10.1007/s40692-022-00254-8;24.12.2022;04.12.2022;2750;originalpaper;Research Article;optin
5;Humboldt-Universität zu Berlin;Numerische Mathematik;0945-3245;10.1007/s00211-022-01296-x;https://doi.org/10.1007/s00211-022-01296-x;20.06.2022;10.05.2022;2750;originalpaper;Research Article;optin
6;Humboldt-Universität zu Berlin;Behavior Research Methods;1554-3528;10.3758/s13428-021-01773-5;https://doi.org/10.3758/s13428-021-01773-5;10.03.2022;14.12.2021;2750;originalpaper;Research Article;optin
7;Humboldt-Universität zu Berlin;Applied Psychophysiology and Biofeedback;1573-3270;10.1007/s10484-022-09548-0;https://doi.org/10.1007/s10484-022-09548-0;01.06.2022;04.05.2022;2750;originalpaper;Research Article;optin
8;Humboldt-Universität zu Berlin;Memory & Cognition;1532-5946;10.3758/s13421-022-01277-3;https://doi.org/10.3758/s13421-022-01277-3;08.03.2022;13.01.2022;2750;originalpaper;Research Article;optin
9;Humboldt-Universität zu Berlin;Journal of Cultural Cognitive Science;2520-1018;10.1007/s41809-022-00097-w;https://doi.org/10.1007/s41809-022-00097-w;05.03.2022;16.02.2022;2750;originalpaper;Research Article;optin
10;Humboldt-Universität zu Berlin;BioSpektrum;1868-6249;10.1007/s12268-022-1843-1;https://doi.org/10.1007/s12268-022-1843-1;11.10.2022;;917;bookreview;Non Research Article;optin
11;Humboldt-Universität zu Berlin;Neue Politische Literatur;2197-6082;10.1007/s42520-022-00434-x;https://doi.org/10.1007/s42520-022-00434-x;12.05.2022;26.04.2022;917;bookreview;Non Research Article;optin
12;Humboldt-Universität zu Berlin;Brain Structure and Function;1863-2661;10.1007/s00429-022-02603-w;https://doi.org/10.1007/s00429-022-02603-w;22.12.2022;08.12.2022;2750;reviewpaper;Research Article;optin
13;Humboldt-Universität zu Berlin;Jus Cogens;2524-3985;10.1007/s42439-021-00051-4;https://doi.org/10.1007/s42439-021-00051-4;21.02.2022;10.12.2021;2750;originalpaper;Research Article;optin
14;Humboldt-Universität zu Berlin;Berliner Journal für Soziologie;1862-2593;10.1007/s11609-022-00474-w;https://doi.org/10.1007/s11609-022-00474-w;20.06.2022;07.06.2022;917;editorialnotes;Non Research Article;optin
15;Humboldt-Universität zu Berlin;European Journal of Pediatrics;1432-1076;10.1007/s00431-022-04434-7;https://doi.org/10.1007/s00431-022-04434-7;12.03.2022;03.03.2022;2750;originalpaper;Research Article;optin
16;Humboldt-Universität zu Berlin;Agriculture and Human Values;1572-8366;10.1007/s10460-022-10405-3;https://doi.org/10.1007/s10460-022-10405-3;08.12.2022;28.11.2022;2750;originalpaper;Research Article;optin
17;Humboldt-Universität zu Berlin;Numerische Mathematik;0945-3245;10.1007/s00211-022-01284-1;https://doi.org/10.1007/s00211-022-01284-1;19.04.2022;27.02.2022;2750;originalpaper;Research Article;optin
18;Humboldt-Universität zu Berlin;NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin;1420-9144;10.1007/s00048-021-00321-8;https://doi.org/10.1007/s00048-021-00321-8;31.01.2022;22.12.2021;917;bookreview;Non Research Article;optin
19;Humboldt-Universität zu Berlin;Letters in Mathematical Physics;1573-0530;10.1007/s11005-022-01612-4;https://doi.org/10.1007/s11005-022-01612-4;21.11.2022;08.11.2022;2750;originalpaper;Research Article;optin
20;Humboldt-Universität zu Berlin;Natural Language & Linguistic Theory;1573-0859;10.1007/s11049-022-09554-1;https://doi.org/10.1007/s11049-022-09554-1;13.12.2022;11.09.2022;2750;originalpaper;Research Article;optin
21;Humboldt-Universität zu Berlin;Der Nervenarzt;1433-0407;10.1007/s00115-021-01249-z;https://doi.org/10.1007/s00115-021-01249-z;05.01.2022;29.11.2021;2750;briefcommunication;Research Article;optin
