institution;period;euro;doi;is_hybrid;opt_out;Article URL;Article Type
Universität Mannheim;2020;6.332;10.1007/s12469-020-00233-1;TRUE;FALSE;https://link.springer.com/article/10.1007/s12469-020-00233-1;Research Article
Universität Mannheim;2020;6.332;10.1007/s10683-020-09663-x;TRUE;FALSE;https://link.springer.com/article/10.1007/s10683-020-09663-x;Research Article
Universität Mannheim;2020;6.332;10.1007/s41244-020-00176-x;TRUE;FALSE;https://link.springer.com/article/10.1007/s41244-020-00176-x;Research Article
Universität Mannheim;2020;6.332;10.1007/s12186-020-09251-3;TRUE;FALSE;https://link.springer.com/article/10.1007/s12186-020-09251-3;Research Article
Universität Mannheim;2020;6.332;10.1007/s41244-020-00181-0;TRUE;FALSE;https://link.springer.com/article/10.1007/s41244-020-00181-0;Non-Research Article
Universität Mannheim;2020;6.332;10.1007/s11615-019-00216-3;TRUE;FALSE;https://link.springer.com/article/10.1007/s11615-019-00216-3;Research Article
Universität Mannheim;2020;6.332;10.1007/s41471-020-00090-5;TRUE;FALSE;https://link.springer.com/article/10.1007/s41471-020-00090-5;Research Article
Universität Mannheim;2020;6.332;10.1007/s10680-019-09549-6;TRUE;FALSE;https://link.springer.com/article10.1007/s10680-019-09549-6;Research Article
Universität Mannheim;2020;6.332;10.3758/s13423-020-01802-y;TRUE;FALSE;https://link.springer.com/article/10.3758/s13423-020-01802-y;Research Article
Universität Mannheim;2020;6.332;10.1007/s00574-020-00215-8;TRUE;FALSE;https://link.springer.com/article/10.1007/s00574-020-00215-8;Research Article
Universität Mannheim;2020;6.332;10.1007/s10758-020-09476-0;TRUE;FALSE;https://link.springer.com/article/10.1007/s10758-020-09476-0;Research Article
Universität Mannheim;2020;6.332;10.1007/s11423-020-09909-8;TRUE;FALSE;https://link.springer.com/article/10.1007/s11423-020-09909-8;Research Article
Universität Mannheim;2020;6.332;10.1007/s00148-020-00791-5;TRUE;FALSE;https://link.springer.com/article/10.1007/s00148-020-00791-5;Research Article
Universität Mannheim;2020;6.332;10.1007/s12053-020-09873-5;TRUE;FALSE;https://link.springer.com/article/10.1007/s12053-020-09873-5;Research Article
Universität Mannheim;2020;6.332;10.1007/s40072-020-00166-7;TRUE;FALSE;https://link.springer.com/article/10.1007/s40072-020-00166-7;Research Article
Universität Mannheim;2020;6.332;10.1007/s11558-020-09405-x;TRUE;FALSE;https://link.springer.com/article/10.1007/s11558-020-09405-x;Research Article
Universität Mannheim;2020;6.332;10.1007/s00780-020-00432-5;TRUE;FALSE;https://link.springer.com/article/10.1007/s00780-020-00432-5;Research Article
Universität Mannheim;2020;6.332;10.3758/s13423-020-01814-8;TRUE;FALSE;https://link.springer.com/article/10.3758/s13423-020-01814-8;Research Article
Universität Mannheim;2020;6.332;10.1007/s11615-020-00245-3;TRUE;FALSE;https://link.springer.com/article/10.1007/s11615-020-00245-3;Non-Research Article
Universität Mannheim;2020;6.332;10.1007/s41055-020-00069-2;TRUE;FALSE;https://link.springer.com/article/10.1007/s41055-020-00069-2;Research Article
Universität Mannheim;2020;6.332;10.1007/s11423-020-09788-z;TRUE;FALSE;https://link.springer.com/article/10.1007/s11423-020-09788-z;Research Article
Universität Mannheim;2020;6.332;10.1007/s10790-020-09763-0;TRUE;FALSE;https://link.springer.com/article/10.1007/s10790-020-09763-0;Research Article
Universität Mannheim;2020;6.332;10.1007/s11187-020-00337-9;TRUE;FALSE;https://link.springer.com/article/10.1007/s11187-020-00337-9;Research Article
