institution;Jahr;amount;doi;is_hybird;publisher;journal_full_title ;issn
IPN - Leibniz  Kiel;2019;1550;10.1016/j.asw.2019.100420;TRUE;Elsevier;Assessing Writing;1075-2935
IPN - Leibniz  Kiel;2019;7941,71;10.1002/berj.3586;TRUE;Wiley;British Educational Research Journal;1469-3518
IPN - Leibniz  Kiel;2019;2478,77;10.1111/bjep.12277;TRUE;Wiley;British Journal of Educational Psychology;0007-0998
IPN - Leibniz  Kiel;2019;2478,77;10.1111/bjep.12281 ;TRUE;Wiley;British Journal of Educational Psychology;0007-0998
IPN - Leibniz  Kiel;2019;1076,59;10.1525/collabra.214;FALSE;University of California Press;Collabra: Psychology;2474-7394
IPN - Leibniz  Kiel;2019;1844,5;10.1016/j.cedpsych.2019.01.006;TRUE;Elsevier;Contemporary Educational Psychology;0361-476X
IPN - Leibniz  Kiel;2019;2231,25;10.1026/0012-1924/a000243 ;TRUE;Hogrefe;Diagnostica;0012-1924
IPN - Leibniz  Kiel;2019;2257,18;10.3389/fpsyg.2019.00836 ;FALSE;Frontiers Research Foundation;Frontiers in Psychology;1664-1078
IPN - Leibniz  Kiel;2019;2655,5;10.3389/fpsyg.2019.01533;FALSE;Frontiers Research Foundation;Frontiers in Psychology;1664-1078
IPN - Leibniz  Kiel;2019;2427,6;10.1007/s40753-019-00098-1;TRUE;Springer Nature;International Journal of Research in Undergraduate Mathematics Education;2198-9745
IPN - Leibniz  Kiel;2019;685,44;10.1186/s40594-019-0184-1;FALSE;SpringerOpen;International Journal of STEM Education;2196-7822
IPN - Leibniz  Kiel;2019;3173,73;10.1111/jcal.12381;TRUE;Wiley;Journal of Computer Assisted Learning;1365-2729
IPN - Leibniz  Kiel;2019;3272,5;10.1002/tea.21534;TRUE;Wiley;Journal of Research in Science Teaching;0022-4308
IPN - Leibniz  Kiel;2019;3272,5;10.1002/tea.21547;TRUE;Wiley;Journal of Research in Science Teaching;0022-4308
IPN - Leibniz  Kiel;2019;3272,5;10.1002/tea.21580 ;TRUE;Wiley;Journal of Research in Science Teaching;0022-4308
IPN - Leibniz  Kiel;2019;950;10.1016/j.lindif.2019.02.006;TRUE;Elsevier;Learning and Instruction;0959-4752
IPN - Leibniz  Kiel;2019;442,13;10.1103/PhysRevPhysEducRes.15.010115;FALSE;American Physical Society;Physical Review Physics Education Research;2469-9896
IPN - Leibniz  Kiel;2019;1130,5;10.2378/peu2020.art08d;TRUE;Ernst Reinhardt Verlag;Psychologie in Erziehung und Unterricht;0342-183X
IPN - Leibniz  Kiel;2019;2874;10.1080/03057267.2018.1598048;TRUE;Taylor & Francis;Studies in Science Education;0305-7267
IPN - Leibniz  Kiel;2019;1492,52;10.3390/su11102780;FALSE;MDPI;Sustainability;2071-1050
IPN - Leibniz  Kiel;2019;428,04;10.1177/0002716219844963;TRUE;Sage;The Annals of the American Academy of Political and Social Science;0002-7162
IPN - Leibniz  Kiel;2019;2665,6;10.1007/s42010-019-00065-4;TRUE;Springer Nature;Unterrichtswissenschaft;0340-4099
IPN - Leibniz  Kiel;2019;2665,6;10.1007/s40573-019-00100-y;TRUE;Springer Nature;Zeitschrift f�r Didaktik der Naturwissenschaften (ZfDN);0949-1147
IPN - Leibniz  Kiel;2019;2665,6;10.1007/s11618-019-00894-0;TRUE;Springer Nature;Zeitschrift f�r Erziehungswissenschaft;1434-663X
IPN - Leibniz  Kiel;2019;2665,6;10.1007/s11618-019-00910-3;TRUE;Springer Nature;Zeitschrift f�r Erziehungswissenschaft;1434-663X
