institution;period;euro;doi;is_hybrid;publisher;journal_full_title ;issn
IPN - Leibniz  Kiel;2017;1937,65;10.1016/j.compedu.2017.02.007;TRUE;Elsevier;Computers & Education;0360-1315
IPN - Leibniz  Kiel;2017;1921,50;10.1016/j.cedpsych.2017.09.009;TRUE;Elsevier;Contemporary Educational Psychology;0361-476X
IPN - Leibniz  Kiel;2017;1048,04;10.1155/2017/4698371;FALSE;Hindawi;Education Research International;2090-4002
IPN - Leibniz  Kiel;2017;1092,39;10.12973/eurasia.2017.00703a;FALSE;iSER Publications;Eurasia Journal of mathematics, science and technology education;1305-8223
IPN - Leibniz  Kiel;2017;2320,50;10.1088/1361-6404/aa538f;TRUE;IOP Publishing;European Journal of Physics;0143-0807
IPN - Leibniz  Kiel;2017;2975,00;10.1027/1015-5759/a000407;TRUE;Hogrefe;European Journal of Psychological Assessment;1015-5759
IPN - Leibniz  Kiel;2017;2455,26;10.1016/j.intell.2017.05.001;TRUE;Elsevier;Intelligence;1873-7935
IPN - Leibniz  Kiel;2018;2042,50;10.1080/09500693.2017.1346326;TRUE;Taylor  Francis;International Journal of Science Education;0950-0693
IPN - Leibniz  Kiel;2019;2042,50;10.1080/09500693.2017.1301691;TRUE;Taylor  Francis;International Journal of Science Education;0950-0693
IPN - Leibniz  Kiel;2017;1937,65;10.1016/j.learninstruc.2017.10.003;TRUE;Elsevier;Learning and Instruction;0959-4752
IPN - Leibniz  Kiel;2017;1598,21;10.1371/journal.pone.0180149;FALSE;PLoS;PLoS ONE;1932-6203
IPN - Leibniz  Kiel;2017;2618,00;10.1007/s11165-016-9585-z;TRUE;Springer;Research in Science Education;1573-1898
IPN - Leibniz  Kiel;2017;2231,25;10.1026/0049-8637/a000164;TRUE;Hogrefe;Zeitschrift fÅr Entwicklungspsychologie und PÑdagogische Psychologie;0049-8637
IPN - Leibniz  Kiel;2017;2618,00;10.1007/s11618-017-0777-8;TRUE;Springer ;Zeitschrift fÅr Erziehungswissenschaft;1434-663X
IPN - Leibniz  Kiel;2017;1875,00;10.1024/1010-0652/a000188;TRUE;Hogrefe;Zeitschrift fÅr PÑdagogische Psychologie;1010-0652
