"INSTITUTION","PERIOD","AGREEMENT","DOI","IS_HIBRID","PUBLISHER","JOURNAL_FULL_TITLE","ISSN"
"University of Milan",2022,"University of Milan - Springer","10.1007/s00281-022-00970-4 ","TRUE","Springer","Seminars in Immunopathology","1863-2300"
"University of Milan",2022,"University of Milan - Springer","10.1007/s11259-022-09901-y ","TRUE","Springer","Veterinary Research Communications","1573-7446"
"University of Milan",2022,"University of Milan - Springer","10.1007/s11695-022-05950-z","TRUE","Springer","Obesity Surgery","1708-0428"
"University of Milan",2022,"University of Milan - Springer","10.1007/s11695-022-06007-x","TRUE","Springer","Obesity Surgery","1708-0428"
"University of Milan",2022,"University of Milan - Springer","10.1007/s10266-022-00734-4 ","TRUE","Springer","Odontology","1618-1255"
"University of Milan",2022,"University of Milan - Springer","10.1007/s11739-022-02930-0","TRUE","Springer","Internal and emergency Medicine","1970-9366"
"University of Milan",2022,"University of Milan - Springer","10.1140/epjp/s13360-021-02243-9 ","TRUE","Springer","The European Physical Journal Plus","2190-5444"
"University of Milan",2022,"University of Milan - Springer","10.1007/s10614-022-10293-z","TRUE","Springer","Computational Economics","1572-9974"
"University of Milan",2022,"University of Milan - Springer","10.1007/s00208-021-02356-7 ","TRUE","Springer","Mathematische Annalen","1432-1807"
"University of Milan",2022,"University of Milan - Springer","10.1007/s00425-022-04025-8","TRUE","Springer","Planta","1432-2048"
"University of Milan",2022,"University of Milan - Springer","10.1007/s11266-022-00454-x","TRUE","Springer","VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations","1573-7888"
"University of Milan",2022,"University of Milan - Springer","10.1007/s00245-022-09897-6 ","TRUE","Springer","Applied Mathematics & Optimization","1432-0606"
"University of Milan",2022,"University of Milan - Springer","10.1007/s12031-022-02036-4 ","TRUE","Springer","Journal of Molecular Neuroscience","1559-1166"
"University of Milan",2022,"University of Milan - Springer","10.1007/s10344-022-01588-5 ","TRUE","Springer","European Journal of Wildlife Research","1439-0574"
"University of Milan",2022,"University of Milan - Springer","10.1007/s12686-022-01286-z","TRUE","Springer","Conservation Genetics Resources","1877-7260"
"University of Milan",2022,"University of Milan - Springer","10.1007/s00362-022-01356-2","TRUE","Springer","Statistical Papers","1613-9798"
"University of Milan",2022,"University of Milan - Springer","10.1007/s43154-022-00078-5","TRUE","Springer","Current Robotics Reports","2662-4087"
"University of Milan",2022,"University of Milan - Springer","10.1007/s11128-022-03647-x ","TRUE","Springer","Quantum Information Processing","1573-1332"
"University of Milan",2022,"University of Milan - Springer","10.1140/epjp/s13360-022-02727-2 ","TRUE","Springer","The European Physical Journal Plus","2190-5444"
"University of Milan",2022,"University of Milan - Springer","10.1007/s40619-022-01034-3","TRUE","Springer","L'Endocrinologo","1720-8351"
"University of Milan",2022,"University of Milan - Springer","10.1007/s10915-022-01929-1","TRUE","Springer","Journal of Scientific Computing","1573-7691"
"University of Milan",2022,"University of Milan - Springer","10.1007/s12520-022-01616-0","TRUE","Springer","Archaeological and Anthropological Sciences","1866-9565"
"University of Milan",2022,"University of Milan - Springer","10.1007/s41055-022-00107-1 ","TRUE","Springer","Food Ethics","2364-6861"
"University of Milan",2022,"University of Milan - Springer","10.1007/s12652-022-03760-w","TRUE","Springer","Journal of Ambient Intelligence and Humanized Computing","1868-5145"
"University of Milan",2022,"University of Milan - Springer","10.1007/s00345-022-04045-9","TRUE","Springer","World Journal of Urology","1433-8726"
"University of Milan",2022,"University of Milan - Springer","10.1007/s00345-022-04091-3","TRUE","Springer","World Journal of Urology","1433-8726"
"University of Milan",2022,"University of Milan - Springer","10.1007/s10353-022-00751-1 ","TRUE","Springer","European Surgery","1682-4016"
"University of Milan",2022,"University of Milan - Springer","10.1007/s00423-022-02550-4","TRUE","Springer","Langenbeck's Archives of Surgery","1435-2451"
"University of Milan",2022,"University of Milan - Springer","10.1007/s40619-022-01109-1 ","TRUE","Springer","L'Endocrinologo","1720-8351"
"University of Milan",2022,"University of Milan - Springer","10.1007/s10072-022-06059-y ","TRUE","Springer","Neurological Sciences","1590-3478"
