"INSTITUTION","PERIOD","AGREEMENT","DOI","IS_HIBRID","PUBLISHER","JOURNAL_FULL_TITLE","ISSN"
"University of Milan",2023,"University of Milan - IOP","10.1088/1402-4896/acbbb2","TRUE","IOP","Physica Scripta","1402-4896"
"University of Milan",2023,"University of Milan - IOP","10.1088/1751-8121/acc992","TRUE","IOP","Journal of Physics A: Mathematical and Theoretical","1751-8121"
"University of Milan",2023,"University of Milan - IOP","10.1088/2058-9565/accca4","TRUE","IOP","Quantum Science and Technology","2058-9565"
"University of Milan",2023,"University of Milan - IOP","10.1088/1361-6579/acce1f","TRUE","IOP","Physiological Measurement","0967-3334"
"University of Milan",2023,"University of Milan - IOP","10.1088/1361-6579/acdb47","TRUE","IOP","Physiological Measurement","0967-3334"
"University of Milan",2023,"University of Milan - IOP","10.1088/2516-1075/acdbf4","TRUE","IOP","Electronic Structure","2516-1075"
"University of Milan",2023,"University of Milan - IOP","10.1088/1361-6579/acf992","TRUE","IOP","Physiological Measurement","0967-3334"
"University of Milan",2023,"University of Milan - IOP","10.1088/1361-6420/acc2e0","TRUE","IOP","Inverse Problems","0266-5611"
"University of Milan",2023,"University of Milan - IOP","10.1088/1361-6463/ad0987","TRUE","IOP","Journal of Physics D: Applied Physics","0967-3334"
"University of Milan",2023,"University of Milan - IOP","10.1088/1361-6579/ad0976","TRUE","IOP","Physiological Measurement","0967-3334"
"University of Milan",2023,"University of Milan - IOP","10.1088/1748-0221/19/01/C01029","FALSE","IOP","Journal of Instrumentation","1748-0221"
"University of Milan",2023,"University of Milan - IOP","10.1088/1748-0221/19/01/C01011","TRUE","IOP","Journal of Instrumentation","1748-0221"
"University of Milan",2023,"University of Milan - Royal Society of Chemistry","10.1039/D2CC06630K","TRUE","RSC","ChemComm","1364-548X"
"University of Milan",2023,"University of Milan - Royal Society of Chemistry","10.1039/D2DT03387A","TRUE","RSC","Dalton Transactions","1477-9234"
"University of Milan",2023,"University of Milan - Royal Society of Chemistry","10.1039/D3OB00232B","TRUE","RSC","Organic & Biomolecular Chemistry","1477-0539"
"University of Milan",2023,"University of Milan - Royal Society of Chemistry","10.1039/D3OB00381G","TRUE","RSC","Organic & Biomolecular Chemistry","1477-0539"
"University of Milan",2023,"University of Milan - Royal Society of Chemistry","10.1039/D3OB00891F","TRUE","RSC","Organic & Biomolecular Chemistry","1477-0539"
"University of Milan",2023,"University of Milan - Royal Society of Chemistry","10.1039/D3CY00603D","TRUE","RSC","Catalysis Science & Technology","2044-4761"
"University of Milan",2023,"University of Milan - Royal Society of Chemistry","10.1039/D3FO00835E","TRUE","RSC","Food & Function","2042-650X"
"University of Milan",2023,"University of Milan - Royal Society of Chemistry","10.1039/D3NR01581E","TRUE","RSC","Nanoscale","2040-3372"
"University of Milan",2023,"University of Milan - Royal Society of Chemistry","10.1039/D3CP00914A","TRUE","RSC","Physical Chemistry Chemical Physics","1463-9084"
