"INSTITUTION","PERIOD","AGREEMENT","DOI","IS_HIBRID","PUBLISHER","JOURNAL_FULL_TITLE","ISSN"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/slaw-2022-0020","TRUE","De Gruyter","Zeitschrift für Slawistik","2196-7016"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2022-0684","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2021-1291","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine ","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2022-0088","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine ","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2022-0501","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine ","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2022-0635","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2022-0874","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine ","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2022-0806","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/ngs-2022-0003","TRUE","De Gruyter","New Global Studies","1940-0004"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2022-0346","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2022-0877","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/ZNC-2022-0076","TRUE","De Gruyter","Zeitschrift für Naturforschung C","1865-7125"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/ract-2022-0011","TRUE","De Gruyter","Radiochimica Acta","2193-3405"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2022-0557","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2022-0618","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2022-0683","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/cclm-2022-1257","TRUE","De Gruyter","Clinical Chemistry and Laboratory Medicine","1437-4331"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/acv-2021-0093","TRUE","De Gruyter","Advances in Calculus of Variations","1864-8266"
"University of Milan",2022,"University of Milan - De Gruyter","10.1515/elen-2022-0005","TRUE","De Gruyter","Elenchos","2037-7177"
