"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC","DOI","Date of APC payment","Date of initial application by author","ISSN0","Institution","Journal","Licence","PubMed Central (PMC) ID","PubMed ID","Publisher","TCO year","Type of publication","Drop?","Year of publication","period","is_hybrid","euro"
"","","1738.35","","10.1075/ijcl.20.4.04jaw","2014-04-28","2014-02-24","","Bangor University","International Journal of Corpus Linguistics","CC BY","","","John Benjamins Publishing Company","2014","","0","","2014","","2112.72"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"1851","1875","1875","EUR","10.1002/chem.201302053","","","0947-6539","University of Bath","Chemistry - A European Journal","","","","Wiley-Blackwell","2014","","0","","2014","","1851"
"","","","","","","","","","","","","","","","","","","","",""
"945.6","945.6","945.6","GBP","10.1002/nop2.40","2014","2014-06-16","","University of Birmingham","Nursing Open","","","","Wiley-Blackwell","2014","Journal Article/Review","0","","2014","","1173.03"
"5040","3324.86","3324.86","USD","10.3791/52302","2014","2014-07-01","","University of Birmingham","Journal of Visualized Experiments","","","","JoVE Corporation","2014","Journal Article/Review","0","","2014","","3793.75"
"1416","1416","1416","GBP","10.2147/opth.s73272","2014","2014-07-15","","University of Birmingham","Clinical Ophthalmology","","","","Dove Medical Press","2014","Journal Article/Review","0","","2014","","1756.56"
"1162.8","1162.8","1162.8","GBP","10.1186/s40814-015-0004-4","2014","2014-08-11","","University of Birmingham","Pilot and Feasibility Studies","","","","Springer Nature","2014","Journal Article/Review","0","","2014","","1442.47"
"2304","0","0","EUR","10.1186/2046-4053-4-12","2014","2014-09-26","","University of Birmingham","Systematic Reviews","","","","Springer Nature","2014","Journal Article/Review","0","","2014","","2304"
"","","","","","","","","","","","","","","","","","","","",""
"1351.5","1351.5","1351.5","GBP","10.1186/s12913-015-0712-8","2014","2014-09-30","","University of Birmingham","BMC Health Service Research","","","","Springer Nature","2014","Journal Article/Review","0","","2014","","1676.55"
"1351.5","1351.5","1351.5","GBP","10.1186/s13075-015-0584-7","2014","2014-10-07","","University of Birmingham","Arthritis, research & therapy","","","","Springer Nature","2014","Journal Article/Review","0","","2014","","1676.55"
"","","","","","","","","","","","","","","","","","","","",""
