"Institution","Period","EURO","is_hybrid","publisher","journal","ISSN.1","ISSN.2","doi","indexed_in_CrossRef","pmid","pmcid","base_url","repo_id","ut","DOAJ"
"Bamberg U",2016,"1426.43",FALSE,"Public Library of Science (PLoS)","PLoS one","1932-6203","NA","10.1371/journal.pone.0167110","TRUE","27893845","PMC5125670","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","48229","NA","TRUE"
"Bamberg U",2016,"1764.93",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078","NA","10.3389/fpsyg.2016.01711","TRUE","27877145","PMC5099156","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","48435","NA","TRUE"
"Bamberg U",2016,"1716.37",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078","NA","10.3389/fpsyg.2016.01652","TRUE","27826276","PMC5078759","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","48329","NA","TRUE"
"Bamberg U",2016,"204.12",FALSE,"Pion Ltd","i-perception","2041-6695","NA","10.1177/2041669516676823","TRUE","27895886","PMC5117165","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","48194","NA","TRUE"
"Bamberg U",2016,"1232.4",FALSE,"Public Library of Science (PLoS)","Plos one","1932-6203","NA","10.1371/journal.pone.0163933","TRUE","27776145","PMC5077119","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","48195","NA","TRUE"
"Bamberg U",2016,"1841",FALSE,"Dove Medical Press","Patient Preference and Adherence","1177-889X","NA","10.2147/PPA.S112398","TRUE","27784998","PMC5063292","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","47189","NA","TRUE"
"Bamberg U",2016,"237.41",FALSE,"Pion Ltd","i-perception","2041-6695","NA","10.1177/2041669516658048","TRUE","27698977","PMC5030743","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","48196","NA","TRUE"
"Bamberg U",2016,"1348.43",FALSE,"Public Library of Science (PLoS)","PLoS one","1932-6203","NA","10.1371/journal.pone.0154432","TRUE","27124201","PMC4849674","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","47582","NA","TRUE"
"Bamberg U",2016,"308.41",FALSE,"Pion Ltd","i-perception","2041-6695","NA","10.1177/2041669516645592","TRUE","27433328","PMC4934678","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","48197","NA","TRUE"
"Bamberg U",2016,"1208.75",FALSE,"Public Library of Science (PLoS)","PLoS","1932-6203","NA","10.1371/journal.pone.0153089","TRUE","27043930","PMC4820275","","NA","NA","TRUE"
"Bamberg U",2016,"1812.59",FALSE,"Association for Research in Vision and Ophthalmology.","Journal of vision","1534-7362","NA","10.1167/16.3.14","TRUE","26873778","NA","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","48067","NA","TRUE"
"Bamberg U",2016,"450",FALSE,"Geographical Society of Berlin","Die Erde","0013-9998","NA","10.12854/erde.v146i4.232","FALSE","NA","NA","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","46993","NA","TRUE"
"Bamberg U",2016,"1344.28",FALSE,"Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161","NA","10.3389/fnhum.2016.00043","TRUE","26903847","PMC4749843","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","46251","NA","TRUE"
"Bamberg U",2016,"892.54",FALSE,"Elsevier","Preventive Medicine Reports","2211-3355","NA","10.1016/j.pmedr.2015.12.009","TRUE","26844193","PMC4733092","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/","47805","NA","TRUE"
