Institution,Period,EURO,publisher,journal,ISSN.1,ISSN.2,doi,indexed_in_CrossRef,pmid,pmcid,base_url,repo_id,ut,DOAJ
Bamberg U,2017,"1758.07",Dove Press,Psychology Research and Behavior Management ,1179-1578,NA,10.2147/PRBM.S146918,TRUE,29255375,PMC5723119,,NA,NA,TRUE
Bamberg U,2017,329.79,Pion Ltd,i-perception,2041-6695,NA,10.1177/2041669517742179,TRUE,29230277,PMC5718310,,NA,NA,TRUE
Bamberg U,2017,"1300.33",Public Library of Science (PLoS),PLoS one,1932-6203,NA,10.1371/journal.pone.0186121,TRUE,29020078,PMC5636136,http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/,50904,NA,TRUE
Bamberg U,2017,609.32,Pion Ltd,i-perception,2041-6695,NA,10.1177/2041669517736322,TRUE,29201336,PMC5697602,,NA,NA,TRUE
Bamberg U,2017,448.53,Elsevier,Data in Brief,2352-3409,NA,10.1016/j.dib.2017.07.061,TRUE,28861457,PMC5570577,http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/,50489,NA,TRUE
Bamberg U,2017,"1618.23",Frontiers Media SA,Frontiers in Psychiatry,1664-0640,NA,10.3389/fpsyt.2017.00183,TRUE,28993742,PMC5622292,,NA,NA,TRUE
Bamberg U,2017,"1998.00",Dove Press,Journal of Pain Research,1178-7090,NA,10.2147/JPR.S136416,TRUE,28814894,PMC5546785,,NA,NA,TRUE
Bamberg U,2017,"1640.37",Frontiers Media SA,Frontiers in Psychology,1664-1078,NA,10.3389/fpsyg.2017.00971,TRUE,28649219,PMC5465279,,NA,NA,TRUE
Bamberg U,2017,"1305.07",Nature Publishing Group,Scientific Reports,2045-2322,NA,10.1038/s41598-017-01376-1,TRUE,28442762,PMC5430860,,NA,NA,TRUE
Bamberg U,2017,"1891.25",Wolters Kluwer,Pain Reports,2471-2531,NA,10.1097/PR9.0000000000000597,TRUE,29075677,PMC5646576,,NA,NA,TRUE
Bamberg U,2017,375.44,Pion Ltd,Sage Open,2158-2440,NA,10.1177/2158244017702197,TRUE,NA,NA,,NA,NA,TRUE
Bamberg U,2017,"1719.93",Frontiers Media SA,Frontiers in Psychology,1664-1078,NA,10.3389/fpsyg.2017.00245,TRUE,28270789,PMC5318418,http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/,50478,NA,TRUE
Bamberg U,2017,446.59,Pion Ltd,i-perception,2041-6695,NA,10.1177/2041669517694184,TRUE,28321289,PMC5347319,http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/,50477,NA,TRUE
Bamberg U,2017,"1483.25",Springer Nature,BMC Geriatrics,1471-2318,NA,10.1186/s12877-017-0427-2,TRUE,28125956,PMC5270300,,NA,NA,TRUE
