"doi","colour charge","cover charge","page charge","permission","reprint","submission fee","payment fee","other"
"10.3390/genes13122312",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.jbc.2022.102265",NA,NA,NA,NA,NA,NA,NA,NA
"10.1073/pnas.2208227119",NA,NA,NA,NA,NA,NA,NA,NA
"10.1136/bmjoq-2022-002125",NA,NA,NA,NA,NA,NA,NA,NA
"10.1136/bmjopen-2022-065946",NA,NA,NA,NA,NA,NA,NA,NA
"10.1136/bmjopen-2022-069977",NA,NA,NA,NA,NA,NA,NA,NA
"10.1136/bmjgast-2023-001148",NA,NA,NA,NA,NA,NA,NA,NA
"10.1136/bmjopen-2023-074259",NA,NA,NA,NA,NA,NA,NA,NA
"10.1136/bmjresp-2023-001913",NA,NA,NA,NA,NA,NA,NA,NA
"10.1136/bmjopen-2023-074788",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/admi.202202475",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/jex2.71",NA,NA,NA,NA,NA,NA,NA,NA
"10.3389/fpls.2023.1141554",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41467-023-36297-3",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/ctm2.1176",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41598-023-35765-6",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41598-023-34160-5",NA,NA,NA,NA,NA,NA,NA,NA
"10.3389/fbinf.2023.1322477",NA,NA,NA,NA,NA,NA,NA,NA
"10.1186/s13046-023-02785-z",NA,NA,NA,NA,NA,NA,NA,NA
"10.1186/s13063-023-07556-x",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/su15010633",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/antib12010004",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/vaccines10050788",NA,NA,NA,NA,NA,NA,NA,NA
"10.3389/fnins.2023.1058340",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.nicl.2023.103314",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/curroncol30020148",NA,NA,NA,NA,NA,NA,NA,NA
"10.1080/21642850.2023.2174697",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/cells12030456",NA,NA,NA,NA,NA,NA,NA,NA
"10.3389/fpsyg.2023.1127328",NA,NA,NA,NA,NA,NA,NA,NA
"10.7717/peerj.14802",NA,NA,NA,NA,NA,NA,NA,NA
"10.1055/s-0043-1764473",NA,NA,NA,NA,NA,NA,NA,NA
