institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn/isbn;issn_print;issn_electronic;url;;;
Centre Hospitalier Universitaire de Rennes;2023;1374,85;10.3390/tropicalmed8020114;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2704,16667;10.1186/s13054-023-04362-4;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;3245;10.1186/s13054-023-04651-y;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2226,525;10.3390/jcm12124014;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2745;10.1038/s41533-023-00352-9;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2445;10.1186/s12984-021-00948-7;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;1980;10.1002/jvc2.195;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2045;10.1186/s13089-023-00315-8;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;3850;10.1002/ehf2.14189;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;1860,72;10.3389/fcvm.2023.1111538;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2145;10.1093/ehjopen/oead064;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;1740;10.1016/j.heliyon.2023.e16466;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2345;10.1186/s40345-023-00286-8;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;1000,79;10.3390/ijns9010006;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2316,98;10.3389/fcvm.2023.968213;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;502,52;10.1016/j.rmcr.2023.101825;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2036,66;10.3390/antibiotics12040680;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;1400;10.1186/s13256-023-04034-5;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;3008,93;10.3389/fnut.2023.1067755;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;1917,24;10.3390/biomedicines11051314;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2551,37;10.1136/bmjopen-2022-062913;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2291,2;10.1097/GOX.0000000000005301;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;1466,18;10.1016/j.pmedr.2023.102568;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;3206,19;10.1186/s12882-022-02678-x;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;664,41;10.1097/AS9.0000000000000386;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2345;10.1186/s12909-023-04794-0;FALSE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2345;10.1007/s11192-023-04862-8;TRUE;;;;;;;;;
Centre Hospitalier Universitaire de Rennes;2023;2445;10.1186/s12879-023-08493-5;FALSE;;;;;;;;;
