"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn/isbn";"issn_print";"issn_electronic";"url"
"IRD - Institut de Recherche pour le Développement";2023;3489,87;"10.1016/j.jhydrol.2023.130156";"TRUE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2334,92;"10.1038/s41598-023-44430-x";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;3425;"10.1093/ofid/ofad103";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1548;"10.3390/geosciences13090263";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;774;"10.3390/atmos14091322";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1633,96;"10.3390/ijms232314882";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2245;"10.1186/s12936-022-04361-w";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2054,6;"10.1371/journal.pgph.0001264";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1400;"10.1080/16549716.2022.2077904";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2021,98;"10.1016/j.catena.2023.106964";"TRUE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2065,94;"10.1371/journal.pone.0271157";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1211,96;"10.1016/j.meegid.2023.105461";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;615;"10.1080/17441692.2023.2212750";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1716,84;"10.1016/j.ssmph.2023.101468";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;660;"10.1016/j.ssmqr.2023.100314";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1809,07;"10.1016/j.socscimed.2023.116400";"TRUE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1145;"10.1186/s13071-022-05423-3";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2424,27;"10.3390/s22228731";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1945;"10.1038/s41598-022-25598-0";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2345;"10.1186/s13071-022-05587-y";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2345;"10.1186/s13071-022-05612-0";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2312,68;"10.1016/j.cosust.2023.101266";"TRUE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2245;"10.1186/s12936-023-04457-x";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2090;"10.1186/s40249-023-01059-2";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2351,85;"10.3390/v15020337";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1945;"10.1038/s41598-022-22544-y";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1514,3;"10.3389/fmicb.2023.1082107";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1183,27;"10.1016/j.baae.2022.12.006";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1739,81;"10.3390/nu15040905";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;3385;"10.1093/jxb/erad052";"TRUE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2428,85;"10.3390/v14122788";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;938,16;"10.31031/EIMBO.2023.05.000611";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1773,71;"10.3390/microorganisms11030712";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2096,21;"10.3390/nu15061314";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2814;"10.1186/s12887-023-03943-0";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2145;"10.1186/s40249-023-01076-1";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2445;"10.1186/s13071-023-05721-4";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;5029,17;"10.1371/journal.pbio.3001895";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2160;"10.1002/ece3.9740";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2574;"10.1038/s41598-023-32431-9";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1430,7;"10.1016/j.virusres.2023.199106";"TRUE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2621,56;"10.3390/v15040959";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2962,49;"10.3389/fpls.2023.1174171";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2000;"10.1093/pnasnexus/pgac185";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2745;"10.1007/s11252-023-01356-6";"TRUE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1395;"10.5194/os-19-453-2023";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1416,22;"10.3390/w15010084";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;1324,29;"10.1016/j.ejrh.2023.101397";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2405;"10.1093/g3journal/jkad051";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;5750;"10.1016/S2666-5247(23)00142-8";"FALSE";;;;;;
"IRD - Institut de Recherche pour le Développement";2023;2280;"10.1093/gbe/evad065";"FALSE";;;;;;
