"","Title","Title.Alternative","Identifier","Publisher","Language","ISSN","EISSN","Keyword","Start.Year","End.Year","Added.on.date","Subjects","Country","Publication.fee","Further.Information","CC.License","Content.in.DOAJ"
"1","Journal of Animal Production","","http://www.animalproduction.net","Jenderal Soedirman University, Indonesian Society of Animal Science","English,Indonesian","1411-2027","","farm animals,feed resources,post-harvest physiology and technology",1999,NA,"2012-04-19T15:49:28Z","Animal culture,Agriculture,Animal Sciences,Agriculture and Food Sciences","Indonesia","CON","http://www.animalproduction.net/index.php/JAP/about/submissions#onlineSubmissions","","Yes"
"2","Dokuz Eylül Üniversitesi Sosyal Bilimler Enstitüsü Dergisi","Dokuz Eylul University Journal of Graduate School of Social Sciences","http://www.sbe.deu.edu.tr/dergi/JOURNAL.htm","Dokuz Eylul Univeristy","Turkish,English","1302-3284","1308-0911","social sciences",2008,NA,"2011-02-03T12:44:22Z","Social sciences (General),Social Sciences,Social Sciences","Turkey","N","http://www.sbe.deu.edu.tr/dergi/AUTHOR_GUIDLINESS.htm","by","Yes"
"3","Estudios de Derecho","","http://aprendeenlinea.udea.edu.co/revistas/index.php/red","Universidad de Antioquia","Spanish","0120-1867","","law",2007,NA,"2012-04-23T09:33:28Z","Law in general. Comparative and uniform law. Jurisprudence,Law,Law,Law and Political Science","Colombia","N","http://aprendeenlinea.udea.edu.co/revistas/index.php/red/about/submissions#authorGuidelines","","Yes"
"4","Journal of Shahid Sadoughi University of Medical Sciences","","http://jssu.ssu.ac.ir","Shahid Sadoughi University of Medical Sciences","Persian","2228-5741","2228-5733","health sciences,public health",2005,NA,"2012-04-23T10:04:25Z","Medicine (General),Medicine,Medicine (General),Health Sciences","Iran","N","http://85.185.157.11:6280/jssu/page.php?slct_pg_id=21&sid=1&slc_lang=en","","Yes"
"5","Ciencia del Suelo","","http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-2067&lng=en&nrm=iso","Asociación Argentina de la Ciencia del Suelo","Spanish,English,Portuguese","0326-3169","1850-2067","agriculture,crop science,soil science,plant nutrition,environmental science",2005,NA,"2012-04-26T14:59:14Z","Agriculture (General),Agriculture,Agriculture (General),Agriculture and Food Sciences","Argentina","Y","http://www.scielo.org.ar/revistas/cds/iinstruc.htm","","Yes"
"6","Journal of Solid Tumors","JST","http://www.sciedu.ca/journal/index.php/jst/index","Sciedu Press","English","1925-4067","1925-4075","oncology,neoplasms,cancer",2011,NA,"2012-05-02T11:54:09Z","Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Internal medicine,Medicine,Oncology,Medicine (General),Health Sciences","Canada","Y","http://www.sciedu.ca/journal/index.php/jst/about/submissions#authorFees","by","Yes"
"7","Argumentos : Revista de Crítica Social","","http://revistasiigg.sociales.uba.ar/index.php/argumentos","Universidad de Buenos Aires","Spanish","1666-8979","","sociology",2002,NA,"2012-05-02T13:36:55Z","Sociology (General),Social Sciences,Sociology,Social Sciences","Argentina","N","http://revistasiigg.sociales.uba.ar/index.php/argumentos/about/submissions#authorGuidelines","by-nc","Yes"
"8","Aktuální Gynekologie a Porodnictví","AGP : Actual Gynecology and Obstetrics","http://www.actualgyn.com/","Aprofema S.R.O.","Czech,Slovak,English","1803-9588","","gynecology,pregnancy,obstetrics",2009,NA,"2012-05-03T15:13:11Z","Gynecology and obstetrics,Medicine,Gynecology and Obstetrics,Medicine (General),Health Sciences","Czech Republic","N","http://www.actualgyn.com/pokyny_pro_autory.php","by-nc-nd","Yes"
"9","Acta Limnologica Brasiliensia","","http://www.scielo.br/scielo.php?script=sci_serial&pid=2179-975X&lng=en&nrm=iso","Associação Brasileira de Limnologia","English","0102-6712","2179-975X","limnology,freshwater biology,aquatic ecology,ecotoxicology",2010,NA,"2012-05-04T08:24:50Z","Biology (General),Science,Biology,Biology and Life Sciences","Brazil","NY","http://www.scielo.br/revistas/alb/iinstruc.htm","","Yes"
"10","Perspectivas Online : Biológicas e Saúde","Perspectivas Online : Biológicas & Saúde","http://www.seer.perspectivasonline.com.br/index.php/CBS","Institutos Superiores de Ensino do CENSA","Portuguese,Spanish,English","2236-8868","","life sciences,health sciences,biomedicine,nutrition",2011,NA,"2012-05-04T12:59:23Z","Biology (General),Science,Biology,Biology and Life Sciences,Medicine (General),Medicine,Medicine (General),Health Sciences","Brazil","N","http://www.seer.perspectivasonline.com.br/index.php/CBS/about/submissions#authorGuidelines","","Yes"
"11","Motriz : Revista de Educacao Fisica","","http://www.scielo.br/scielo.php?script=sci_serial&pid=1980-6574&lng=en&nrm=iso","Universidade Estadual Paulista","Portuguese,English","1980-6574","","sports,physical education,physiotherapy,sports psychology,athletic performance,physiological processes",2010,NA,"2012-05-08T08:29:30Z","Sports,Recreation. Leisure,Geography. Anthropology. Recreation,Sports Science,Social Sciences,Therapeutics. Psychotherapy,Psychiatry,Neurology. Diseases of the nervous system,Neurosciences. Biological psychiatry. Neuropsychiatry,Internal medicine,Medicine,Therapeutics,Medicine (General),Health Sciences","Brazil","N","http://www.scielo.br/revistas/motriz/iinstruc.htm","","Yes"
"12","Nordic Journal of Digital Literacy","NJDL","http://www.idunn.no/ts/dk","Universitetsforlaget","English,Norweigan","1891-943X","","digital practices,ICT in education,pedagogy",2010,NA,"2011-02-03T13:44:05Z","Special aspects of education,Education,Education,Social Sciences","Norway","N","http://www.idunn.no/file/ci/57796178/Directions_for_contributors.pdf","","Yes"
"13","Revista Ceres","","http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-737X&lng=en&nrm=iso","Universidade Federal De Viçosa","Portuguese,English,Spanish","0034-737X","2177-3491","plant culture,biotechnology,veterinary medicine,food science,agricultural egineering",2010,NA,"2012-05-09T10:18:38Z","Agriculture (General),Agriculture,Agriculture (General),Agriculture and Food Sciences,Biotechnology,Chemical technology,Technology,Biotechnology,Life Sciences,Biology and Life Sciences","Brazil","Y","http://www.scielo.br/revistas/rceres/iinstruc.htm","","Yes"
"14","Anadolu Hemşirelik Ve Sağlik Bilimleri Dergisi","Journal of Anatolia Nursing and Health Sciences","http://e-dergi.atauni.edu.tr/index.php/HYD","Atatürk University","Turkish","1309-5471","","nursing,health care",1998,NA,"2011-01-27T14:10:06Z","Nursing,Medicine,Nursing,Health Sciences","Turkey","N","http://e-dergi.atauni.edu.tr/index.php/HYD/about/submissions#authorGuidelines","","Yes"
"15","Sri Lankan Journal of Anaesthesiology","","http://www.sljol.info/index.php/SLJA/index","College of Anaesthesiologists of Sri Lanka","English","1391-8834","","anesthesiology,critical care,intensive care",2009,NA,"2011-02-08T09:52:48Z","Anesthesiology,Surgery,Medicine,Anesthesiology,Medicine (General),Health Sciences","Sri Lanka","N","http://www.sljol.info/index.php/SLJA/about/submissions#authorGuidelines","","Yes"
"16","Journal of Social Science Education","JSSE : Journal für Sozialwissenschaftliche Studien und ihre Didaktik","http://www.jsse.org","Bielefeld University","English,German","1611-9665","1618-5293","teaching social sciences,didactics,Europe",2000,NA,"2011-01-28T12:16:33Z","Special aspects of education,Education,Education,Social Sciences,Social sciences (General),Social Sciences,Social Sciences","Germany","N","http://www.jsse.org/info/authors-reviewers/author-instructions","","Yes"
"17","Inkanyiso : Journal of Humanities and Social Sciences","Inkanyiso : Journal of Humanities & Social Sciences","http://ajol.info/index.php/ijhss/index","Forum Press","English","2077-2815","","social sciences,higher education,humanities,literature,language",2009,NA,"2011-02-10T10:03:16Z","General Works,Multidisciplinary,General Works","South Africa","N","http://www.ajol.info/index.php/ijhss/about/submissions#authorGuidelines","","Yes"
"18","Akademik Geriatri Dergisi","Journal of Academic Geriatrics","http://www.akadgeriatri.org","Bilimsel Tip Yayinevi","Turkish","1308-5115","","geriatrics,elderly patients",2009,NA,"2011-01-28T13:23:00Z","Geriatrics,Special situations and conditions,Internal medicine,Medicine,Internal medicine,Medicine (General),Health Sciences","Turkey","N","http://www.akadgeriatri.org/content.aspx?content_id=4&menu_id=Menu04","","Yes"
"19","Oral & Maxillofacial Pathology Journal","OMPJ : Oral and Maxillofacial Pathology Journal","http://www.ompj.org","Kairali Society of Oral & Maxillofacial Pathologists","English","0976-1225","2322-0384","dentistry,oral pathology,maxillofacial injuries",2010,NA,"2011-01-28T15:20:34Z","Dentistry,Medicine,Dentistry,Health Sciences","India","Y","http://www.ompj.org/submission.php","","Yes"
"20","International Journal of Medicinal Chemistry","","http://www.hindawi.com/journals/ijmc/","Hindawi Publishing Corporation","English","2090-2069","2090-2077","pharmaceutical chemistry,drug discovery",2011,NA,"2011-03-02T11:21:44Z","Therapeutics. Pharmacology,Medicine,Therapeutics,Medicine (General),Health Sciences","Egypt","Y","http://www.hindawi.com/journals/ijmc/apc/","by","Yes"
"21","Open Journal of Hematology","","http://rossscience.org/ojhmt/index.htm","Ross Science Publishers","English","2075-907X","","haematology,diseases of the blood",2010,NA,"2011-03-02T11:39:47Z","Diseases of the blood and blood-forming organs,Specialties of internal medicine,Internal medicine,Medicine,Internal medicine,Medicine (General),Health Sciences","Pakistan","Y","http://rossscience.org/ojhmt/authGuide.php","by-nc","Yes"
"22","Computational Methods in Civil Engineering","CMCE","http://research.guilan.ac.ir/cmce","University of Guilan","English","2228-5687","","computational methodology,computational modeling and simulation,engineering",2010,NA,"2011-02-10T13:50:21Z","Engineering (General). Civil engineering (General),Technology,General and Civil Engineering,Technology and Engineering","Iran","N","http://research.guilan.ac.ir/cmce/guide.php","","Yes"
"23","World Journal of Diabetes","WJD","http://www.wjgnet.com/1948-9358/index.htm","Baishideng Publishing Group Co. Limited","English","1948-9358","","diabetes mellitus",2010,NA,"2011-03-02T14:51:06Z","Diseases of the endocrine glands. Clinical endocrinology,Specialties of internal medicine,Internal medicine,Medicine,Internal medicine,Medicine (General),Health Sciences","China","CON","http://www.wjgnet.com/1948-9358/g_info_20110221225507.htm","","Yes"
"24","Engineering Journal","Warasan Witsawakamsat","http://engj.org/","Chulalongkorn University","English","0125-8281","","natural resources,energy,environment,technology",2009,NA,"2011-02-10T14:58:41Z","Engineering (General). Civil engineering (General),Technology,General and Civil Engineering,Technology and Engineering","Thailand","N","http://engj.org/index.php/ej/about/submissions#authorGuidelines","by-sa","Yes"
"25","IMA Fungus","","http://www.ingentaconnect.com/content/ima/imafung","International Mycological Association","English","2210-6340","2210-6359","mycology,fungal biology",2010,NA,"2011-01-31T14:46:22Z","Botany,Science,Botany,Biology,Biology and Life Sciences","Netherlands","N","http://www.imafungus.org/instruction.aspx","by-nc-nd","Yes"
"26","International Journal of Economics and Research","IJER","http://www.ijeronline.com","Sanben Agency","English","2229-6158","","economics,financial economics,regional economics,economies in transition",2010,NA,"2011-03-03T15:08:02Z","Economic theory. Demography,Social Sciences,Economics,Business and Economics","India","Y","http://www.ijeronline.com/documents/common/Author%20Instructions%20and%20submission%20procedure.pdf","by","Yes"
"27","eJournal of eDemocracy & Open Government","JeDEM : eJournal of eDemocracy and Open Government","http://www.jedem.org","Danube-University Krems","English,German","2075-9517","","democracy and information society,e-democracy,e-participation",2009,NA,"2011-02-01T09:10:18Z","Political science (General),Political science,Political Science,Law and Political Science","Austria","N","http://www.jedem.org/about/submissions#authorGuidelines","by-nc-nd","Yes"
"28","Agrárinformatika Folyóirat","Journal of Agricultural Informatics","http://journal.magisz.org/","Hungarian Association of Agricultural Informatics","English,Hungarian","2061-862X","","agricultural informatics,agriculture and information technologies",2010,NA,"2011-02-16T08:49:52Z","Agriculture (General),Agriculture,Agriculture (General),Agriculture and Food Sciences","Hungary","N","http://journal.magisz.org/index.php/jai/about/submissions#authorGuidelines","","Yes"
"29","Cancer Growth and Metastasis","","http://www.la-press.com/cancer-growth-and-metastasis-journal-j122","Libertas Academica","English","1179-0644","","tumor formation,spread of cancer",2010,NA,"2011-02-01T11:43:00Z","Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Internal medicine,Medicine,Oncology,Medicine (General),Health Sciences","New Zealand","Y","http://www.la-press.com/author_resources.php?folder_id=121","by","Yes"
