"institution";"period";"euro";"doi";"is_hybrid";"Publisher";"journal_full_title";"issn";"pmcid";"url"
"FWF - Austrian Science Fund";2014;1811.55;"10.1074/jbc.M113.489013";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2250.00;"10.2166/wst.2014.032";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1612.85;"10.1016/j.bpj.2014.02.017";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1495.63;"10.1074/jbc.M113.505685";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2556.00;"10.1093/nar/gku844";"FALSE";;;;;
"FWF - Austrian Science Fund";2014;1944.00;"10.1038/leu.2014.152";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1419.18;"10.1094/MPMI-01-14-0005-R";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1712.09;"10.1002/mrm.24897";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1314.83;"10.1016/j.bbrc.2014.07.054";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2191.38;"10.1016/j.abb.2014.07.008";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2491.63;"10.1089/vim.2014.0059";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;712.33;"10.7567/JJAP.53.04EC22";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2686.97;"10.1111/evo.12341";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2914.76;"10.1016/j.cageo.2013.11.008";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2932.26;"10.1016/j.geomorph.2014.02.028";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;4343.42;"10.1016/j.cub.2013.08.056";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3100.00;"10.1038/leu.2013.345";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3529.42;"10.1002/anie.201403618";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3667.30;"10.1016/j.cub.2013.12.015";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1564.78;"10.1074/jbc.M113.475558";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2191.38;"10.1016/j.plantsci.2014.08.002";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3999.60;"10.1038/emboj.2013.228";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1490.33;"10.1074/jbc.M113.491415";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1502.56;"10.1105/tpc.114.123216";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2618.00;"10.1007/s13593-013-0171-8";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3240.00;"10.1038/ismej.2013.225";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2272.06;"10.1016/j.gloplacha.2013.09.018";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1069.81;"10.5194/cp-9-2101-2013";"FALSE";;;;;
"FWF - Austrian Science Fund";2014;2208.16;"10.1016/j.envexpbot.2014.01.011";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2726.46;"10.1016/j.phrs.2013.11.009";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1671.35;"10.1063/1.4894767";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2665.69;"10.1016/j.ijmm.2014.05.011";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1599.42;"10.1016/j.yjmcc.2014.02.010";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2275.00;"10.1093/mollus/eyu023";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2665.69;"10.1016/j.actamat.2014.06.010";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2726.46;"10.1016/j.isprsjprs.2013.11.018";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3000.00;"10.1002/chem.201402920";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;4416.30;"10.1016/j.molcel.2013.12.011";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1111.22;"10.1194/jlr.M043299";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3240.00;"10.1038/leu.2013.351";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2618.00;"10.1007/s11270-013-1827-3";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3263.54;"10.1523/JNEUROSCI.3935-13.2014";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2230.15;"10.1111/all.12399";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2730.00;"10.1093/jxb/ert480";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3240.00;"10.1038/ismej.2014.208";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1378.09;"10.1063/1.4789507";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2613.15;"10.1128/JVI.03817-13";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2119.82;"10.1016/j.tecto.2014.01.011";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3533.37;"10.1002/embj.201284188";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2179.92;"10.1021/np400943b";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2618.00;"10.1007/s00253-014-5911-4";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1739.13;"10.1182/blood-2013-11-537217";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;273.11;"10.4319/lo.2014.59.3.0947";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1047.96;"10.1073/pnas.1218062110";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2730.00;"10.1093/hmg/ddu115";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;678.87;"10.4161/rna.27100";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1956.02;"10.1063/1.4838696";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1288.35;"10.1074/jbc.M114.588491";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2261.23;"10.4049/jimmunol.1302167";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2730.00;"10.1093/bioinformatics/btu337";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2690.67;"10.1111/1462-2920.12392";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2422.70;"10.1130/G36344.1";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2914.76;"10.1016/j.geomorph.2013.11.026";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3702.35;"10.1016/j.devcel.2014.04.025";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2202.65;"10.1158/1535-7163.MCT-13-0288";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;987.96;"10.1175/MWR-D-13-00271.1";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2279.04;"10.1016/j.ejmech.2014.10.014";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;745.83;"10.1073/pnas.1315716110";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3680.25;"10.1016/j.cmet.2014.02.010";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3529.42;"10.1002/anie.201306838";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2340.00;"10.1088/0957-4484/25/13/135705";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2769.60;"10.1093/mp/sst157";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2108.57;"10.1098/rspb.2014.0972";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2949.35;"10.1530/ERC-13-0446";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2663.90;"10.1002/prot.24417";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2521.01;"10.1002/cphc.201301104";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3025.21;"10.1002/chem.201303759";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1546.85;"10.1101/gad.245738.114";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3240.00;"10.1038/ismej.2014.144";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;676.68;"10.1127/1864-1318/2014/0179";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1807.91;"10.1074/jbc.M113.501510";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2914.76;"10.1016/j.jsg.2013.12.008";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2221.41;"10.1016/j.pep.2014.05.014";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2649.78;"10.1016/j.bcp.2013.12.026";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1635.88;"10.1016/j.apgeog.2013.08.010";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1629.03;"10.1016/j.jsb.2014.03.006";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2630.76;"10.1002/mnfr.201300153";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1854.50;"10.1094/MPMI-08-12-0205-R";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1619.40;"10.1063/1.4832483";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2628.42;"10.1002/glia.22662";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2696.61;"10.1021/jp501168b";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2339.73;"10.1016/j.nucmedbio.2013.08.007";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1866.00;"10.1186/1751-0473-8-22";"FALSE";;;;;
"FWF - Austrian Science Fund";2014;1519.27;"10.3390/molecules190914204";"FALSE";;;;;
"FWF - Austrian Science Fund";2014;2618.00;"10.1007/s00706-014-1245-2";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2880.00;"10.1038/clpt.2014.70";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1518.85;"10.1128/IAI.01382-12";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;2921.31;"10.1074/jbc.M114.595090";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;3600.00;"10.1038/ismej.2013.223";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1015.16;"10.1371/journal.pone.0089954";"FALSE";;;;;
"FWF - Austrian Science Fund";2014;2250.00;"10.1093/molbev/mst221";"TRUE";;;;;
"FWF - Austrian Science Fund";2014;1539.46;"10.1186/1743-7075-11-53";"FALSE";;;;;
"FWF - Austrian Science Fund";2014;1914.00;"10.1186/1476-4598-13-146";"FALSE";;;;;
